date,close,pe
2021-08-01,5354.73,7.46
2021-08-02,5354.73,7.46
2021-08-03,5351.44,7.45
2021-08-04,5318.76,7.41
2021-08-05,5299.23,7.38
2021-08-06,5306.65,7.39
2021-08-09,5447.08,7.55
2021-08-10,5525.57,7.64
2021-08-11,5559.59,7.7
2021-08-12,5515.84,7.65
2021-08-13,5513.42,7.65
2021-08-16,5537.11,7.68
2021-08-17,5492.05,7.62
2021-08-18,5726.77,7.91
2021-08-19,5602.7,7.75
2021-08-20,5569.87,7.73
2021-08-23,5574.75,7.73
2021-08-24,5619.83,7.77
2021-08-25,5551.5,7.7
2021-08-26,5463.83,7.6
2021-08-27,5482.66,7.62
2021-08-30,5380.36,7.5
2021-08-31,5462.39,7.61
2021-09-01,5633.0,7.56
2021-09-02,5699.99,7.63
2021-09-03,5693.99,7.64
2021-09-06,5734.21,7.69
2021-09-07,5836.52,7.8
2021-09-08,5831.17,7.8
2021-09-09,5804.53,7.77
2021-09-10,5890.93,7.87
2021-09-13,5904.76,7.89
2021-09-14,5736.42,7.68
2021-09-15,5698.96,7.63
2021-09-16,5613.86,7.55
2021-09-17,5639.39,7.58
2021-09-22,5579.05,7.5
2021-09-23,5620.76,7.55
2021-09-24,5568.93,7.48
2021-09-27,5509.94,7.42
2021-09-28,5612.12,7.54
2021-09-29,5599.71,7.52
2021-09-30,5564.12,7.48
2021-10-08,5664.45,7.59
2021-10-11,5728.43,7.67
2021-10-12,5675.96,7.62
2021-10-13,5666.3,7.59
2021-10-14,5616.39,7.54
2021-10-15,5630.84,7.55
2021-10-18,5587.92,7.51
2021-10-19,5632.02,7.56
2021-10-20,5600.95,7.52
2021-10-21,5707.16,7.65
2021-10-22,5725.58,7.66
2021-10-25,5726.96,7.66
2021-10-26,5681.79,7.61
2021-10-27,5597.38,7.51
2021-10-28,5550.53,7.46
2021-10-29,5517.4,7.41
2021-11-01,5553.98,7.35
2021-11-02,5426.79,7.2
2021-11-03,5439.43,7.2
2021-11-04,5424.29,7.18
2021-11-05,5399.65,7.16
2021-11-08,5417.92,7.17
2021-11-09,5422.74,7.18
2021-11-10,5422.74,7.17
2021-11-11,5609.14,7.38
2021-11-12,5575.51,7.34
2021-11-15,5573.7,7.34
2021-11-16,5524.74,7.29
2021-11-17,5502.49,7.26
2021-11-18,5447.03,7.2
2021-11-19,5541.36,7.31
2021-11-22,5509.13,7.27
2021-11-23,5522.41,7.29
