date,close,pe
2021-08-01,10063.13,41.02
2021-08-02,10063.13,41.02
2021-08-03,9731.06,39.52
2021-08-04,9891.88,40.26
2021-08-05,9687.53,39.42
2021-08-06,9698.29,39.67
2021-08-09,9891.83,40.28
2021-08-10,10157.06,41.54
2021-08-11,10092.67,41.32
2021-08-12,9941.51,40.83
2021-08-13,9719.16,39.99
2021-08-16,9356.49,38.51
2021-08-17,9007.66,36.98
2021-08-18,9066.57,37.08
2021-08-19,8600.22,35.18
2021-08-20,8577.36,35.0
2021-08-23,8783.29,35.76
2021-08-24,9588.42,38.61
2021-08-25,9571.4,38.57
2021-08-26,9455.07,38.1
2021-08-27,9329.48,37.57
2021-08-30,9370.55,37.67
2021-08-31,9758.2,39.17
2021-09-01,10045.87,40.11
2021-09-02,10038.99,40.17
2021-09-03,9919.83,39.58
2021-09-06,10019.66,40.13
2021-09-07,10313.29,41.12
2021-09-08,10247.79,41.07
2021-09-09,9810.67,38.97
2021-09-10,9927.53,39.57
2021-09-13,9692.24,38.6
2021-09-14,9491.45,37.87
2021-09-15,9241.61,36.83
2021-09-16,9154.79,36.41
2021-09-17,9383.92,37.36
2021-09-20,9042.72,36.2
2021-09-21,8999.74,35.94
2021-09-22,9110.44,36.21
2021-09-23,9250.69,36.83
2021-09-24,9040.36,36.16
2021-09-27,9203.11,36.83
2021-09-28,9215.87,37.17
2021-09-29,9071.09,36.58
2021-09-30,9099.66,36.58
2021-10-01,8997.62,36.24
2021-10-04,8767.69,35.39
2021-10-05,8817.47,35.42
2021-10-06,8794.12,35.35
2021-10-07,9397.44,37.77
2021-10-08,9573.15,38.51
2021-10-11,9795.4,39.57
2021-10-12,9608.8,38.8
2021-10-13,9767.77,39.29
2021-10-14,9688.18,39.1
2021-10-15,9851.78,39.84
2021-10-18,9871.2,39.85
2021-10-19,10180.38,41.0
2021-10-20,10308.45,41.45
2021-10-21,10216.01,41.08
2021-10-22,10264.4,41.31
2021-10-25,10185.91,40.91
2021-10-26,9914.22,40.1
2021-10-27,9695.16,39.17
2021-10-28,9731.43,39.38
2021-10-29,9502.32,38.57
2021-11-01,9660.87,38.86
2021-11-02,9443.9,37.97
2021-11-03,9559.99,38.55
2021-11-04,9572.18,38.89
2021-11-05,9316.05,37.79
2021-11-08,9337.6,37.84
2021-11-09,9304.91,37.61
2021-11-10,9566.54,38.73
2021-11-11,9805.09,39.28
2021-11-12,9901.7,39.63
2021-11-15,9873.81,39.71
2021-11-16,10052.75,40.45
2021-11-17,9875.49,40.0
2021-11-18,9425.17,37.93
2021-11-19,9355.43,37.64
2021-11-22,9205.06,37.16
2021-11-23,9027.49,36.3
2021-11-24,9064.02,36.3
2021-11-25,9115.21,36.55
2021-11-26,8819.11,35.58
2021-11-29,8660.36,34.92
2021-11-30,8467.66,34.3
2021-12-01,8442.21,34.4
2021-12-02,8440.78,34.53
2021-12-03,8035.81,33.09
2021-12-06,8088.19,33.34
2021-12-07,8402.93,34.41
2021-12-08,8405.66,34.4
2021-12-09,8401.46,34.4
2021-12-10,8384.34,34.21
2021-12-13,8313.93,34.16
2021-12-14,8286.05,34.1
2021-12-15,8110.0,33.51
2021-12-16,8003.1,33.09
2021-12-17,7861.79,32.42
2021-12-20,7591.86,31.48
2021-12-21,7941.21,9.12
2021-12-22,7871.75,9.06
2021-12-23,7910.67,9.15
2021-12-24,7904.13,9.14
2021-12-27,7861.63,9.09
2021-12-28,7744.76,8.94
2021-12-29,7555.2,8.76
2021-12-30,7885.0,21.07
2021-12-31,7940.82,21.25
2022-01-03,7905.82,21.16
2022-01-04,7754.1,20.8
2022-01-05,7477.5,20.11
2022-01-06,7707.0,20.72
2022-01-07,7863.64,21.11
2022-01-10,7937.07,21.31
2022-01-11,8146.6,21.87
2022-01-12,8463.89,22.75
2022-01-13,8209.69,22.08
2022-01-14,8232.17,22.14
2022-01-17,8153.48,21.91
2022-01-18,8004.76,21.5
2022-01-19,8026.14,21.53
2022-01-20,8365.76,22.37
2022-01-21,8187.08,21.91
2022-01-24,8009.95,21.45
2022-01-25,7918.0,21.27
2022-01-26,7789.36,20.99
2022-01-27,7535.89,24.97
2022-01-28,7638.64,20.63
2022-01-31,8101.25,21.79
2022-02-01,8134.29,21.86
2022-02-02,8014.41,21.56
2022-02-03,7970.35,21.47
2022-02-04,8087.62,21.75
2022-02-07,7910.43,21.29
2022-02-08,8025.3,21.49
2022-02-09,8319.13,22.25
2022-02-10,8287.37,22.17
2022-02-11,8120.87,21.76
2022-02-14,8020.58,21.51
2022-02-15,8111.94,21.7
2022-02-16,8151.74,21.81
2022-02-17,8131.64,21.76
2022-02-18,7739.44,20.85
2022-02-21,7555.2,20.33
2022-02-22,7353.28,19.81
2022-02-23,7291.02,19.65
2022-02-24,7141.03,19.21
2022-02-25,7145.15,19.24
2022-02-28,7057.46,18.97
2022-03-01,7140.94,19.25
2022-03-02,7078.02,19.07
2022-03-03,6854.94,18.5
2022-03-04,6601.66,17.86
2022-03-07,6302.19,17.15
2022-03-08,6199.32,16.85
2022-03-09,6370.23,17.26
2022-03-10,6047.04,16.48
2022-03-11,5674.82,15.56
2022-03-14,5049.72,13.97
2022-03-15,4858.12,13.36
2022-03-16,6376.23,17.33
2022-03-17,6421.97,17.51
2022-03-18,6562.56,17.81
2022-03-21,6336.72,17.25
2022-03-22,6778.78,18.36
2022-03-23,6866.41,18.52
2022-03-24,6607.82,17.8
2022-03-25,6392.97,17.31
2022-03-28,6570.71,17.77
2022-03-29,6747.75,18.19
2022-03-30,6722.33,18.15
2022-03-31,6433.59,17.44
2022-04-01,6557.82,17.76
2022-04-04,6942.12,18.67
2022-04-05,6772.29,18.25
2022-04-06,6614.03,17.85
2022-04-07,6418.4,17.37
2022-04-08,6351.45,17.21
2022-04-11,6156.34,16.68
2022-04-12,6217.53,16.9
2022-04-13,6317.12,17.14
2022-04-14,6192.4,16.85
2022-04-15,6225.84,16.94
2022-04-18,6176.76,16.83
2022-04-19,6038.1,16.44
2022-04-20,5912.31,16.13
2022-04-21,5664.91,15.48
2022-04-22,5702.46,
2022-04-25,5631.56,15.36
2022-04-26,5721.42,15.62
2022-04-27,5883.67,16.01
2022-04-28,5988.42,16.3
2022-04-29,6602.71,17.92
2022-05-02,6699.75,18.15
2022-05-03,6684.55,18.13
2022-05-04,6607.24,17.91
2022-05-05,6335.3,17.22
2022-05-06,6082.57,16.55
2022-05-09,5940.87,16.2
2022-05-10,5901.09,16.09
2022-05-11,5961.1,16.25
2022-05-12,5882.16,16.02
2022-05-13,6285.74,17.05
2022-05-16,6224.45,16.87
2022-05-17,6548.91,17.74
2022-05-18,6368.91,17.26
2022-05-19,6246.22,16.83
2022-05-20,6334.19,17.1
2022-05-23,6191.69,16.77
2022-05-24,5891.7,16.03
2022-05-25,5904.01,16.02
2022-05-26,6224.5,16.8
2022-05-27,6406.31,17.22
2022-05-30,6498.81,17.46
2022-05-31,6701.04,17.95
2022-06-01,6600.87,17.7
2022-06-02,6766.63,18.07
2022-06-03,6659.21,17.81
2022-06-06,6952.76,18.51
2022-06-07,7100.77,18.8
2022-06-08,7638.78,20.24
2022-06-09,7350.49,19.61
2022-06-10,7378.26,19.67
2022-06-13,6948.02,21.43
2022-06-14,7003.14,21.56
2022-06-15,7170.96,12.21
2022-06-16,6883.67,11.74
2022-06-17,7011.69,11.82
2022-06-20,7015.98,11.84
2022-06-21,7153.79,12.12
2022-06-22,6910.75,11.8
2022-06-23,7108.78,12.11
2022-06-24,7360.4,12.47
2022-06-27,7495.15,12.52
2022-06-28,7454.39,12.33
2022-06-29,7305.85,12.2
2022-06-30,7164.62,11.93
2022-07-01,7159.71,11.96
2022-07-04,7228.21,11.93
2022-07-05,7251.84,11.98
2022-07-06,7204.24,11.89
2022-07-07,7202.72,11.95
2022-07-08,7258.46,12.02
2022-07-11,6895.75,11.6
2022-07-12,6751.1,11.44
2022-07-13,6768.57,11.41
2022-07-14,6800.06,11.39
2022-07-15,6571.79,11.04
2022-07-18,6754.06,11.28
2022-07-19,6692.69,11.21
2022-07-20,6815.36,11.35
2022-07-21,6794.34,11.35
2022-07-22,6764.45,11.25
2022-07-25,6680.42,11.13
2022-07-26,6799.39,11.27
2022-07-27,6696.55,11.06
2022-07-28,6609.14,10.92
2022-07-29,6268.43,10.41
2022-08-01,6162.66,10.16
2022-08-02,6032.63,10.0
2022-08-03,6208.85,10.3
2022-08-04,6422.47,10.61
2022-08-05,6326.85,10.43
2022-08-08,6170.78,10.18
2022-08-09,6116.42,10.13
2022-08-10,6009.21,10.02
2022-08-11,6195.66,10.33
2022-08-12,6246.27,10.37
2022-08-15,6222.06,10.31
2022-08-16,6130.06,10.3
2022-08-17,6161.93,10.28
2022-08-18,6132.27,10.33
2022-08-19,6171.07,10.4
2022-08-22,6161.23,10.36
2022-08-23,6221.73,10.5
2022-08-24,6132.59,10.42
2022-08-25,6597.52,11.12
2022-08-26,6653.0,11.14
2022-08-29,6673.87,11.23
2022-08-30,6663.21,11.26
2022-08-31,6727.98,11.44
2022-09-01,6588.24,11.3
2022-09-02,6561.36,11.33
2022-09-05,6429.11,11.09
2022-09-06,6368.0,10.89
2022-09-07,6331.45,10.85
2022-09-08,6247.19,10.63
2022-09-09,6422.71,10.88
2022-09-12,6442.77,10.93
2022-09-13,6379.26,10.87
2022-09-14,6227.76,10.68
2022-09-15,6252.94,10.68
2022-09-16,6121.89,10.45
2022-09-19,6010.14,10.28
2022-09-20,6145.87,10.48
2022-09-21,5950.89,10.14
2022-09-22,5870.7,10.06
2022-09-23,5718.56,9.77
2022-09-26,5866.34,9.99
2022-09-27,5917.38,9.99
