date,pe
2005-01-04,12.42
2005-01-05,12.02
2005-01-06,11.88
2005-01-07,12.03
2005-01-10,11.98
2005-01-11,12.02
2005-01-12,12.01
2005-01-13,11.95
2005-01-14,11.9
2005-01-17,11.53
2005-01-18,11.52
2005-01-19,11.49
2005-01-20,11.45
2005-01-21,11.84
2005-01-24,12.04
2005-01-25,12.13
2005-01-26,12.0
2005-01-27,11.94
2005-01-28,11.81
2005-01-31,11.7
2005-02-01,11.74
2005-02-02,12.38
2005-02-03,12.41
2005-02-04,12.67
2005-02-16,12.78
2005-02-17,12.66
2005-02-18,12.51
2005-02-21,12.76
2005-02-22,12.89
2005-02-23,12.85
2005-02-24,12.76
2005-02-25,12.75
2005-02-28,12.77
2005-03-01,12.69
2005-03-02,12.58
2005-03-03,12.61
2005-03-04,12.54
2005-03-07,12.61
2005-03-08,12.84
2005-03-09,12.85
2005-03-10,12.54
2005-03-11,12.5
2005-03-14,12.57
2005-03-15,12.07
2005-03-16,11.93
2005-03-17,11.85
2005-03-18,11.8
2005-03-21,11.88
2005-03-22,11.74
2005-03-23,11.64
2005-03-24,11.65
2005-03-25,11.67
2005-03-28,11.59
2005-03-29,10.89
2005-03-30,10.87
2005-03-31,10.99
2005-04-01,11.36
2005-04-04,11.15
2005-04-05,11.0
2005-04-06,11.19
2005-04-07,11.15
2005-04-08,11.35
2005-04-11,11.3
2005-04-12,11.14
2005-04-13,11.41
2005-04-14,11.38
2005-04-15,11.28
2005-04-18,11.1
2005-04-19,11.07
2005-04-20,11.05
2005-04-21,10.96
2005-04-22,11.01
2005-04-25,11.03
2005-04-26,11.14
2005-04-27,10.92
2005-04-28,10.99
2005-04-29,10.66
2005-05-09,10.86
2005-05-10,11.0
2005-05-11,10.91
2005-05-12,10.55
2005-05-13,10.52
2005-05-16,10.46
2005-05-17,10.33
2005-05-18,10.33
2005-05-19,10.32
2005-05-20,10.26
2005-05-23,9.94
2005-05-24,9.77
2005-05-25,9.68
2005-05-26,9.58
2005-05-27,9.59
2005-05-30,9.66
2005-05-31,9.7
2005-06-01,9.51
2005-06-02,9.31
2005-06-03,9.21
2005-06-06,9.33
2005-06-07,9.23
2005-06-08,10.06
2005-06-09,10.35
2005-06-10,10.1
2005-06-13,10.07
2005-06-14,10.04
2005-06-15,9.91
2005-06-16,10.04
2005-06-17,10.06
2005-06-20,10.26
2005-06-21,10.06
2005-06-22,9.93
2005-06-23,9.88
2005-06-24,10.05
2005-06-27,10.22
2005-06-28,10.08
2005-06-29,10.1
2005-06-30,9.88
2005-07-01,9.79
2005-07-04,9.72
2005-07-05,9.59
2005-07-06,9.61
2005-07-07,9.75
2005-07-08,9.64
2005-07-11,9.63
2005-07-12,9.92
2005-07-13,9.82
2005-07-14,9.85
2005-07-15,9.77
2005-07-18,9.69
2005-07-19,9.64
2005-07-20,9.72
2005-07-21,9.72
2005-07-22,10.06
2005-07-25,10.09
2005-07-26,10.44
2005-07-27,10.56
2005-07-28,10.54
2005-07-29,10.44
2005-08-01,10.51
2005-08-02,10.65
2005-08-03,10.62
2005-08-04,10.61
2005-08-05,10.83
2005-08-08,10.98
2005-08-09,11.19
2005-08-10,11.35
2005-08-11,11.51
2005-08-12,11.33
2005-08-15,11.42
2005-08-16,11.2
2005-08-17,11.31
2005-08-18,10.78
2005-08-19,10.85
2005-08-22,10.89
2005-08-23,10.91
2005-08-24,11.16
2005-08-25,11.17
2005-08-26,11.19
2005-08-29,10.67
