date,pe
2014-10-17,49.19
2014-10-20,49.35
2014-10-21,49.01
2014-10-22,48.42
2014-10-23,47.49
2014-10-24,47.53
2014-10-27,47.72
2014-10-28,48.83
2014-10-29,49.26
2014-10-30,48.94
2014-10-31,48.8
2014-11-03,49.29
2014-11-04,48.93
2014-11-05,48.93
2014-11-06,49.58
2014-11-07,49.3
2014-11-10,49.45
2014-11-11,47.72
2014-11-12,48.52
2014-11-13,47.64
2014-11-14,47.51
2014-11-17,48.29
2014-11-18,48.54
2014-11-19,48.96
2014-11-20,48.85
2014-11-21,49.33
2014-11-24,49.74
2014-11-25,50.55
2014-11-26,50.9
2014-11-27,51.2
2014-11-28,51.28
2014-12-01,50.43
2014-12-02,50.91
2014-12-03,51.37
2014-12-04,52.06
2014-12-05,51.05
2014-12-08,51.03
2014-12-09,48.64
2014-12-10,50.35
2014-12-11,51.06
2014-12-12,51.74
2014-12-15,50.3
2014-12-16,50.09
2014-12-17,49.48
2014-12-18,49.38
2014-12-19,48.63
2014-12-22,46.12
2014-12-23,45.42
2014-12-24,46.43
2014-12-25,46.95
2014-12-26,47.06
2014-12-29,46.11
2014-12-30,45.31
2014-12-31,45.72
2015-01-05,45.77
2015-01-06,46.78
2015-01-07,46.71
2015-01-08,46.71
2015-01-09,46.47
2015-01-12,46.02
2015-01-13,46.86
2015-01-14,46.69
2015-01-15,46.87
2015-01-16,47.56
2015-01-19,46.58
2015-01-20,48.35
2015-01-21,49.33
2015-01-22,50.03
2015-01-23,49.44
2015-01-26,50.53
2015-01-27,51.07
2015-01-28,50.83
2015-01-29,50.72
2015-01-30,50.06
2015-02-02,49.99
2015-02-03,50.98
2015-02-04,51.01
2015-02-05,51.04
2015-02-06,50.12
2015-02-09,49.72
2015-02-10,50.53
2015-02-11,51.24
2015-02-12,51.62
2015-02-13,52.42
2015-02-16,53.45
2015-02-17,53.79
2015-02-25,53.66
2015-02-26,53.91
2015-02-27,54.55
2015-03-02,55.49
2015-03-03,55.17
2015-03-04,56.02
2015-03-05,56.2
2015-03-06,55.22
2015-03-09,56.13
2015-03-10,57.1
2015-03-11,57.06
2015-03-12,56.75
2015-03-13,57.83
2015-03-16,59.96
2015-03-17,60.98
2015-03-18,62.21
2015-03-19,62.62
2015-03-20,63.3
2015-03-23,65.02
2015-03-24,66.15
2015-03-25,67.33
2015-03-26,66.09
2015-03-27,66.72
2015-03-30,66.73
2015-03-31,67.28
2015-04-01,69.19
2015-04-02,71.07
2015-04-03,72.67
2015-04-07,74.07
2015-04-08,72.88
2015-04-09,72.31
2015-04-10,74.14
2015-04-13,75.86
2015-04-14,76.0
2015-04-15,72.92
2015-04-16,73.78
2015-04-17,73.78
2015-04-20,73.04
2015-04-21,76.18
2015-04-22,78.51
2015-04-23,79.76
2015-04-24,79.7
2015-04-27,79.97
2015-04-28,76.39
2015-04-29,77.58
2015-04-30,77.61
2015-05-04,78.16
2015-05-05,76.0
2015-05-06,75.92
2015-05-07,74.94
2015-05-08,78.7
2015-05-11,82.34
2015-05-12,84.66
2015-05-13,85.25
2015-05-14,85.65
2015-05-15,85.73
2015-05-18,88.3
2015-05-19,90.59
2015-05-20,92.93
2015-05-21,96.5
2015-05-22,97.16
2015-05-25,98.23
2015-05-26,102.09
2015-05-27,103.42
2015-05-28,97.72
2015-05-29,99.36
2015-06-01,104.43
2015-06-02,108.85
2015-06-03,109.42
2015-06-04,108.87
2015-06-05,110.22
2015-06-08,107.17
2015-06-09,107.32
2015-06-10,110.08
2015-06-11,112.27
2015-06-12,114.01
2015-06-15,107.41
2015-06-16,102.67
2015-06-17,104.96
2015-06-18,102.58
2015-06-19,96.03
2015-06-23,96.34
2015-06-24,98.2
2015-06-25,94.02
2015-06-26,86.47
2015-06-29,80.44
2015-06-30,83.95
2015-07-01,79.38
2015-07-02,74.06
2015-07-03,69.51
2015-07-06,66.23
2015-07-07,62.61
2015-07-08,60.89
2015-07-09,62.62
2015-07-10,64.61
2015-07-13,67.64
2015-07-14,69.86
2015-07-15,66.91
2015-07-16,67.59
2015-07-17,71.25
2015-07-20,73.39
2015-07-21,74.89
2015-07-22,76.05
2015-07-23,78.29
2015-07-24,77.54
2015-07-27,72.37
2015-07-28,69.12
2015-07-29,72.23
2015-07-30,70.24
2015-07-31,67.96
2015-08-03,64.27
2015-08-04,68.2
2015-08-05,67.85
2015-08-06,67.71
2015-08-07,70.31
2015-08-10,74.02
2015-08-11,74.5
2015-08-12,73.28
2015-08-13,75.41
2015-08-14,75.8
2015-08-17,76.86
2015-08-18,71.29
2015-08-19,72.93
2015-08-20,70.42
2015-08-21,66.48
2015-08-24,61.93
2015-08-25,57.11
2015-08-26,54.44
2015-08-27,56.03
2015-08-28,58.91
2015-08-31,56.29
2015-09-01,52.53
2015-09-02,50.37
2015-09-07,51.58
2015-09-08,54.32
2015-09-09,56.47
2015-09-10,55.65
2015-09-11,56.12
2015-09-14,52.34
2015-09-15,49.73
2015-09-16,53.04
2015-09-17,52.57
2015-09-18,53.48
2015-09-21,55.6
2015-09-22,55.81
2015-09-23,55.42
2015-09-24,56.24
2015-09-25,54.13
2015-09-28,55.63
2015-09-29,54.81
2015-09-30,54.82
2015-10-08,57.21
2015-10-09,58.07
2015-10-12,60.51
2015-10-13,61.41
2015-10-14,60.55
2015-10-15,62.57
2015-10-16,63.48
2015-10-19,63.62
2015-10-20,64.96
2015-10-21,60.82
2015-10-22,63.29
2015-10-23,64.99
2015-10-26,65.27
2015-10-27,65.65
2015-10-28,63.84
2015-10-29,64.05
2015-10-30,63.98
2015-11-02,62.14
2015-11-03,61.99
2015-11-04,65.3
2015-11-05,65.23
2015-11-06,66.98
2015-11-09,68.33
2015-11-10,68.89
2015-11-11,70.19
2015-11-12,70.39
2015-11-13,68.85
2015-11-16,70.72
2015-11-17,70.14
2015-11-18,68.83
2015-11-19,71.18
2015-11-20,72.57
2015-11-23,72.01
2015-11-24,72.87
2015-11-25,74.49
2015-11-26,73.97
2015-11-27,69.21
2015-11-30,69.65
2015-12-01,69.34
2015-12-02,68.38
2015-12-03,70.31
2015-12-04,70.13
2015-12-07,71.27
2015-12-08,69.89
2015-12-09,69.71
2015-12-10,69.82
2015-12-11,69.19
2015-12-14,70.92
2015-12-15,72.18
2015-12-16,72.92
2015-12-17,75.09
2015-12-18,74.7
2015-12-21,75.14
2015-12-22,75.89
2015-12-23,74.67
2015-12-24,74.78
2015-12-25,75.62
2015-12-28,74.07
2015-12-29,75.05
2015-12-30,76.23
2015-12-31,75.08
2016-01-04,68.47
2016-01-05,66.8
2016-01-06,68.6
2016-01-07,62.64
2016-01-08,62.75
2016-01-11,58.03
2016-01-12,58.0
2016-01-13,55.6
2016-01-14,57.96
2016-01-15,55.99
2016-01-18,57.37
2016-01-19,59.4
2016-01-20,58.91
2016-01-21,55.98
2016-01-22,56.76
2016-01-25,57.52
2016-01-26,53.16
2016-01-27,52.69
2016-01-28,50.21
2016-01-29,52.26
2016-02-01,51.69
2016-02-02,53.71
2016-02-03,54.09
2016-02-04,55.31
2016-02-05,54.7
2016-02-15,54.77
2016-02-16,57.2
2016-02-17,58.22
2016-02-18,58.11
2016-02-19,58.54
2016-02-22,59.68
2016-02-23,59.22
2016-02-24,59.19
2016-02-25,54.44
2016-02-26,54.1
2016-02-29,49.88
2016-03-01,50.92
2016-03-02,53.39
2016-03-03,53.38
2016-03-04,51.22
2016-03-07,52.48
2016-03-08,52.92
2016-03-09,51.84
2016-03-10,51.05
2016-03-11,50.87
2016-03-14,52.9
2016-03-15,52.51
2016-03-16,51.89
2016-03-17,53.96
2016-03-18,56.25
2016-03-21,57.7
2016-03-22,57.82
2016-03-23,58.62
2016-03-24,57.93
2016-03-25,58.56
2016-03-28,58.41
2016-03-29,57.16
2016-03-30,59.22
2016-03-31,59.22
2016-04-01,58.78
2016-04-05,60.63
2016-04-06,60.98
2016-04-07,59.87
2016-04-08,59.42
2016-04-11,60.84
2016-04-12,60.23
2016-04-13,61.15
2016-04-14,61.89
2016-04-15,61.85
2016-04-18,60.8
2016-04-19,60.79
2016-04-20,57.69
2016-04-21,56.82
2016-04-22,57.07
2016-04-25,56.6
2016-04-26,56.86
2016-04-27,56.11
2016-04-28,55.49
2016-04-29,54.53
2016-05-03,56.0
2016-05-04,56.05
2016-05-05,56.52
2016-05-06,54.62
2016-05-09,52.26
2016-05-10,52.18
2016-05-11,51.67
2016-05-12,51.67
2016-05-13,51.51
2016-05-16,52.26
2016-05-17,52.26
2016-05-18,50.61
2016-05-19,50.93
2016-05-20,51.56
2016-05-23,52.5
2016-05-24,51.94
2016-05-25,51.76
2016-05-26,52.04
2016-05-27,51.94
2016-05-30,51.66
2016-05-31,53.89
2016-06-01,54.32
2016-06-02,54.95
2016-06-03,55.15
2016-06-06,55.32
2016-06-07,55.46
2016-06-08,55.42
2016-06-13,53.85
2016-06-14,53.76
2016-06-15,55.83
2016-06-16,55.89
2016-06-17,56.31
2016-06-20,56.69
2016-06-21,55.94
2016-06-22,57.05
2016-06-23,56.95
2016-06-24,56.48
2016-06-27,57.97
2016-06-28,58.64
2016-06-29,58.67
2016-06-30,58.59
2016-07-01,58.46
2016-07-04,59.54
2016-07-05,59.77
2016-07-06,59.99
2016-07-07,60.02
2016-07-08,59.96
2016-07-11,59.48
2016-07-12,60.02
2016-07-13,60.56
2016-07-14,60.71
2016-07-15,60.22
2016-07-18,59.89
2016-07-19,60.2
2016-07-20,60.18
2016-07-21,60.25
2016-07-22,59.76
2016-07-25,59.68
2016-07-26,60.51
2016-07-27,57.5
2016-07-28,57.2
2016-07-29,56.59
2016-08-01,55.55
2016-08-02,56.08
2016-08-03,56.23
2016-08-04,56.66
2016-08-05,56.33
2016-08-08,56.91
2016-08-09,57.3
2016-08-10,57.1
2016-08-11,56.14
2016-08-12,56.43
2016-08-15,57.55
2016-08-16,57.76
2016-08-17,57.98
2016-08-18,57.99
2016-08-19,58.04
2016-08-22,57.13
2016-08-23,56.85
2016-08-24,56.9
2016-08-25,56.49
2016-08-26,56.64
2016-08-29,56.37
2016-08-30,56.48
2016-08-31,55.92
2016-09-01,55.53
2016-09-02,55.26
2016-09-05,55.51
2016-09-06,56.43
2016-09-07,56.36
2016-09-08,56.63
2016-09-09,56.22
2016-09-12,54.42
2016-09-13,54.84
2016-09-14,54.62
2016-09-19,55.23
2016-09-20,55.36
2016-09-21,55.48
2016-09-22,55.74
2016-09-23,55.49
2016-09-26,54.29
2016-09-27,55.02
2016-09-28,54.94
2016-09-29,55.12
2016-09-30,55.36
2016-10-10,56.61
2016-10-11,56.9
2016-10-12,56.92
2016-10-13,57.02
2016-10-14,56.97
2016-10-17,56.4
2016-10-18,57.12
2016-10-19,56.91
2016-10-20,57.14
2016-10-21,56.66
2016-10-24,56.9
2016-10-25,56.66
2016-10-26,56.23
2016-10-27,55.59
2016-10-28,53.86
2016-10-31,52.82
2016-11-01,53.32
2016-11-02,52.96
2016-11-03,53.26
2016-11-04,53.11
2016-11-07,53.1
2016-11-08,53.42
2016-11-09,53.01
2016-11-10,53.76
2016-11-11,54.0
2016-11-14,54.23
2016-11-15,54.53
2016-11-16,54.63
2016-11-17,54.34
2016-11-18,54.26
2016-11-21,54.48
2016-11-22,55.01
2016-11-23,54.63
2016-11-24,54.27
2016-11-25,54.41
2016-11-28,54.37
2016-11-29,53.77
2016-11-30,53.73
2016-12-01,53.97
2016-12-02,53.08
2016-12-05,52.86
2016-12-06,52.93
2016-12-07,53.49
2016-12-08,53.15
2016-12-09,52.95
2016-12-12,51.96
2016-12-13,51.74
2016-12-14,51.39
2016-12-15,51.99
2016-12-16,52.54
2016-12-19,52.46
