date,pe
2009-10-30,86.4
2009-11-02,78.08
2009-11-03,75.63
2009-11-04,77.59
2009-11-05,78.67
2009-11-06,75.8
2009-11-09,73.83
2009-11-10,71.51
2009-11-11,71.66
2009-11-12,72.57
2009-11-13,76.25
2009-11-16,75.77
2009-11-17,75.55
2009-11-18,77.3
2009-11-19,81.83
2009-11-20,81.11
2009-11-23,83.0
2009-11-24,76.76
2009-11-25,81.06
2009-11-26,80.92
2009-11-27,83.54
2009-11-30,84.23
2009-12-01,84.24
2009-12-02,89.59
2009-12-03,93.93
2009-12-04,85.2
2009-12-07,86.19
2009-12-08,87.59
2009-12-09,87.52
2009-12-10,85.89
2009-12-11,82.89
2009-12-14,82.68
2009-12-15,83.2
2009-12-16,81.34
2009-12-17,76.51
2009-12-18,77.21
2009-12-21,77.75
2009-12-22,74.19
2009-12-23,76.51
2009-12-24,77.7
2009-12-25,75.74
2009-12-28,75.9
2009-12-29,74.98
2009-12-30,76.19
2009-12-31,76.2
2010-01-04,76.55
2010-01-05,77.14
2010-01-06,75.86
2010-01-07,74.12
2010-01-08,72.86
2010-01-11,74.12
2010-01-12,75.9
2010-01-13,76.2
2010-01-14,79.0
2010-01-15,78.09
2010-01-18,78.18
2010-01-19,76.68
2010-01-20,73.32
2010-01-21,73.52
2010-01-22,69.76
2010-01-25,68.54
2010-01-26,68.47
2010-01-27,67.74
2010-01-28,68.25
2010-01-29,66.57
2010-02-01,64.21
2010-02-02,64.15
2010-02-03,63.84
2010-02-04,64.27
2010-02-05,64.21
2010-02-08,65.48
2010-02-09,65.68
2010-02-10,68.68
2010-02-11,69.6
2010-02-12,71.34
2010-02-22,70.73
2010-02-23,72.54
2010-02-24,75.12
2010-02-25,73.11
2010-02-26,72.13
2010-03-01,73.21
2010-03-02,74.68
2010-03-03,74.29
2010-03-04,72.24
2010-03-05,73.54
2010-03-08,74.58
2010-03-09,74.66
2010-03-10,72.91
2010-03-11,74.91
2010-03-12,74.68
2010-03-15,76.02
2010-03-16,75.49
2010-03-17,77.62
2010-03-18,77.77
2010-03-19,80.4
2010-03-22,82.63
2010-03-23,85.19
2010-03-24,86.58
2010-03-25,90.19
2010-03-26,87.9
2010-03-29,89.32
2010-03-30,91.57
2010-03-31,95.35
2010-04-01,94.7
2010-04-02,94.49
2010-04-06,99.07
2010-04-07,101.27
2010-04-08,97.85
2010-04-09,103.13
2010-04-12,105.99
2010-04-13,98.59
2010-04-14,98.22
2010-04-15,91.65
2010-04-16,94.68
2010-04-19,93.94
2010-04-20,90.13
2010-04-21,98.31
2010-04-22,100.08
2010-04-23,97.33
2010-04-26,95.43
2010-04-27,94.65
2010-04-28,89.46
2010-04-29,87.2
2010-04-30,87.18
2010-05-04,88.03
2010-05-05,90.48
2010-05-06,88.59
2010-05-07,85.45
2010-05-10,81.18
2010-05-11,78.48
2010-05-12,78.48
2010-05-13,79.16
2010-05-14,78.81
2010-05-17,75.7
2010-05-18,75.49
