序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
1,002910,易方达供给改革混合,2026-07-31,8.0689,8.0689,1.55,2.09,-8.04,60.61,88.14,197.28,255.74,178.93,118.97,706.89,193.2439,0.15%
2,021179,易方达产业机遇混合A,2026-07-31,3.0466,3.0466,0.73,1.83,-6.76,57.77,87.53,185.93,,,116.16,204.66,182.7209,0.15%
3,021180,易方达产业机遇混合C,2026-07-31,3.0181,3.0181,0.73,1.83,-6.8,57.59,87.08,184.51,,,115.56,201.81,181.3555,0.00%
4,013840,银华集成电路混合A,2026-07-31,2.9812,2.9812,2.37,-9.73,-25.95,39.63,52.59,178.75,283.83,214.47,91.03,198.12,178.123,0.15%
5,013841,银华集成电路混合C,2026-07-31,2.9536,2.9536,2.37,-9.73,-25.96,39.56,52.44,178.17,282.29,212.58,90.81,195.36,177.5679,0.00%
6,005844,东方人工智能主题混合A,2026-07-31,3.1592,3.1592,2.77,-9.28,-27.04,44.49,60.47,174.02,268.51,216.58,94.59,215.92,174.8804,0.15%
7,017811,东方人工智能主题混合C,2026-07-31,3.1183,3.1183,2.77,-9.29,-27.07,44.35,60.15,172.94,265.57,212.83,94.14,237.37,173.8233,0.00%
8,720001,财通价值动量混合A,2026-07-31,12.766,13.237,3.9,-5.42,-31.88,13.23,46.65,168.42,266.31,271.32,55.19,1591.42,173.5376,0.15%
9,001480,财通成长优选混合A,2026-07-31,6.359,6.359,4.5,-5.34,-35.99,11.52,52.42,167.52,301.96,300.19,59.93,535.9,174.213,0.15%
10,021523,财通价值动量混合C,2026-07-31,3.316,3.316,3.92,-5.42,-31.91,13.14,46.34,167.42,263.6,,54.88,231.6,172.4733,0.00%
11,021528,财通成长优选混合C,2026-07-31,3.646,3.646,4.5,-5.35,-36.01,11.4,52.11,166.33,298.47,,59.56,264.6,173.1086,0.00%
