code,share_code,canonical_fund_id,name,fund_type,status,inception_date,end_date,end_known_at,known_at,source,source_ts_code,as_of
000417,000417,000417,国联安新精选灵活配置混合-A,混合型-灵活,清盘,2014-03-04,2026-08-10,2026-08-10,2014-03-04,tushare_fund_basic,000417.OF,2024-03-31
000664,000664,000664,国联安通盈灵活配置混合-A,混合型-灵活,清盘,2014-06-13,2026-04-13,2026-04-13,2014-06-13,tushare_fund_basic,000664.OF,2024-03-31
001196,001196,001196,东方鼎新灵活配置混合-A,混合型-灵活,清盘,2015-04-21,2024-12-19,2024-12-19,2015-04-21,tushare_fund_basic,001196.OF,2024-03-31
001228,001228,001228,国联安鑫享灵活配置混合-A,混合型-灵活,清盘,2015-04-28,2026-08-03,2026-08-03,2015-04-28,tushare_fund_basic,001228.OF,2024-03-31
001311,001311,001311,华安新回报灵活配置混合-A,混合型-灵活,清盘,2015-05-19,2026-04-28,2026-04-28,2015-05-19,tushare_fund_basic,001311.OF,2024-03-31
001359,001359,001359,国联安添鑫灵活配置混合-A,混合型-灵活,清盘,2015-06-02,2026-06-02,2026-06-02,2015-06-02,tushare_fund_basic,001359.OF,2024-03-31
001424,001424,001424,博时新起点灵活配置混合-A,混合型-灵活,清盘,2015-06-24,2024-08-25,2024-08-25,2015-06-24,tushare_fund_basic,001424.OF,2024-03-31
001464,001464,001464,光大保德信鼎鑫灵活配置混合-A,混合型-灵活,清盘,2015-06-11,2024-06-26,2024-06-26,2015-06-11,tushare_fund_basic,001464.OF,2024-03-31
001499,001499,001499,国投瑞银新增长灵活配置混合-A,混合型-灵活,清盘,2015-06-19,2026-01-19,2026-01-19,2015-06-19,tushare_fund_basic,001499.OF,2024-03-31
001520,001520,001520,国投瑞银研究精选股票,股票型,清盘,2017-12-01,2024-06-21,2024-06-21,2017-12-01,tushare_fund_basic,001520.OF,2024-03-31
001626,001626,001626,国泰央企改革股票-A,股票型,清盘,2015-09-01,2026-06-17,2026-06-17,2015-09-01,tushare_fund_basic,001626.OF,2024-03-31
001659,001659,001659,富安达新动力灵活配置混合,混合型-灵活,清盘,2016-12-07,2025-12-10,2025-12-10,2016-12-07,tushare_fund_basic,001659.OF,2024-03-31
