cfg,window,n,ic_mean,t_naive,t_hac
lasso__F2__fwd6_rk,full,117,0.055,2.18,1.36
lasso__F2__fwd6_rk,w2015,117,0.055,2.18,1.36
lasso__F2__fwd6_rk,w2019,84,0.0326,1.01,0.64
enet__F2__fwd6_rk,full,117,0.0533,2.08,1.29
enet__F2__fwd6_rk,w2015,117,0.0533,2.08,1.29
enet__F2__fwd6_rk,w2019,84,0.0275,0.84,0.53
svrlin__F2__fwd6_z,full,117,0.064,2.59,1.63
svrlin__F2__fwd6_z,w2015,117,0.064,2.59,1.63
svrlin__F2__fwd6_z,w2019,84,0.0349,1.11,0.71
lasso__F3__fwd6_rk,full,117,0.0473,1.79,1.06
lasso__F3__fwd6_rk,w2015,117,0.0473,1.79,1.06
lasso__F3__fwd6_rk,w2019,84,0.0201,0.6,0.36
huber__F2__fwd6_z,full,117,0.0584,2.3,1.43
huber__F2__fwd6_z,w2015,117,0.0584,2.3,1.43
huber__F2__fwd6_z,w2019,84,0.0294,0.91,0.58
huber__F2__fwd12_z,full,111,-0.0842,-3.8,-2.0
huber__F2__fwd12_z,w2015,111,-0.0842,-3.8,-2.0
huber__F2__fwd12_z,w2019,78,-0.0636,-2.43,-1.23
V3.7规则分(对照),full,123,0.1011,5.41,3.32
V3.7规则分(对照),w2015,123,0.1011,5.41,3.32
V3.7规则分(对照),w2019,84,0.0989,3.86,2.32
