pair,window,n,diff_mean,t_naive,t_hac
V3.7 − lasso__F2__fwd6_rk,full,117,0.0447,2.31,1.3
V3.7 − lasso__F2__fwd6_rk,w2015,117,0.0447,2.31,1.3
V3.7 − lasso__F2__fwd6_rk,w2019,84,0.0663,2.63,1.48
V3.7 − enet__F2__fwd6_rk,full,117,0.0465,2.32,1.29
V3.7 − enet__F2__fwd6_rk,w2015,117,0.0465,2.32,1.29
V3.7 − enet__F2__fwd6_rk,w2019,84,0.0714,2.73,1.53
V3.7 − svrlin__F2__fwd6_z,full,117,0.0358,1.96,1.1
V3.7 − svrlin__F2__fwd6_z,w2015,117,0.0358,1.96,1.1
V3.7 − svrlin__F2__fwd6_z,w2019,84,0.0641,2.73,1.55
V3.7 − lasso__F3__fwd6_rk,full,117,0.0524,2.61,1.43
V3.7 − lasso__F3__fwd6_rk,w2015,117,0.0524,2.61,1.43
V3.7 − lasso__F3__fwd6_rk,w2019,84,0.0788,3.11,1.72
V3.7 − huber__F2__fwd6_z,full,117,0.0413,2.09,1.17
V3.7 − huber__F2__fwd6_z,w2015,117,0.0413,2.09,1.17
V3.7 − huber__F2__fwd6_z,w2019,84,0.0695,2.71,1.53
V3.7 − huber__F2__fwd12_z,full,111,0.1702,6.86,3.36
V3.7 − huber__F2__fwd12_z,w2015,111,0.1702,6.86,3.36
V3.7 − huber__F2__fwd12_z,w2019,78,0.1428,5.17,2.33
