date,label,factor,ic6,ic12
2018-01-26,2018 熊顶·3587,F_value,0.182,-0.068
2018-01-26,2018 熊顶·3587,F_alpha,0.263,0.272
2018-01-26,2018 熊顶·3587,F_momentum,-0.029,0.079
2018-10-19,2018 政策底·2449,F_value,0.235,0.428
2018-10-19,2018 政策底·2449,F_alpha,-0.068,0.018
2018-10-19,2018 政策底·2449,F_momentum,-0.219,-0.254
2019-01-04,2019 双底·2440,F_value,-0.079,0.348
2019-01-04,2019 双底·2440,F_alpha,0.004,-0.102
2019-01-04,2019 双底·2440,F_momentum,-0.166,-0.311
2021-02-10,2021 茅指数顶,F_value,-0.084,0.021
2021-02-10,2021 茅指数顶,F_alpha,-0.125,-0.188
2021-02-10,2021 茅指数顶,F_momentum,0.09,-0.006
2021-12-13,2021 岁末双顶,F_value,0.468,0.29
2021-12-13,2021 岁末双顶,F_alpha,0.047,0.004
2021-12-13,2021 岁末双顶,F_momentum,-0.043,-0.247
2022-04-26,2022 疫情底·2863,F_value,,
2022-04-26,2022 疫情底·2863,F_alpha,0.092,0.021
2022-04-26,2022 疫情底·2863,F_momentum,-0.382,-0.116
2024-02-05,2024 崩盘底·2635,F_value,-0.002,-0.265
2024-02-05,2024 崩盘底·2635,F_alpha,-0.147,-0.22
2024-02-05,2024 崩盘底·2635,F_momentum,-0.097,-0.321
2024-05-20,2024 反弹顶·3174,F_value,0.479,0.334
2024-05-20,2024 反弹顶·3174,F_alpha,-0.134,0.063
2024-05-20,2024 反弹顶·3174,F_momentum,-0.141,-0.194
2024-09-23,2024·924前夜·2748,F_value,-0.413,-0.422
2024-09-23,2024·924前夜·2748,F_alpha,-0.178,-0.369
2024-09-23,2024·924前夜·2748,F_momentum,-0.128,0.002
