date,label,Q,fwd6,n6,fwd12,n12
2018-01-26,2018 熊顶·3587,1,-0.1975,30,-0.2235,30
2018-01-26,2018 熊顶·3587,2,-0.1706,29,-0.2094,29
2018-01-26,2018 熊顶·3587,3,-0.1891,29,-0.2125,29
2018-01-26,2018 熊顶·3587,4,-0.189,29,-0.2045,29
2018-01-26,2018 熊顶·3587,5,-0.1644,30,-0.1844,30
2018-10-19,2018 政策底·2449,1,0.2882,32,0.3685,32
2018-10-19,2018 政策底·2449,2,0.2735,32,0.3175,32
2018-10-19,2018 政策底·2449,3,0.2543,31,0.3204,31
2018-10-19,2018 政策底·2449,4,0.2674,32,0.3428,32
2018-10-19,2018 政策底·2449,5,0.2569,32,0.3482,32
2019-01-04,2019 双底·2440,1,0.2327,32,0.6072,32
2019-01-04,2019 双底·2440,2,0.2425,32,0.5317,32
2019-01-04,2019 双底·2440,3,0.236,31,0.5253,31
2019-01-04,2019 双底·2440,4,0.2558,32,0.5847,32
2019-01-04,2019 双底·2440,5,0.2035,32,0.4257,32
2021-02-10,2021 茅指数顶,1,-0.0045,32,-0.0537,32
2021-02-10,2021 茅指数顶,2,0.0108,32,-0.037,32
2021-02-10,2021 茅指数顶,3,0.0385,31,-0.0609,31
2021-02-10,2021 茅指数顶,4,-0.0543,32,-0.1407,32
2021-02-10,2021 茅指数顶,5,0.0205,32,-0.0656,32
2021-12-13,2021 岁末双顶,1,-0.1701,32,-0.2593,32
2021-12-13,2021 岁末双顶,2,-0.1617,32,-0.2538,32
2021-12-13,2021 岁末双顶,3,-0.1375,32,-0.2282,32
2021-12-13,2021 岁末双顶,4,-0.1133,32,-0.225,32
2021-12-13,2021 岁末双顶,5,-0.1204,32,-0.2267,32
2022-04-26,2022 疫情底·2863,1,0.1798,32,0.0951,32
2022-04-26,2022 疫情底·2863,2,0.1497,32,0.0928,32
2022-04-26,2022 疫情底·2863,3,0.1408,32,0.1125,32
2022-04-26,2022 疫情底·2863,4,0.0194,32,0.037,32
2022-04-26,2022 疫情底·2863,5,0.094,32,0.0823,32
2024-02-05,2024 崩盘底·2635,1,0.1337,32,0.5744,32
2024-02-05,2024 崩盘底·2635,2,0.0914,32,0.3919,32
2024-02-05,2024 崩盘底·2635,3,0.0868,32,0.3636,32
2024-02-05,2024 崩盘底·2635,4,0.0449,32,0.2445,32
2024-02-05,2024 崩盘底·2635,5,0.0721,32,0.2783,32
2024-05-20,2024 反弹顶·3174,1,0.1529,32,0.1441,32
2024-05-20,2024 反弹顶·3174,2,0.0566,32,0.0071,32
2024-05-20,2024 反弹顶·3174,3,0.053,32,0.0641,32
2024-05-20,2024 反弹顶·3174,4,0.0358,32,-0.0145,32
2024-05-20,2024 反弹顶·3174,5,0.0687,32,0.06,32
2024-09-23,2024·924前夜·2748,1,0.2782,32,0.8798,32
2024-09-23,2024·924前夜·2748,2,0.2925,32,0.8459,32
2024-09-23,2024·924前夜·2748,3,0.2377,32,0.7199,32
2024-09-23,2024·924前夜·2748,4,0.1902,32,0.5246,32
2024-09-23,2024·924前夜·2748,5,0.1688,32,0.4579,32
