code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
160916,0.5445,0.4,0.35,0.25,0.5082,0.965,True,0.742,0.814,0.1131,0.1982,0.829,1.0
040025,0.5445,0.4,0.35,0.25,0.5097,0.942,True,0.613,0.757,0.1795,0.2766,0.983,1.0
530019,0.5445,0.4,0.35,0.25,0.5178,0.952,False,0.645,0.814,0.1529,0.1576,0.923,1.0
519697,0.5445,0.4,0.35,0.25,0.4985,0.961,True,0.774,0.548,0.1034,0.1737,0.718,1.0
740001,0.5445,0.4,0.35,0.25,0.5071,0.953,True,0.613,0.867,0.1605,0.2076,0.915,1.0
270041,0.5445,0.4,0.35,0.25,0.5423,0.942,False,0.548,0.612,0.1201,0.1801,0.807,1.0
470098,0.5445,0.4,0.35,0.25,0.5146,0.945,False,0.806,0.954,0.1609,0.1861,1.092,1.0
160211,0.5445,0.4,0.35,0.25,0.4961,0.98,True,0.677,1.006,0.1469,0.3311,0.959,1.0
000020,0.5445,0.4,0.35,0.25,0.507,0.936,True,0.645,0.957,0.1093,0.1476,1.001,1.0
630016,0.5445,0.4,0.35,0.25,0.4968,0.961,False,0.581,1.002,0.1367,0.1558,1.092,1.0
519983,0.5445,0.4,0.35,0.25,0.5012,0.96,True,0.839,1.204,0.1747,0.2891,0.971,1.0
688888,0.5445,0.4,0.35,0.25,0.5107,0.944,True,0.484,0.723,0.1071,0.1617,0.572,1.0
450009,0.5445,0.4,0.35,0.25,0.5062,0.951,False,0.677,1.118,0.1555,0.2262,0.926,1.0
202019,0.5445,0.4,0.35,0.25,0.5082,0.947,True,0.839,1.432,0.1662,0.2613,0.994,1.0
400007,0.5445,0.4,0.35,0.25,0.5017,0.957,False,0.677,1.176,0.1464,0.2439,1.204,1.0
110013,0.5445,0.4,0.35,0.25,0.5003,0.957,False,0.677,1.289,0.1363,0.1722,1.052,1.0
630006,0.5445,0.4,0.35,0.25,0.4976,0.952,False,0.645,1.297,0.1668,0.2862,1.092,1.0
213003,0.5445,0.4,0.35,0.25,0.4934,0.956,False,0.645,1.544,0.134,0.2091,1.202,1.0
040011,0.5445,0.4,0.35,0.25,0.5321,0.919,True,0.645,1.013,0.1169,0.1312,0.715,1.0
040007,0.5445,0.4,0.35,0.25,0.5245,0.94,False,0.645,1.254,0.1298,0.143,0.96,1.0
240004,0.5445,0.4,0.35,0.25,0.5036,0.948,False,0.613,1.262,0.1654,0.2688,1.03,1.0
630011,0.5445,0.4,0.35,0.25,0.502,0.942,False,0.613,1.287,0.1822,0.1761,1.127,1.0
320016,0.5445,0.4,0.35,0.25,0.5062,0.943,False,0.613,1.259,0.1435,0.1403,1.003,1.0
160215,0.5445,0.4,0.35,0.25,0.5133,0.934,True,0.613,1.249,0.1336,0.2587,1.049,1.0
470006,0.5445,0.4,0.35,0.25,0.5094,0.956,False,0.419,0.903,0.137,0.1611,1.055,1.0
320022,0.5445,0.4,0.35,0.25,0.5088,0.949,False,0.548,1.042,0.1536,0.194,1.004,1.0
020001,0.5445,0.4,0.35,0.25,0.5127,0.936,True,0.581,1.239,0.129,0.2309,1.015,1.0
580001,0.5445,0.4,0.35,0.25,0.4982,0.955,False,0.581,1.303,0.146,0.2589,1.22,1.0
481015,0.5445,0.4,0.35,0.25,0.5132,0.94,False,0.581,1.293,0.1525,0.1414,1.209,1.0
519150,0.5445,0.4,0.35,0.25,0.5102,0.949,False,0.71,0.849,0.0902,0.1278,0.961,1.0
519120,0.5445,0.4,0.35,0.25,0.4929,0.965,False,0.581,1.081,0.105,0.1693,0.795,1.0
240020,0.5445,0.4,0.35,0.25,0.5134,0.958,True,0.355,0.817,0.1272,0.1054,0.99,1.0
161211,0.5445,0.4,0.35,0.25,0.5417,0.888,True,0.548,1.216,0.1282,0.1403,0.897,1.0
100056,0.5445,0.4,0.35,0.25,0.514,0.928,True,0.484,1.013,0.1131,0.154,1.007,1.0
320011,0.5445,0.4,0.35,0.25,0.5276,0.927,False,0.806,0.945,0.1072,0.1052,0.589,1.0
560006,0.5445,0.4,0.35,0.25,0.4919,0.974,False,0.355,1.003,0.1297,0.195,1.025,1.0
161903,0.5445,0.4,0.35,0.25,0.5165,0.945,True,0.548,1.19,0.1234,0.1181,0.826,1.0
519671,0.5445,0.4,0.35,0.25,0.5465,0.886,False,0.516,1.191,0.1232,0.1363,0.89,1.0
100029,0.5445,0.4,0.35,0.25,0.5069,0.952,False,0.613,0.968,0.0893,0.1459,0.922,1.0
270028,0.5445,0.4,0.35,0.25,0.4957,0.95,True,0.548,1.02,0.1012,0.1554,1.165,1.0
080012,0.5445,0.4,0.35,0.25,0.488,0.953,False,0.613,0.792,-0.0043,-0.0068,0.872,1.0
590005,0.5445,0.4,0.35,0.25,0.4969,0.961,True,0.581,1.436,0.1168,0.1211,1.116,1.0
110019,0.5445,0.4,0.35,0.25,0.5164,0.937,False,0.484,1.526,0.1385,0.1404,0.919,1.0
050022,0.5445,0.4,0.35,0.25,0.5325,0.992,False,0.29,0.673,0.0861,0.1954,0.831,1.0
080015,0.5445,0.4,0.35,0.25,0.4958,0.954,False,0.226,0.665,0.1158,0.1026,0.802,1.0
310398,0.5445,0.4,0.35,0.25,0.5463,0.887,False,0.516,1.17,0.1196,0.1314,0.869,1.0
160716,0.5445,0.4,0.35,0.25,0.552,0.88,False,0.516,1.154,0.1202,0.1286,0.843,1.0
580003,0.5445,0.4,0.35,0.25,0.4972,0.96,False,0.452,1.714,0.1499,0.2813,1.207,1.0
519908,0.5445,0.4,0.35,0.25,0.5145,0.946,False,0.452,0.895,0.1206,0.0922,0.961,1.0
470008,0.5445,0.4,0.35,0.25,0.498,0.951,False,0.452,1.287,0.1248,0.1742,1.227,1.0
