code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
002152,0.5906,0.4,0.35,0.25,0.6388,0.88,False,0.806,0.485,0.3495,0.4408,0.842,1.0
000017,0.5906,0.4,0.35,0.25,0.6312,0.874,True,0.774,0.85,0.4194,0.4148,1.049,1.0
001170,0.5906,0.4,0.35,0.25,0.6436,0.9,False,0.677,0.684,0.3015,0.3988,1.27,1.0
001437,0.5906,0.4,0.35,0.25,0.6322,0.848,True,0.677,0.811,0.3879,0.3606,1.234,1.0
001438,0.5906,0.4,0.35,0.25,0.6322,0.848,True,0.677,0.81,0.3867,0.3584,1.239,1.0
004320,0.5906,0.4,0.35,0.25,0.6366,0.861,False,0.613,0.725,0.2992,0.2446,0.678,1.0
002910,0.5906,0.4,0.35,0.25,0.6089,0.888,False,0.484,0.789,0.4608,0.4993,1.1,1.0
000742,0.5906,0.4,0.35,0.25,0.6235,0.867,False,0.581,0.904,0.449,0.395,1.328,1.0
001048,0.5906,0.4,0.35,0.25,0.6356,0.887,True,0.419,0.639,0.3805,0.3408,1.221,1.0
001513,0.5906,0.4,0.35,0.25,0.6227,0.874,False,0.806,0.662,0.2124,0.1606,0.964,1.0
240011,0.5906,0.4,0.35,0.25,0.637,0.876,True,0.645,1.17,0.4405,0.5079,1.116,1.0
000411,0.5906,0.4,0.35,0.25,0.6152,0.873,False,0.516,0.963,0.2904,0.2737,0.994,1.0
162214,0.5906,0.4,0.35,0.25,0.6239,0.894,False,0.645,1.199,0.2693,0.2909,1.289,1.0
000390,0.5906,0.4,0.35,0.25,0.6031,0.898,False,0.839,0.244,0.133,0.0946,0.841,1.0
000828,0.5906,0.4,0.35,0.25,0.6193,0.878,True,0.742,1.052,0.2676,0.2109,1.238,1.0
110029,0.5906,0.4,0.35,0.25,0.6233,0.888,False,0.677,1.279,0.252,0.2787,1.294,1.0
001480,0.5906,0.4,0.35,0.25,0.6197,0.874,False,0.742,0.851,0.1881,0.1256,1.2,1.0
481015,0.5906,0.4,0.35,0.25,0.6312,0.876,True,0.613,1.201,0.5269,0.4692,1.506,1.0
000688,0.5906,0.4,0.35,0.25,0.6144,0.876,False,0.516,0.973,0.2503,0.2439,0.962,1.0
501026,0.5906,0.4,0.35,0.25,0.6143,0.878,False,0.323,0.969,0.2808,0.2261,1.14,1.0
002163,0.5906,0.4,0.35,0.25,0.6178,0.918,True,0.419,-0.819,0.2069,0.2098,0.384,1.0
720001,0.5906,0.4,0.35,0.25,0.618,0.881,False,0.742,0.956,0.1724,0.1143,1.128,1.0
001198,0.5906,0.4,0.35,0.25,0.6178,0.918,True,0.323,0.053,0.2069,0.2097,0.379,1.0
162201,0.5906,0.4,0.35,0.25,0.6001,0.886,False,0.71,0.99,0.1173,0.0577,1.106,1.0
001184,0.5906,0.4,0.35,0.25,0.6282,0.876,False,0.484,1.219,0.3529,0.3788,1.545,1.0
110005,0.5906,0.4,0.35,0.25,0.6176,0.883,False,0.484,1.048,0.2242,0.2682,1.273,1.0
001411,0.5906,0.4,0.35,0.25,0.6259,0.892,False,0.452,0.057,-0.0339,-0.0311,0.242,1.0
002051,0.5906,0.4,0.35,0.25,0.6264,0.896,False,0.452,0.078,-0.035,-0.0314,0.24,1.0
519771,0.5906,0.4,0.35,0.25,0.5961,0.848,True,0.419,-0.06,0.0769,0.0906,0.051,1.0
519770,0.5906,0.4,0.35,0.25,0.5982,0.856,True,0.419,-0.063,0.0774,0.0912,0.051,1.0
001407,0.5906,0.4,0.35,0.25,0.6057,0.859,True,0.419,-0.01,0.0468,0.0544,0.075,1.0
001194,0.5906,0.4,0.35,0.25,0.6059,0.864,True,0.419,-0.026,0.0473,0.0555,0.075,1.0
002112,0.5906,0.4,0.35,0.25,0.6082,0.877,True,0.419,0.053,0.1067,0.1123,0.27,1.0
001412,0.5906,0.4,0.35,0.25,0.6082,0.877,True,0.419,0.055,0.107,0.1129,0.27,1.0
001753,0.5906,0.4,0.35,0.25,0.6129,0.896,True,0.355,0.701,0.1442,0.1392,1.146,1.0
740001,0.5906,0.4,0.35,0.25,0.6269,0.887,False,0.097,0.978,0.2569,0.1757,1.271,1.0
001075,0.5906,0.4,0.35,0.25,0.6146,0.882,False,0.484,1.111,0.196,0.1556,1.249,1.0
630001,0.5906,0.4,0.35,0.25,0.6101,0.891,False,0.355,1.179,0.1239,0.0737,1.338,1.0
001723,0.5906,0.4,0.35,0.25,0.6162,0.905,False,0.419,1.234,0.147,0.1121,1.435,1.0
