code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
000390,0.8708,0.4,0.35,0.25,0.8698,0.947,True,0.742,0.369,0.6419,0.9621,0.862,1.0
160220,0.8708,0.4,0.35,0.25,0.8715,0.945,True,0.548,0.218,0.4935,0.8012,0.69,1.0
582003,0.8708,0.4,0.35,0.25,0.844,0.944,True,0.613,0.914,0.1965,0.4002,1.009,1.0
000688,0.8708,0.4,0.35,0.25,0.8676,0.942,True,0.871,1.019,0.3863,0.7143,1.269,1.0
000411,0.8708,0.4,0.35,0.25,0.8617,0.94,True,0.871,1.085,0.4787,0.8287,1.123,1.0
000017,0.8708,0.4,0.35,0.25,0.8688,0.947,True,0.645,1.066,0.4774,0.7448,1.031,1.0
169101,0.8708,0.4,0.35,0.25,0.86,0.947,True,0.516,0.775,0.0677,0.3212,1.252,1.0
164205,0.8708,0.4,0.35,0.25,0.8706,0.945,True,0.581,1.015,0.2791,0.4948,0.691,1.0
000845,0.8708,0.4,0.35,0.25,0.863,0.94,True,0.419,0.85,0.4119,0.6912,1.048,1.0
110029,0.8708,0.4,0.35,0.25,0.8588,0.944,True,0.677,1.76,0.3231,0.4387,1.201,1.0
213003,0.8708,0.4,0.35,0.25,0.8689,0.946,True,0.774,2.067,0.3318,0.6274,1.27,1.0
217019,0.8708,0.4,0.35,0.25,0.8616,0.949,True,0.71,1.675,0.2346,0.4144,1.251,1.0
240017,0.8708,0.4,0.35,0.25,0.859,0.943,True,0.645,1.396,0.2962,0.4166,1.068,1.0
000522,0.8708,0.4,0.35,0.25,0.8633,0.944,True,0.742,1.223,0.3954,0.6458,1.31,1.0
040025,0.8708,0.4,0.35,0.25,0.8625,0.945,True,0.71,1.148,0.2763,0.5669,1.335,1.0
240011,0.8708,0.4,0.35,0.25,0.8302,0.944,True,0.613,1.721,0.3344,0.472,1.175,1.0
000534,0.8708,0.4,0.35,0.25,0.851,0.942,True,0.645,1.2,0.2012,0.4549,1.314,1.0
519697,0.8708,0.4,0.35,0.25,0.8369,0.95,True,0.194,0.875,0.2823,0.2275,1.095,1.0
720001,0.8708,0.4,0.35,0.25,0.8702,0.941,True,0.613,1.025,0.606,0.9154,1.457,1.0
580001,0.8708,0.4,0.35,0.25,0.8504,0.941,True,0.806,1.707,0.2503,0.4459,1.432,1.0
673010,0.8708,0.4,0.35,0.25,0.854,0.954,True,0.516,0.931,0.0877,0.2461,0.918,1.0
375010,0.8708,0.4,0.35,0.25,0.8397,0.957,True,0.645,1.972,0.3023,0.3661,1.349,1.0
000698,0.8708,0.4,0.35,0.25,0.8681,0.95,True,0.71,1.496,0.3277,0.6478,1.414,1.0
050022,0.8708,0.4,0.35,0.25,0.8636,0.944,True,0.581,1.058,0.2972,0.5785,1.388,1.0
162214,0.8708,0.4,0.35,0.25,0.8637,0.975,True,0.613,1.628,0.172,0.5178,1.34,1.0
377240,0.8708,0.4,0.35,0.25,0.8406,0.957,True,0.613,1.41,0.323,0.3965,1.38,1.0
000259,0.8708,0.4,0.35,0.25,0.8574,0.947,True,0.258,0.731,0.1112,0.1926,1.092,1.0
110026,0.8708,0.4,0.35,0.25,0.8429,0.952,True,0.548,1.658,0.1804,0.2794,1.14,1.0
580009,0.8708,0.4,0.35,0.25,0.8663,0.953,True,0.452,1.006,0.2934,0.6128,1.165,1.0
530019,0.8708,0.4,0.35,0.25,0.8715,0.951,True,0.548,1.112,0.3209,0.7121,1.354,1.0
000404,0.8708,0.4,0.35,0.25,0.8702,0.947,True,0.548,1.433,0.2915,0.5155,1.274,1.0
000714,0.8708,0.4,0.35,0.25,0.8671,0.944,True,0.774,0.437,0.0737,0.2174,1.881,1.0
202213,0.8708,0.4,0.35,0.25,0.8512,0.958,True,0.452,0.385,0.0377,0.1862,0.524,1.0
410009,0.8708,0.4,0.35,0.25,0.8103,0.97,True,0.742,1.562,0.0334,0.2961,0.9,1.0
162201,0.8708,0.4,0.35,0.25,0.8673,0.949,True,0.677,1.53,0.6224,0.9588,1.602,1.0
000823,0.8708,0.4,0.35,0.25,0.861,0.941,True,0.548,1.399,0.4014,0.6149,1.335,1.0
100039,0.8708,0.4,0.35,0.25,0.8609,0.94,True,0.581,1.2,0.3324,0.5321,1.464,1.0
460007,0.8708,0.4,0.35,0.25,0.8721,0.961,True,0.516,1.603,0.5435,0.8838,1.087,1.0
000020,0.8708,0.4,0.35,0.25,0.846,0.94,True,0.484,1.095,0.197,0.3491,1.057,1.0
519158,0.8708,0.4,0.35,0.25,0.8626,0.968,True,0.613,1.079,0.3654,0.7952,1.644,1.0
519181,0.8708,0.4,0.35,0.25,0.8139,0.952,True,0.645,1.583,0.0933,0.2449,1.397,1.0
519087,0.8708,0.4,0.35,0.25,0.8633,0.968,True,0.613,1.524,0.3553,0.7587,1.574,1.0
000828,0.8708,0.4,0.35,0.25,0.8452,0.949,True,0.645,1.403,0.2472,0.418,1.646,1.0
000746,0.8708,0.4,0.35,0.25,0.7496,0.962,False,0.71,0.847,-0.0661,0.0949,0.478,1.0
165522,0.8708,0.4,0.35,0.25,0.8612,0.952,True,0.548,1.581,0.1242,0.3172,1.397,1.0
110013,0.8708,0.4,0.35,0.25,0.8619,0.949,True,0.548,1.488,0.0886,0.2625,1.046,1.0
050010,0.8708,0.4,0.35,0.25,0.8646,0.941,True,0.581,1.481,0.3837,0.6017,1.57,1.0
000541,0.8708,0.4,0.35,0.25,0.8433,0.953,True,0.484,1.228,0.1305,0.3178,1.163,1.0
519013,0.8708,0.4,0.35,0.25,0.8336,0.958,True,0.581,1.753,0.0808,0.2273,0.677,1.0
470009,0.8708,0.4,0.35,0.25,0.8565,0.958,True,0.516,1.314,0.1759,0.3469,1.364,1.0
020009,0.8708,0.4,0.35,0.25,0.8555,0.945,True,0.516,1.541,0.1058,0.2906,0.815,1.0
519674,0.8708,0.4,0.35,0.25,0.861,0.941,True,0.548,1.439,0.1699,0.3862,1.503,1.0
000409,0.8708,0.4,0.35,0.25,0.831,0.958,True,0.516,1.207,0.2687,0.2981,1.419,1.0
540010,0.8708,0.4,0.35,0.25,0.8681,0.947,True,0.613,1.592,0.37,0.7541,1.711,1.0
100056,0.8708,0.4,0.35,0.25,0.858,0.935,True,0.516,1.147,0.1182,0.2292,0.977,1.0
000742,0.8708,0.4,0.35,0.25,0.8617,0.963,True,0.484,1.318,0.183,0.3762,1.332,1.0
000066,0.8708,0.4,0.35,0.25,0.8525,0.944,True,0.484,0.619,-0.0115,0.2454,1.284,1.0
112002,0.8708,0.4,0.35,0.25,0.8744,0.951,True,0.452,1.611,0.2396,0.5305,1.247,1.0
110002,0.8708,0.4,0.35,0.25,0.8738,0.952,True,0.452,1.649,0.2416,0.5349,1.251,1.0
000166,0.8708,0.4,0.35,0.25,0.8737,0.949,True,0.387,0.745,0.267,0.795,1.904,1.0
165521,0.8708,0.4,0.35,0.25,0.6479,0.999,False,0.548,1.063,-0.0719,-0.1024,0.644,1.0
161211,0.8708,0.4,0.35,0.25,0.6349,1.0,False,0.581,1.407,-0.0689,-0.1021,0.639,1.0
000697,0.8708,0.4,0.35,0.25,0.8679,0.946,True,0.419,1.633,0.3927,0.6421,1.26,1.0
202019,0.8708,0.4,0.35,0.25,0.8305,0.959,True,0.71,1.638,0.0264,0.1837,0.889,1.0
310358,0.8708,0.4,0.35,0.25,0.8637,0.955,True,0.323,1.792,0.2502,0.6515,1.143,1.0
519698,0.8708,0.4,0.35,0.25,0.8685,0.943,True,0.323,1.64,0.3222,0.5068,1.184,1.0
000595,0.8708,0.4,0.35,0.25,0.8396,0.951,True,0.161,1.004,0.1011,0.2484,1.267,1.0
240005,0.8708,0.4,0.35,0.25,0.8349,0.946,True,0.29,1.538,0.1691,0.3717,1.188,1.0
630001,0.8708,0.4,0.35,0.25,0.8572,0.969,True,0.29,1.694,0.1757,0.5577,1.125,1.0
000531,0.8708,0.4,0.35,0.25,0.8607,0.935,True,0.516,1.235,0.4638,0.6546,1.681,1.0
519679,0.8708,0.4,0.35,0.25,0.861,0.952,True,0.226,1.416,0.1507,0.335,1.162,1.0
000354,0.8708,0.4,0.35,0.25,0.8697,0.935,True,0.774,1.255,0.4835,0.751,2.039,1.0
000849,0.8708,0.4,0.35,0.25,0.8276,0.934,False,0.548,0.823,-0.0917,0.1072,1.255,1.0
240009,0.8708,0.4,0.35,0.25,0.8589,0.942,True,0.097,1.794,0.2896,0.2771,1.258,1.0
000547,0.8708,0.4,0.35,0.25,0.8524,0.952,True,0.226,0.971,0.0756,0.1997,1.233,1.0
202027,0.8708,0.4,0.35,0.25,0.8617,0.941,True,0.419,1.359,0.275,0.4964,1.479,1.0
