code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,entry_water,exit_reason,hold_days,gross_ret,net_ret,ann_ret,pnl_yuan,alloc_yuan
000251,工银金融地产混合A,2019-06-30,2020-06-30,2.466,2.144,86.0,41.2,0.3202,S<45,366,-0.1306,-0.1362,-0.136,-1362.19,10000.0
000339,长城医疗保健混合A,2019-06-30,2020-12-31,1.7669,3.9491,86.1,34.0,0.3202,S<45,550,1.235,1.2205,0.6986,12205.38,10000.0
000362,国泰聚信价值优势混合A,2019-06-30,2023-06-30,1.247,2.355,85.1,40.6,0.3202,S<45,1461,0.8885,0.8763,0.1704,8762.75,10000.0
000390,华商优势行业混合A,2019-06-30,2021-12-31,1.036,1.131,87.7,25.0,0.3202,S<45,915,0.0917,0.0846,0.033,846.13,10000.0
000423,前海开源事件驱动混合A,2019-06-30,2020-12-31,1.557,2.07,87.0,42.8,0.3202,S<45,550,0.3295,0.3209,0.203,3208.51,10000.0
000595,嘉实泰和混合,2019-06-30,2020-12-31,2.608,4.485,83.6,36.5,0.3202,S<45,550,0.7197,0.7085,0.4272,7085.47,10000.0
240020,华宝医药生物混合A,2019-06-30,2020-12-31,1.868,3.85,84.3,31.5,0.3202,S<45,550,1.061,1.0477,0.6095,10476.51,10000.0
270041,广发消费品精选混合A,2019-06-30,2021-03-31,2.804,4.689,85.7,30.8,0.3202,S<45,640,0.6723,0.6614,0.3361,6614.01,10000.0
290012,泰信行业精选混合A,2019-06-30,2020-12-31,1.138,1.679,87.9,41.5,0.3202,S<45,550,0.4754,0.4658,0.2891,4658.2,10000.0
519150,新华优选消费混合,2019-06-30,2021-09-30,1.599,3.5906,86.5,20.9,0.3202,S<45,823,1.2455,1.231,0.4278,12309.54,10000.0
519736,交银新成长混合,2020-06-30,2021-06-30,3.242,4.598,78.1,44.5,0.4848,S<45,365,0.4183,0.4091,0.4094,3533.34,8637.81
000547,建信健康民生混合A,2020-12-31,2022-03-31,4.863,5.669,71.3,40.2,0.6406,S<45,455,0.1657,0.1582,0.1251,2706.75,17112.36
000849,汇丰晋信双核策略混合A,2020-12-31,2021-06-30,1.6593,1.6655,70.1,36.2,0.6406,S<45,181,0.0037,-0.0028,-0.0056,-47.54,17112.36
202213,南方核心竞争混合,2020-12-31,2025-06-30,2.0112,2.1428,72.5,42.6,0.6406,S<45,1642,0.0654,0.0585,0.0127,1001.39,17112.36
160220,国泰民益混合(LOF)A,2021-12-31,2025-03-31,1.8517,1.8384,72.6,40.5,0.4401,S<45,1186,-0.0072,-0.0136,-0.0042,-251.3,18442.24
000196,工银成长收益混合B,2022-03-31,2025-06-30,1.406,1.478,96.3,31.8,0.2388,S<45,1187,0.0512,0.0444,0.0135,772.49,17403.74
000390,华商优势行业混合A,2022-03-31,2026-06-30,1.163,3.593,100.0,,0.2388,期末清算,1552,2.0894,2.0694,0.302,36014.82,17403.74
000423,前海开源事件驱动混合A,2022-03-31,2025-09-30,1.891,2.114,93.2,37.9,0.2388,S<45,1279,0.1179,0.1107,0.0304,1926.1,17403.74
000573,天弘通利混合A,2022-03-31,2025-09-30,1.608,2.559,97.7,32.8,0.2388,S<45,1279,0.5914,0.5811,0.1398,10113.12,17403.74
000743,红塔红土盛世普益混合发起式,2022-03-31,2025-09-30,1.1339,1.5823,100.0,29.8,0.2388,S<45,1279,0.3954,0.3864,0.0978,6724.67,17403.74
000845,国投瑞银信息消费混合A,2022-03-31,2023-06-30,1.163,0.927,89.9,40.3,0.2388,S<45,456,-0.2029,-0.2081,-0.1705,-3621.66,17403.74
290012,泰信行业精选混合A,2022-03-31,2025-09-30,1.404,1.813,86.1,42.2,0.2388,S<45,1279,0.2913,0.2829,0.0737,3467.9,12257.12
000259,农银区间收益混合,2023-06-30,2024-09-30,4.6974,4.2653,80.1,42.6,0.3193,S<45,458,-0.092,-0.0979,-0.0789,-1728.96,17664.01
519050,海富通安颐收益混合A,2023-06-30,2025-06-30,1.2498,1.3057,71.5,38.1,0.3193,S<45,731,0.0447,0.0379,0.0188,564.68,14880.82
