code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,entry_water,exit_reason,hold_days,gross_ret,net_ret,ann_ret,pnl_yuan,alloc_yuan
162201,宏利成长混合,2008-03-31,2008-06-30,1.8597,1.6314,73.9,43.3,0.4781,S<45,91,-0.1228,-0.1285,-0.4241,-1284.55,10000.0
162201,宏利成长混合,2008-09-30,2009-03-31,1.2161,0.8914,76.8,41.2,0.3395,S<45,182,-0.267,-0.2718,-0.4708,-2682.68,9871.54
110005,易方达积极成长混合,2008-12-31,2009-03-31,0.8606,1.022,82.0,31.6,0.1764,S<45,90,0.1875,0.1798,0.9565,1711.3,9515.87
110005,易方达积极成长混合,2010-06-30,2011-03-31,0.9747,0.967,77.4,41.8,0.1992,S<45,274,-0.0079,-0.0143,-0.0191,-140.15,9774.41
162201,宏利成长混合,2010-06-30,2015-03-31,0.9721,1.6429,85.4,16.6,0.1992,S<45,1735,0.6901,0.6791,0.1153,6637.64,9774.41
630001,华商领先企业混合,2010-12-31,2012-03-30,1.2642,0.9203,80.0,34.5,0.2623,S<45,455,-0.272,-0.2768,-0.229,-2847.38,10288.48
110005,易方达积极成长混合,2012-09-30,2013-06-28,0.7649,0.7793,80.7,33.9,0.0365,S<45,271,0.0188,0.0122,0.0165,115.52,9458.53
240011,华宝大盘精选混合,2012-09-30,2012-12-31,1.2734,1.336,82.7,43.0,0.0365,S<45,92,0.0492,0.0424,0.179,400.57,9458.53
110029,易方达科讯混合,2012-12-31,2014-09-30,0.6151,1.0007,76.7,42.1,0.151,S<45,638,0.6269,0.6163,0.3164,5874.7,9531.73
630001,华商领先企业混合,2012-12-31,2015-03-31,0.9875,2.0709,87.5,33.5,0.151,S<45,820,1.0971,1.0835,0.3868,10327.66,9531.73
110005,易方达积极成长混合,2013-12-31,2014-12-31,0.8505,0.7591,79.8,16.8,0.19,S<45,365,-0.1075,-0.1133,-0.1133,-1206.48,10652.41
240011,华宝大盘精选混合,2013-12-31,2014-09-30,1.4649,1.5431,74.1,31.0,0.19,S<45,273,0.0534,0.0465,0.0628,495.82,10652.41
740001,长安宏观策略混合A,2016-09-30,2018-03-30,1.39,1.318,71.9,44.3,0.5445,S<45,546,-0.0518,-0.058,-0.0391,-680.38,11740.2
000390,华商优势行业混合A,2017-06-30,2021-12-31,1.048,1.131,72.9,25.6,0.5708,S<45,1645,0.0792,0.0722,0.0156,843.19,11679.4
720001,财通价值动量混合A,2017-06-30,2017-12-29,2.083,1.808,70.4,42.6,0.5708,S<45,182,-0.132,-0.1377,-0.2571,-1607.72,11679.4
000688,景顺长城研究精选股票A,2018-06-30,2020-06-30,1.414,1.663,84.6,32.0,0.2183,S<45,731,0.1761,0.1685,0.0809,1922.26,11410.6
000828,宏利转型机遇股票A,2018-06-30,2018-09-28,0.79,0.699,72.6,37.1,0.2183,S<45,90,-0.1152,-0.1209,-0.4073,-1379.91,11410.6
740001,长安宏观策略混合A,2018-06-30,2019-03-29,1.231,1.166,78.4,37.6,0.2183,S<45,272,-0.0528,-0.059,-0.0783,-672.66,11410.6
000017,财通可持续混合A,2018-09-30,2021-03-31,1.322,2.048,73.0,39.6,0.2508,S<45,913,0.5492,0.5391,0.1883,5971.42,11076.38
000742,国泰新经济灵活配置混合A,2018-09-30,2020-12-31,1.75,2.819,83.6,31.9,0.2508,S<45,823,0.6109,0.6004,0.2321,6650.28,11076.38
001194,景顺长城稳健回报混合A,2018-09-30,2020-06-30,1.144,1.286,74.6,38.1,0.2508,S<45,639,0.1241,0.1168,0.0652,1294.05,11076.38
001198,东方惠新灵活配置混合A,2018-09-30,2019-03-29,1.0869,1.0741,77.7,18.5,0.2508,S<45,180,-0.0118,-0.0182,-0.0366,-201.48,11076.38
001407,景顺长城稳健回报混合C,2018-09-30,2020-06-30,1.126,1.259,99.7,38.0,0.2508,S<45,639,0.1181,0.1109,0.0619,1227.93,11076.38
001411,诺安创新驱动混合A,2018-09-30,2020-06-30,1.012,1.065,78.2,43.5,0.2508,S<45,639,0.0524,0.0455,0.0258,504.43,11076.38
001412,德邦鑫星价值灵活配置混合A,2018-09-30,2020-06-30,1.0644,1.1602,87.8,40.2,0.2508,S<45,639,0.09,0.0829,0.0466,918.56,11076.38
001480,财通成长优选混合A,2019-03-31,2020-12-31,0.97,1.865,73.6,30.0,0.3612,S<45,641,0.9227,0.9102,0.446,10621.99,11669.93
720001,财通价值动量混合A,2019-03-31,2020-09-30,1.899,3.358,70.1,40.6,0.3612,S<45,549,0.7683,0.7568,0.4548,8810.64,11641.62
001437,易方达瑞享混合I,2020-06-30,2020-12-31,2.003,2.404,74.5,43.3,0.4848,S<45,184,0.2002,0.1924,0.4181,2798.09,14542.34
001438,易方达瑞享混合E,2020-06-30,2020-12-31,1.639,1.965,74.5,41.4,0.4848,S<45,184,0.1989,0.1911,0.4151,2779.34,14542.34
002152,华宝核心优势混合A,2020-06-30,2020-12-31,2.012,2.313,76.9,36.4,0.4848,S<45,184,0.1496,0.1421,0.3019,2067.06,14542.34
000390,华商优势行业混合A,2022-03-31,2026-03-31,1.163,2.164,100.0,,0.2388,期末清算,1461,0.8607,0.8486,0.166,13516.03,15926.91
001194,景顺长城稳健回报混合A,2022-03-31,2025-06-30,1.407,2.199,77.1,39.3,0.2388,S<45,1187,0.5629,0.5528,0.145,8803.7,15926.91
