code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,hold_days,net_ret,pnl_yuan
375010,摩根中国优势混合A,2008-01-31,2009-04-30,3.5373,1.9992,73.1,43.6,455,-0.4385,-4384.91
020001,国泰金鹰增长混合,2008-03-31,2014-10-31,0.877,1.159,70.7,36.8,2405,0.313,3075.72
162201,宏利成长混合,2008-03-31,2008-06-30,1.8597,1.6314,73.9,43.3,91,-0.1285,-1262.38
162202,宏利周期混合,2008-04-30,2009-07-31,1.6763,1.1169,71.9,30.3,457,-0.338,-3331.57
162201,宏利成长混合,2008-07-31,2009-03-31,1.6564,0.8914,76.5,41.2,243,-0.4653,-4262.23
240005,华宝多策略增长A,2008-07-31,2009-06-30,0.5736,0.6505,74.0,42.6,334,0.1267,1160.55
110002,易方达策略成长混合,2008-10-31,2009-03-31,2.386,3.154,88.4,29.2,151,0.3133,2380.35
110005,易方达积极成长混合,2008-10-31,2009-03-31,0.7741,1.022,83.1,26.0,151,0.3117,2368.01
162605,景顺长城鼎益混合(LOF)A,2008-10-31,2009-04-30,0.67,0.885,94.9,23.7,181,0.3123,2372.94
163801,中银中国混合(LOF)A,2008-10-31,2009-03-31,1.0122,1.3669,92.1,33.2,151,0.3417,2595.84
260104,景顺长城内需增长混合A,2008-10-31,2009-03-31,1.901,2.67,82.8,27.1,151,0.3954,3004.2
240004,华宝动力组合混合A,2009-03-31,2009-07-31,0.7205,0.9937,79.5,32.6,122,0.3702,3521.15
240004,华宝动力组合混合A,2009-09-30,2009-12-31,0.8444,0.9947,71.7,34.2,92,0.1704,1775.3
240005,华宝多策略增长A,2009-09-30,2009-11-30,0.6517,0.7553,71.8,36.4,61,0.1514,1578.29
240008,华宝收益增长混合A,2009-11-30,2010-12-31,3.3958,3.2455,70.3,31.1,396,-0.0505,-552.6
163801,中银中国混合(LOF)A,2010-03-31,2014-12-31,1.6201,1.3661,73.8,41.1,1736,-0.1623,-1759.73
519087,新华优选分红混合A,2010-04-30,2015-04-30,0.7778,1.074,76.6,30.4,1826,0.3719,3980.0
110005,易方达积极成长混合,2010-05-31,2011-03-31,1.0363,0.967,73.5,44.1,304,-0.0729,-764.42
162201,宏利成长混合,2010-05-31,2015-03-31,1.0552,1.6429,80.4,14.2,1765,0.5469,5731.97
020009,国泰金鹏蓝筹混合,2010-06-30,2011-11-30,0.889,0.873,76.3,35.5,518,-0.0244,-246.51
162202,宏利周期混合,2010-06-30,2011-05-31,0.8711,0.9663,80.9,37.5,335,0.1021,1032.59
350002,天治低碳经济混合,2010-06-30,2011-08-31,0.773,0.9276,81.2,33.1,427,0.1922,1944.17
519013,海富通风格优势混合,2010-06-30,2011-05-31,0.941,0.937,82.7,35.4,335,-0.0107,-108.36
519068,汇添富成长焦点混合,2010-12-31,2011-02-28,1.3464,1.3169,85.3,32.7,59,-0.0283,-350.93
260104,景顺长城内需增长混合A,2011-02-28,2014-10-31,4.102,4.492,86.0,40.9,1341,0.088,1052.67
610001,信澳领先增长混合A,2011-03-31,2013-05-31,1.2534,1.0969,86.1,38.9,792,-0.1305,-1509.61
202007,南方隆元产业主题混合,2011-05-31,2011-08-31,0.72,0.673,70.4,32.4,92,-0.0713,-758.82
161604,融通深证100指数A,2011-06-30,2012-07-31,1.266,0.939,82.4,39.3,397,-0.2631,-2767.27
112002,易方达策略成长二号混合,2011-08-31,2011-11-30,1.403,1.267,82.5,36.1,91,-0.1028,-1086.74
288001,华夏经典混合,2011-08-31,2011-11-30,1.046,0.986,83.3,36.8,91,-0.0635,-671.09
100029,富国天成红利混合,2011-11-30,2014-12-31,1.2021,1.4181,70.5,39.4,1127,0.172,1639.84
080002,长盛创新先锋混合A,2012-01-31,2015-03-31,0.9811,1.4876,94.8,32.3,1155,0.5064,4481.11
400007,东方策略成长混合,2012-01-31,2015-04-30,1.2786,3.0008,94.7,15.0,1185,1.3317,11783.86
519697,交银优势行业混合,2012-07-31,2013-05-31,1.075,1.163,72.8,34.5,304,0.0748,663.47
110029,易方达科讯混合,2013-05-31,2014-09-30,0.8245,1.0007,92.9,40.6,487,0.2058,2175.42
630001,华商领先企业混合,2013-05-31,2014-12-31,1.218,1.5818,92.3,41.2,579,0.2903,3067.76
519991,长信双利优选混合A,2014-09-30,2015-03-31,1.359,1.747,85.2,33.0,182,0.2772,3451.87
470009,汇添富民营活力混合,2014-10-31,2015-03-31,1.677,2.772,84.8,32.6,151,0.6422,7737.36
519697,交银优势行业混合,2014-10-31,2015-04-30,1.32,2.173,77.4,44.6,181,0.6355,7656.69
165508,中信保诚深度价值混合(LOF),2014-12-31,2015-06-30,1.692,2.14,75.1,23.9,181,0.2566,3248.72
270025,广发行业领先混合A,2014-12-31,2015-04-30,1.486,2.391,70.4,33.9,120,0.5986,7579.33
080012,长盛电子信息产业混合A,2015-08-31,2017-02-28,1.862,1.594,71.8,23.9,547,-0.1495,-2500.06
240020,华宝医药生物混合A,2015-08-31,2015-12-31,1.487,1.873,70.8,31.1,122,0.2514,4204.6
519697,交银优势行业混合,2015-08-31,2021-05-31,2.001,5.623,74.9,41.6,2100,1.7919,29967.37
080002,长盛创新先锋混合A,2015-09-30,2016-08-31,1.3266,1.0164,72.1,42.9,336,-0.2388,-4021.15
100056,富国低碳环保混合,2015-09-30,2015-12-31,2.55,3.062,70.1,26.7,92,0.193,3249.72
519150,新华优选消费混合,2015-09-30,2021-08-31,1.774,3.4175,74.7,31.0,2162,0.9139,15389.49
040025,华安科技动力混合A,2016-02-29,2021-03-31,2.325,4.661,75.5,23.8,1857,0.9917,17515.73
320011,诺安中小盘精选混合A,2016-02-29,2020-04-30,2.109,2.004,73.8,43.7,1522,-0.056,-988.25
519679,银河主题混合A,2016-02-29,2016-06-30,3.453,3.888,76.1,40.3,122,0.1187,2095.94
160916,大成优选混合(LOF)A,2016-08-31,2020-12-31,2.194,4.148,74.1,43.9,1583,0.8783,16855.15
530019,建信社会责任混合A,2016-08-31,2017-11-30,2.013,2.065,74.2,43.7,456,0.0192,367.95
270041,广发消费品精选混合A,2016-09-30,2021-03-31,2.049,4.689,70.6,30.8,1643,1.2736,24337.56
470098,汇添富逆向投资混合A,2016-09-30,2017-08-31,2.145,1.804,70.1,38.5,335,-0.1644,-1736.64
740001,长安宏观策略混合A,2016-09-30,2019-02-28,1.39,1.147,71.9,32.7,881,-0.1802,-3443.08
000166,中海信息产业混合A,2017-02-28,2017-10-31,1.007,1.0495,99.0,44.2,245,0.0354,504.11
000259,农银区间收益混合,2017-08-31,2021-05-31,2.1652,4.4359,78.8,34.6,1369,1.0354,9137.41
519736,交银新成长混合,2017-10-31,2021-06-30,2.026,4.598,84.4,44.5,1338,1.2548,18480.53
000020,景顺长城品质投资混合A,2017-11-30,2021-03-31,2.184,3.856,80.9,19.0,1217,0.7541,14645.87
000849,汇丰晋信双核策略混合A,2019-02-28,2020-06-30,1.0814,1.263,87.5,42.0,488,0.1604,2533.98
000390,华商优势行业混合A,2020-04-30,2021-12-31,1.252,1.131,84.3,25.0,610,-0.1025,-1709.2
000595,嘉实泰和混合,2020-06-30,2020-12-31,3.55,4.485,77.9,36.5,184,0.2552,4679.18
000547,建信健康民生混合A,2020-12-31,2022-02-28,4.863,6.182,71.3,42.1,424,0.263,7012.91
202213,南方核心竞争混合,2020-12-31,2025-06-30,2.0112,2.1428,72.5,42.6,1642,0.0585,1895.65
000066,诺安鸿鑫混合A,2021-04-30,2024-05-31,1.8068,1.3887,73.7,41.0,1127,-0.2364,-7648.44
000339,长城医疗保健混合A,2021-04-30,2021-09-30,4.3187,4.5423,71.0,32.9,153,0.0449,1454.31
000679,招商丰利灵活配置混合A,2021-04-30,2021-05-31,2.169,2.196,72.6,38.6,31,0.0059,190.15
000362,国泰聚信价值优势混合A,2021-08-31,2023-06-30,3.126,2.355,71.0,40.6,668,-0.2515,-8535.13
519697,交银优势行业混合,2021-08-31,2023-07-31,6.161,4.818,77.8,44.8,699,-0.2231,-7569.03
160220,国泰民益混合(LOF)A,2021-11-30,2025-03-31,1.8388,1.8384,79.3,40.5,1217,-0.0067,-232.59
000196,工银成长收益混合B,2022-02-28,2025-06-30,1.431,1.478,91.3,31.8,1218,0.0261,855.39
000259,农银区间收益混合,2022-02-28,2024-09-30,4.7219,4.2653,93.5,42.6,945,-0.1026,-3356.04
000390,华商优势行业混合A,2022-02-28,2026-03-31,1.213,2.164,76.2,,1492,0.7724,21071.68
000573,天弘通利混合A,2022-02-28,2025-09-30,1.635,2.559,83.7,32.8,1310,0.555,18160.26
000743,红塔红土盛世普益混合发起式,2022-02-28,2025-09-30,1.1275,1.5823,91.9,29.8,1310,0.3943,12901.2
000423,前海开源事件驱动混合A,2023-06-30,2025-09-30,1.848,2.114,79.0,37.9,823,0.1365,3467.16
290012,泰信行业精选混合A,2023-07-31,2025-04-30,2.193,1.43,75.3,41.7,639,-0.3522,-9284.19
160916,大成优选混合(LOF)A,2024-05-31,2024-12-31,3.706,3.853,75.6,39.6,214,0.0329,813.28
519050,海富通安颐收益混合A,2024-09-30,2025-04-30,1.2674,1.2746,72.1,44.7,212,-0.0008,-24.85
