code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,exit_reason,hold_days,alloc_yuan,net_ret,pnl_yuan
020001,国泰金鹰增长混合,2008-12-31,2010-05-17,0.586,0.864,85.5,,trail_20%,502,9458.16,0.3787,3581.54
110002,易方达策略成长混合,2008-12-31,2009-03-31,2.684,3.154,86.7,29.2,S<45,90,10569.75,0.1675,1770.27
110005,易方达积极成长混合,2008-12-31,2009-03-31,0.8606,1.022,85.1,26.0,S<45,90,10565.0,0.1798,1899.97
162201,宏利成长混合,2008-12-31,2009-03-31,0.7791,0.8914,86.2,41.2,S<45,90,10568.17,0.1367,1444.83
162202,宏利周期混合,2008-12-31,2009-07-31,0.6581,1.1169,91.2,30.3,S<45,212,9618.24,0.6861,6599.49
162605,景顺长城鼎益混合(LOF)A,2008-12-31,2009-04-30,0.72,0.885,81.0,23.7,S<45,120,10892.25,0.2155,2347.64
163801,中银中国混合(LOF)A,2008-12-31,2009-03-31,1.115,1.3669,88.3,33.2,S<45,90,10571.33,0.218,2304.16
240005,华宝多策略增长A,2008-12-31,2009-06-30,0.4545,0.6505,84.2,42.6,S<45,181,10563.42,0.422,4457.28
260104,景顺长城内需增长混合A,2008-12-31,2009-03-31,2.063,2.67,75.7,27.1,S<45,90,10558.67,0.2858,3018.01
375010,摩根中国优势混合A,2008-12-31,2009-04-30,1.5632,1.9992,81.8,43.6,S<45,120,10383.13,0.2706,2809.83
240004,华宝动力组合混合A,2009-03-31,2009-07-31,0.7205,0.9937,79.5,32.6,S<45,122,11637.44,0.3702,4308.53
240004,华宝动力组合混合A,2009-09-30,2009-12-31,0.8444,0.9947,71.7,34.2,S<45,92,14370.35,0.1704,2448.0
240005,华宝多策略增长A,2009-09-30,2009-11-30,0.6517,0.7553,71.8,36.4,S<45,61,14372.51,0.1514,2176.67
240008,华宝收益增长混合A,2009-11-30,2010-05-17,3.3958,2.7913,70.3,,trail_20%,168,15653.32,-0.1821,-2849.82
163801,中银中国混合(LOF)A,2010-03-31,2011-01-14,1.6201,1.5425,73.8,,trail_20%,289,15222.82,-0.0543,-826.77
519087,新华优选分红混合A,2010-04-30,2011-01-17,0.7778,0.809,76.6,78.8,cppi_cap6,262,15735.79,0.0417,655.76
020001,国泰金鹰增长混合,2010-05-31,2011-01-24,0.898,0.922,86.3,,trail_20%,238,15221.25,0.0204,310.95
110005,易方达积极成长混合,2010-05-31,2011-03-17,1.0363,1.0002,73.5,54.8,cppi_cap6,290,15834.21,-0.0431,-682.38
162201,宏利成长混合,2010-05-31,2011-01-21,1.0552,1.0802,80.4,,trail_20%,235,13960.49,0.0194,270.95
020009,国泰金鹏蓝筹混合,2010-06-30,2011-01-17,0.889,0.988,76.3,67.5,cppi_cap6,201,15032.32,0.0944,1418.47
162202,宏利周期混合,2010-06-30,2011-01-17,0.8711,1.025,80.9,83.2,cppi_cap6,201,13640.82,0.169,2305.79
240008,华宝收益增长混合A,2010-06-30,2010-12-31,2.6854,3.2455,78.1,31.1,S<45,184,14401.09,0.1974,2843.36
