code,name,entry_date,exit_date,entry_px,exit_px,entry_S,exit_S,exit_reason,hold_days,alloc_yuan,net_ret,pnl_yuan
000017,财通可持续混合A,2019-09-30,2020-03-23,1.603,1.599,85.4,,trail_20%,175,10111.7,-0.009,-90.7
000220,富国医疗保健行业混合A,2019-09-30,2020-11-25,2.583,4.103,87.8,,trail_20%,422,9057.51,0.4891,4429.84
000339,长城医疗保健混合A,2019-09-30,2020-12-31,2.0524,3.9491,93.4,17.7,S<45,458,8721.87,0.8209,7159.88
000595,嘉实泰和混合,2019-09-30,2020-03-23,2.386,2.604,88.5,69.9,cppi_cap6,175,10002.07,0.0843,843.0
000878,中海医药健康产业精选混合A,2019-09-30,2020-03-31,1.799,1.806,91.9,42.2,S<45,183,10958.83,-0.0031,-33.83
164205,天弘文化新兴产业股票A,2019-09-30,2021-03-31,1.4873,2.7152,87.8,42.4,S<45,548,8860.31,0.795,7043.68
200007,长城安心回报混合A,2019-09-30,2020-03-23,1.1347,1.2238,87.1,53.6,cppi_cap6,175,10473.32,0.0696,729.44
240020,华宝医药生物混合A,2019-09-30,2020-12-31,2.22,3.85,93.9,17.1,S<45,458,9543.09,0.6503,6205.43
260104,景顺长城内需增长混合A,2019-09-30,2019-12-31,6.78,7.314,85.8,36.5,S<45,92,10113.22,0.0718,725.72
519674,银河创新成长混合A,2019-09-30,2020-03-09,3.3668,5.181,86.5,,trail_20%,161,9209.83,0.5289,4870.73
000020,景顺长城品质投资混合A,2019-12-31,2021-03-15,2.599,3.739,90.7,,trail_20%,440,9648.04,0.428,4129.72
000362,国泰聚信价值优势混合A,2020-06-30,2020-12-31,2.314,2.608,87.0,34.3,S<45,184,13739.97,0.1182,1624.52
000523,国投瑞银医疗保健混合A,2020-06-30,2020-12-15,1.948,1.601,86.7,,trail_20%,168,13243.32,-0.1835,-2429.69
000534,长盛高端装备混合A,2020-06-30,2021-03-09,2.431,3.074,80.6,56.4,cppi_cap6,252,12194.42,0.2563,3125.35
000541,华商创新成长混合发起式A,2020-06-30,2021-03-08,2.096,2.556,79.7,,trail_20%,251,11220.04,0.2116,2373.61
160916,大成优选混合(LOF)A,2020-06-30,2020-12-31,3.451,4.148,82.2,34.5,S<45,184,13080.6,0.1942,2539.85
000390,华商优势行业混合A,2020-12-31,2021-06-29,1.312,1.186,76.8,,trail_20%,180,14664.88,-0.1018,-1493.03
000409,鹏华环保产业股票,2020-12-31,2021-03-08,4.169,3.649,82.1,,trail_20%,67,15354.48,-0.1304,-2002.39
000849,汇丰晋信双核策略混合A,2020-12-31,2021-06-30,1.6593,1.6655,80.0,32.4,S<45,181,14674.89,-0.0028,-40.77
040011,华安核心优选混合A,2020-12-31,2021-09-30,2.6194,2.8572,80.7,44.9,S<45,273,13509.01,0.0837,1130.77
169101,东方红睿丰混合,2020-12-31,2021-06-30,2.499,2.428,83.2,14.5,S<45,181,15268.72,-0.0335,-511.81
519150,新华优选消费混合,2020-12-31,2021-03-08,3.351,2.852,83.2,,trail_20%,67,15356.78,-0.1544,-2371.62
000066,诺安鸿鑫混合A,2021-03-31,2022-01-21,1.7483,1.9936,80.2,63.4,cppi_cap6,296,14523.36,0.1142,1659.28
000547,建信健康民生混合A,2021-03-31,2022-03-15,5.103,5.534,83.0,,trail_20%,349,13057.08,0.0735,959.19
000390,华商优势行业混合A,2021-06-30,2021-10-28,1.194,1.332,80.0,,trail_20%,120,14626.13,0.1083,1584.56
000689,前海开源新经济混合A,2021-06-30,2022-01-21,2.445,3.189,79.7,60.0,cppi_cap6,205,12076.3,0.2958,3572.52
202027,南方高端装备混合A,2021-06-30,2022-01-21,3.845,3.967,77.0,57.9,cppi_cap6,205,15649.66,0.0216,338.0
288001,华夏经典混合,2021-06-30,2022-03-15,2.074,2.039,79.4,,trail_20%,258,14882.35,-0.025,-372.75
310368,申万菱信竞争优势混合A,2021-06-30,2021-10-12,2.4212,2.7066,75.2,,trail_20%,104,14067.29,0.1106,1556.13
630008,华商策略精选混合,2021-06-30,2022-01-21,1.684,1.839,74.5,65.5,cppi_cap6,205,15146.75,0.085,1286.79
720001,财通价值动量混合A,2021-06-30,2021-09-29,3.991,4.722,74.9,,trail_20%,91,15149.02,0.1755,2658.4
000362,国泰聚信价值优势混合A,2021-12-31,2022-04-13,3.173,2.519,72.0,,trail_20%,103,17777.59,-0.2086,-3707.95
420005,天弘周期策略混合A,2021-12-31,2022-03-15,3.133,2.367,71.5,,trail_20%,74,17101.48,-0.2494,-4265.07
519697,交银优势行业混合,2021-12-31,2022-03-15,6.606,5.23,70.6,,trail_20%,74,17421.67,-0.2134,-3718.37
688888,浙商聚潮产业成长混合A,2021-12-31,2022-07-06,1.866,2.039,70.2,85.2,cppi_cap3,187,13758.6,0.0856,1178.01
000196,工银成长收益混合B,2022-06-30,2024-12-31,1.446,1.483,92.2,32.7,S<45,915,15136.24,0.0195,294.57
000390,华商优势行业混合A,2022-06-30,2023-10-23,1.084,0.98,96.3,,trail_20%,480,15423.56,-0.1022,-1576.9
000845,国投瑞银信息消费混合A,2022-06-30,2022-07-06,1.082,1.14,90.9,90.9,cppi_cap3,6,15391.46,0.0468,719.8
160220,国泰民益混合(LOF)A,2022-06-30,2023-10-19,1.8489,1.7974,92.2,75.9,cppi_cap3,476,15793.3,-0.0339,-535.89
290012,泰信行业精选混合A,2022-06-30,2022-07-06,1.55,1.441,92.1,92.1,cppi_cap3,6,15393.76,-0.0764,-1175.41
000573,天弘通利混合A,2023-03-31,2025-04-03,1.883,2.198,90.9,45.8,cppi_cap6,734,14406.8,0.1515,2183.25
270025,广发行业领先混合A,2023-03-31,2023-10-19,1.942,1.821,84.6,72.3,cppi_cap3,202,16250.57,-0.0669,-1086.42
290012,泰信行业精选混合A,2023-03-31,2023-09-07,1.911,1.955,90.2,,trail_20%,160,14271.04,0.0164,233.83
000743,红塔红土盛世普益混合发起式,2024-09-30,2024-12-31,1.2707,1.3363,85.2,43.0,S<45,92,15977.31,0.0448,715.78
000746,招商行业精选股票基金,2024-09-30,2025-03-31,4.531,4.389,81.5,39.0,S<45,182,16809.06,-0.035,-588.95
160220,国泰民益混合(LOF)A,2024-09-30,2024-12-31,1.8752,1.8995,81.3,36.3,S<45,92,15972.52,0.0064,101.97
519050,海富通安颐收益混合A,2024-09-30,2024-12-31,1.2674,1.2836,79.4,31.9,S<45,92,15970.13,0.0062,99.16
