date,water,S,rating,rank_pct,signal,F_value,val_pct,F_alpha,ir,dc,F_mom,r4,r7,top3,R_MDD,pens,fwd6,fwd12
2024-07-31,0.3262,7.7,Sell/Avoid 红灯,0.005,⚪回避,0.0,0.7053,44.2,0.032,0.835,0.0,-0.0209,0.0162,0.589,1.737,回撤比值1.74>1.5(水位33%≤35%底部降级)(-50%),0.0844,0.5784
2024-08-31,0.2574,9.3,Sell/Avoid 红灯,0.005,⚪回避,0.0,0.7015,10.5,0.032,1.037,60.0,-0.006,0.0161,0.612,1.738,回撤比值1.74>1.5(水位26%≤35%底部降级)(-50%),0.0629,1.0206
2024-09-30,0.6495,0.0,Sell/Avoid 红灯,0.092,🚫否决池,0.0,0.8384,6.6,0.032,1.06,60.0,-0.0136,-0.0277,0.538,1.87,回撤比值1.87>1.5(-100%),-0.1836,0.7118
2024-10-31,0.5772,0.0,Sell/Avoid 红灯,0.05,🚫否决池,38.3,0.6152,40.7,0.097,0.856,100.0,0.036,0.0131,0.295,1.534,回撤比值1.53>1.5(-100%),-0.0601,0.926
2024-11-30,0.5995,20.5,Sell/Avoid 红灯,0.358,⚪回避,37.0,0.6283,35.8,0.097,0.885,0.0,0.0062,0.031,0.292,1.448,"回撤比值1.45∈(1.2,1.5](-25%)",0.0805,1.3222
2024-12-31,0.6541,20.1,Sell/Avoid 红灯,0.335,⚪回避,37.0,0.6284,34.3,0.097,0.894,0.0,0.0348,0.0093,0.298,1.403,"回撤比值1.40∈(1.2,1.5](-25%)",0.2393,1.3297
2025-01-31,0.5995,24.3,Sell/Avoid 红灯,0.463,⚪回避,38.2,0.6161,48.9,0.129,0.807,0.0,0.0286,0.0349,0.331,1.362,"回撤比值1.36∈(1.2,1.5](-25%)",0.3937,1.567
2025-02-28,0.619,23.3,Sell/Avoid 红灯,0.362,⚪回避,33.8,0.6614,50.0,0.129,0.768,0.0,0.0145,0.0193,0.36,1.223,"回撤比值1.22∈(1.2,1.5](-25%)",1.0734,1.8203
2025-03-31,0.6085,22.8,Sell/Avoid 红灯,0.408,⚪回避,32.4,0.6752,50.0,0.129,0.734,0.0,-0.0427,-0.0309,0.384,1.225,"回撤比值1.23∈(1.2,1.5](-25%)",1.0387,2.4381
2025-04-30,0.5692,0.0,Sell/Avoid 红灯,0.133,🚫否决池,36.5,0.6336,40.4,0.129,0.857,0.0,-0.0421,0.0285,0.361,1.526,回撤比值1.53>1.5(-100%),1.2567,3.4631
2025-05-31,0.6146,0.0,Sell/Avoid 红灯,0.151,🚫否决池,34.3,0.6555,49.1,0.129,0.805,0.0,-0.1266,-0.1585,0.36,1.509,回撤比值1.51>1.5(-100%),1.0229,3.871
2025-06-30,0.7005,0.0,Sell/Avoid 红灯,0.413,🚫否决池,0.0,0.7149,50.0,0.194,0.796,0.0,-0.0424,-0.0332,0.353,1.518,回撤比值1.52>1.5(-100%),0.9573,2.8432
