date,S,rank_pct,note,water,rating,F_value,val_pct,F_alpha,ir,dc,F_mom,r4,r7,top3,R_MDD,pens,fwd6,fwd12
2025-01-27,,,unknown,,,,,,,,,,,,,,,
2025-02-28,,,unknown,,,,,,,,,,,,,,,
2025-03-31,69.8,1.0,,0.6085,Hold 黄灯,32.4,0.6757,91.0,0.613,0.749,100.0,0.1649,0.5147,0.412,1.048,,0.549,0.6439
2025-04-30,69.5,0.995,,0.5692,Hold 黄灯,37.2,0.6259,84.7,0.548,0.653,100.0,0.0265,0.5618,0.371,1.16,,0.4685,1.1587
2025-05-30,67.6,0.986,,0.6146,Hold 黄灯,35.1,0.6481,81.6,0.516,0.674,100.0,-0.0016,0.0931,0.347,1.191,,0.4737,1.4383
2025-06-30,8.8,0.541,,0.7005,Sell/Avoid 红灯,0.0,0.7137,50.0,0.419,0.689,0.0,-0.0168,-0.03,0.328,1.246,"回撤比值1.25∈(1.2,1.5](-50%)",0.4701,1.7471
2025-07-31,30.5,0.89,,0.744,Sell/Avoid 红灯,0.0,0.7687,87.1,0.581,0.805,0.0,-0.1175,-0.016,0.434,1.073,,0.5833,
2025-08-29,6.6,0.495,,0.8348,Sell/Avoid 红灯,0.0,0.844,37.8,0.419,0.873,0.0,0.1158,0.0296,0.41,1.273,"回撤比值1.27∈(1.2,1.5](-50%)",0.1829,
2025-09-30,20.3,0.794,,0.8529,Sell/Avoid 红灯,0.0,0.8722,73.2,0.516,0.85,60.0,0.3049,0.2367,0.455,1.256,"回撤比值1.26∈(1.2,1.5](-50%)",0.0612,
2025-10-31,26.0,0.908,,0.8393,Sell/Avoid 红灯,0.0,0.8509,77.1,0.613,0.883,100.0,0.5619,0.5114,0.43,1.274,"回撤比值1.27∈(1.2,1.5](-50%)",0.4622,
2025-11-28,24.9,0.83,,0.8193,Sell/Avoid 红灯,0.0,0.8148,70.7,0.516,0.865,100.0,0.4946,0.4611,0.432,1.229,"回撤比值1.23∈(1.2,1.5](-50%)",0.5325,
2025-12-31,55.8,0.995,,0.8628,Hold 黄灯,0.0,0.837,87.9,0.581,0.74,100.0,0.327,0.4737,0.424,1.199,,0.8687,
2026-01-30,56.4,0.995,,0.8696,Hold 黄灯,0.0,0.8585,89.8,0.677,0.845,100.0,0.1438,0.4701,0.435,1.182,,,
2026-02-27,54.3,0.995,,0.857,Hold 黄灯,0.0,0.8666,83.6,0.613,0.845,100.0,0.1988,0.7636,0.452,1.174,,,
2026-03-31,39.9,0.936,,0.8261,Sell/Avoid 红灯,0.0,0.8063,71.1,0.645,0.938,60.0,0.105,0.4826,0.425,1.194,,,
2026-04-30,19.4,0.743,,0.8939,Sell/Avoid 红灯,0.0,0.8614,68.0,0.645,0.957,60.0,0.0559,0.0876,0.386,1.237,"回撤比值1.24∈(1.2,1.5](-50%)",,
2026-05-29,22.6,0.794,,0.8837,Sell/Avoid 红灯,0.0,0.8262,58.0,0.581,0.979,100.0,0.2078,0.2372,0.386,1.266,"回撤比值1.27∈(1.2,1.5](-50%)",,
2026-06-30,23.1,0.858,,0.8708,Sell/Avoid 红灯,0.0,0.8585,60.4,0.613,0.984,100.0,0.1925,0.4726,0.442,1.229,"回撤比值1.23∈(1.2,1.5](-50%)",,
2026-07-31,42.8,0.991,,0.839,Sell/Avoid 红灯,0.0,0.7693,50.8,0.71,1.095,100.0,0.699,0.8373,0.526,1.159,,,
