date,code,S_eng,water,wv,wa,wm,val_pct,val_cov,trend_ok,ma20_dist,wr,dc,r4,r7,R_MDD,other_pen,F_value_eng,F_alpha_eng,F_mom_eng,fwd6,fwd12,Sx_V0,Sx_V1,Sx_V2,Sx_V3,Sx_V4,Sx_V5,rk_V0,rk_V1,rk_V2,rk_V3,rk_V4,rk_V5
2019-03-31,290012,85.2,0.3612,0.4,0.35,0.25,0.3376,0.917,True,0.01695,0.677,0.32,0.1462,0.1369,1.032,1.0,65.3,97.3,100.0,0.0072,0.1188,85.173725,84.74126598420062,85.173725,85.173725,85.173725,84.74126598420062,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-31,519150,84.4,0.3612,0.4,0.35,0.25,0.3589,0.869,True,0.029,0.677,0.762,0.147,0.1622,0.824,1.0,63.3,97.3,100.0,0.0094,0.0755,84.34302500000001,82.79584730579394,84.34302500000001,84.34302500000001,84.34302500000001,82.79584730579394,0.9953703703703703,0.9907407407407407,0.9907407407407407,0.9953703703703703,0.9953703703703703,0.9861111111111112
2019-03-31,000423,83.1,0.3612,0.4,0.35,0.25,0.3623,0.878,True,0.01924,0.645,0.203,0.2363,0.251,0.907,1.0,62.9,94.2,100.0,-0.0765,0.1221,83.118425,82.92580363008616,83.118425,83.118425,83.118425,82.92580363008616,0.9907407407407407,0.9953703703703703,0.9861111111111112,0.9907407407407407,0.9907407407407407,0.9907407407407407
2019-03-31,040011,77.2,0.3612,0.4,0.35,0.25,0.3605,0.851,True,0.03754,0.935,0.938,0.1543,0.1581,0.617,1.0,63.1,77.0,100.0,0.0031,0.0066,77.19050000000001,77.21820221741461,77.19050000000001,77.19050000000001,77.19050000000001,77.21820221741461,0.9861111111111112,0.9861111111111112,0.9444444444444444,0.9675925925925926,0.9861111111111112,0.9537037037037037
2019-03-31,519736,75.0,0.3612,0.4,0.35,0.25,0.366,0.859,True,0.03576,0.968,0.613,0.1257,0.0987,0.84,1.0,62.6,100.0,60.0,0.0629,0.248,75.026,74.87335088718224,78.94961111111111,72.72441269841269,75.026,78.79696199829336,0.9814814814814815,0.9814814814814815,0.9629629629629629,0.9212962962962963,0.9814814814814815,0.9675925925925926
2019-03-31,000652,74.8,0.3612,0.4,0.35,0.25,0.3482,0.876,True,0.02499,0.774,0.988,0.1785,0.1416,0.7,1.0,64.3,68.7,100.0,0.005,0.1663,74.75353333333334,74.35705489892769,74.75353333333334,74.75353333333334,74.75353333333334,74.35705489892769,0.9768518518518519,0.9768518518518519,0.9259259259259259,0.9490740740740741,0.9768518518518519,0.9351851851851852
2019-03-31,000251,74.5,0.3612,0.4,0.35,0.25,0.3792,0.867,True,0.03018,0.871,0.75,0.1334,0.2205,0.879,1.0,61.3,100.0,60.0,0.0131,-0.0521,74.5112,73.50138123758671,84.5112,77.99664973544974,74.5112,83.50138123758671,0.9722222222222222,0.9583333333333334,0.9953703703703703,0.9768518518518519,0.9722222222222222,0.9953703703703703
2019-03-31,000017,74.4,0.3612,0.4,0.35,0.25,0.3613,0.872,True,0.02365,0.581,0.912,0.1501,0.1272,1.049,1.0,63.0,69.1,100.0,0.1109,0.188,74.44009166666666,73.53756919132718,74.44009166666666,74.44009166666666,74.44009166666666,73.53756919132718,0.9675925925925926,0.9675925925925926,0.9212962962962963,0.9398148148148148,0.9675925925925926,0.9259259259259259
2019-03-31,519158,74.2,0.3612,0.4,0.35,0.25,0.3547,0.888,True,0.02415,0.71,0.822,0.1325,0.103,1.005,1.0,63.7,96.3,60.0,0.0736,0.2486,74.18336666666667,72.21459768811309,82.23024166666669,76.84209682539684,74.18336666666667,80.26147268811309,0.9629629629629629,0.9537037037037037,0.9814814814814815,0.9629629629629629,0.9629629629629629,0.9768518518518519
2019-03-31,000390,73.8,0.3612,0.4,0.35,0.25,0.3451,0.9,True,0.01743,0.645,0.27,0.1352,0.0866,0.818,1.0,64.6,94.2,60.0,0.1068,0.3096,73.789225,73.59595240679474,81.11272037037037,79.09345780423281,73.789225,80.9194477771651,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9814814814814815,0.9583333333333334,0.9814814814814815
2019-03-31,450009,73.6,0.3612,0.4,0.35,0.25,0.3697,0.847,True,0.03754,0.968,0.993,0.1594,0.1189,0.774,1.0,62.2,67.9,100.0,0.0422,0.073,73.62336666666667,73.5138243684971,73.62336666666667,73.62336666666667,73.62336666666667,73.5138243684971,0.9537037037037037,0.9629629629629629,0.9166666666666666,0.9259259259259259,0.9537037037037037,0.9212962962962963
