feature,ridge_coef_z,ridge_abs,hgbr_perm_imp
val_pct,-0.15852763015442586,0.15852763015442586,0.2919693263312595
water,0.1294591935154444,0.1294591935154444,0.1759742207956142
val_x_trend,0.10586927886199823,0.10586927886199823,0.12316737768281735
val_cov,-0.010164664491984554,0.010164664491984554,0.12075399499352432
r7_rk,0.03405571528832543,0.03405571528832543,0.07600332072772298
R_MDD,0.013368486344615354,0.013368486344615354,0.040947328436477436
dc_rk,-0.007881307243978447,0.007881307243978447,0.03977654717720114
ma20_dist,-0.012891743138094696,0.012891743138094696,0.028813962459098463
wr_rk,-0.07793480856001016,0.07793480856001016,0.028119581406204498
mom_x_val,-0.003330450930042741,0.003330450930042741,0.02727150356839707
trend_t,-0.06729514001922995,0.06729514001922995,0.014416879388687898
rmdd_pen,-0.0011581537913415226,0.0011581537913415226,0.01043813116197847
alpha_x_lowdd,0.07175337913307339,0.07175337913307339,0.009275099920767227
r4_rk,0.01699293081690258,0.01699293081690258,0.008394217764036527
reg_mid,0.007889852128027931,0.007889852128027931,9.939779845995478e-05
reg_low,0.0069346220990285385,0.0069346220990285385,8.622383202352423e-05
reg_high,-0.017400507763618876,0.017400507763618876,0.0
other_pen,-0.000283764643220154,0.000283764643220154,0.0
