model,IC_OOS,IC_WF,score
精简 Huber a=0.01 d=2,0.14876084013841312,0.19820567913211512,0.17348325963526412
精简 Ridge a=1 d=2,0.1388066767871719,0.19296745777504662,0.16588706728110925
Huber a=0.01 d=2.0,0.17109624249932817,0.1573511293467309,0.16422368592302955
Huber a=0.02 d=1.5,0.16231291105938253,0.16321465333449847,0.1627637821969405
Huber a=0.005 d=1.5,0.16250018393298257,0.16299711508094203,0.1627486495069623
Huber a=0.01 d=1.5,0.16237431458930965,0.1627630269225187,0.1625686707559142
Ridge a=0.5 d=1.5,0.13917543524263265,0.17810309852189643,0.15863926688226454
Ridge a=1.0 d=1.5,0.1357290246312612,0.17810964000862342,0.15691933231994232
HGBR d2 l2=10,0.1110980037646734,0.1323822777429229,0.12174014075379816
HGBR d2 l2=20,0.11459456124410373,0.1269450883628621,0.12076982480348292
V3.7 baseline,0.09263477167794261,0.11592756735876372,0.10428116951835317
