model,IC_mean,IC_t,ICIR,hit,buy_fwd,buy_win,top10_fwd,q1_fwd,ls_top_q1,n_q
Blend 1.0 Ridge + 0.0 S_eng,0.18000075836217494,3.1983871740214447,0.7151811139475399,0.75,0.049591584533737666,0.5049279757391963,0.06326227272727274,-0.0033619767441860396,0.06662424947145877,20
Ridge a=3.0 dec=1.0,0.18000075836217494,3.1983871740214447,0.7151811139475399,0.75,0.049591584533737666,0.5049279757391963,0.06326227272727274,-0.0033619767441860396,0.06662424947145877,20
"★ FINAL Ridge(a=3.0, dec=1.0)",0.18000075836217494,3.1983871740214447,0.7151811139475399,0.75,0.049591584533737666,0.5049279757391963,0.06326227272727274,-0.0033619767441860396,0.06662424947145877,20
Ridge a=5.0 dec=1.0,0.1767221413824988,3.1947711336740854,0.7143725427449322,0.75,0.05001387414708111,0.5049279757391963,0.06545931818181817,-0.0011882558139534828,0.06664757399577166,20
Ridge a=2.0 dec=1.0,0.1812681075595077,3.1773848274520367,0.7104848464859194,0.75,0.050968840030325986,0.5072024260803639,0.06543727272727273,-0.002369302325581393,0.06780657505285413,20
Ridge a=1.0 dec=1.0,0.18185555826561256,3.1610663510650046,0.7068359242368565,0.75,0.05079802880970432,0.5049279757391963,0.06381454545454546,-0.004514767441860465,0.06832931289640592,20
Ridge a=0.5 dec=1.0,0.18070099310847815,3.144442172682898,0.7031186449436092,0.75,0.051681046247156935,0.5034116755117514,0.0640284090909091,-0.0040275581395348954,0.06805596723044399,20
Ridge a=0.3 dec=1.0,0.17966496147727534,3.141279274883067,0.7024113994949785,0.75,0.051521379833206975,0.5018953752843063,0.06544431818181819,-0.00453709302325582,0.069981411205074,20
精简 Ridge a=0.5 dec=1.5,0.20098799516313415,3.0183696113393936,0.6749279632174504,0.8,0.05470826383623959,0.5094768764215315,0.06485954545454545,-0.0058538372093023235,0.07071338266384777,20
精简 Ridge a=1.0 dec=1.5,0.19839165283957277,2.967049526389493,0.6634524433615463,0.8,0.05367755875663382,0.5087187263078089,0.06232931818181819,-0.004644069767441856,0.06697338794926004,20
Ridge a=0.3 dec=1.5,0.17787668547481678,2.9608823426877553,0.6620734191628648,0.8,0.05289052312357846,0.5072024260803639,0.06545000000000001,-0.0036274418604651144,0.06907744186046512,20
Ridge a=0.5 dec=1.5,0.17810309852189643,2.940964123731194,0.6576195700051052,0.8,0.05293692191053828,0.511751326762699,0.06523272727272728,-0.00242779069767442,0.06766051797040169,20
Ridge a=1.0 dec=1.5,0.17810964000862342,2.9253225894999813,0.654122016623767,0.8,0.052082107657316155,0.510235026535254,0.06111931818181819,-0.0015755813953488378,0.06269489957716703,20
Ridge a=3.0 dec=1.5,0.17471680558951716,2.9080043244313223,0.6502495348291789,0.8,0.04973616376042457,0.5079605761940864,0.05570250000000001,0.0004727906976744197,0.05522970930232559,20
Ridge a=2.0 dec=1.5,0.17683333731360198,2.9061456304843802,0.6498339182277059,0.8,0.050971569370735395,0.5087187263078089,0.05572136363636364,-9.151162790697002e-05,0.05581287526427061,20
精简 Ridge a=2.0 dec=1.5,0.1944788857329341,2.8810933864866386,0.6442320661709198,0.8,0.05338961334344199,0.5094768764215315,0.06152863636363636,-0.0026115116279069837,0.06414014799154334,20
Blend 0.8 Ridge + 0.19999999999999996 S_eng,0.17481158371224867,2.8802162398868236,0.6440359302285779,0.85,0.05197460197119029,0.5109931766489765,0.07233227272727273,0.0051695348837209245,0.06716273784355181,20
Ridge a=5.0 dec=1.5,0.17035855019217522,2.874308569899795,0.6427149350606147,0.8,0.04868976497346475,0.5034116755117514,0.057032045454545446,0.0005136046511627917,0.056518440803382655,20
精简 Ridge a=0.5 dec=2,0.19550661906395556,2.8566416588081944,0.6387644936452883,0.8,0.0534417740712661,0.510235026535254,0.06129204545454546,-0.0034817441860465147,0.06477378964059198,20
Ridge a=0.3 dec=2.0,0.17500906014065024,2.839786663351681,0.6349956020851669,0.8,0.05379370735405611,0.5125094768764216,0.06516886363636364,3.488372093022975e-05,0.0651339799154334,20
Ridge a=0.5 dec=2.0,0.17564039660189595,2.822163402764573,0.6310549212193702,0.8,0.05294746019711903,0.5140257771038665,0.06740295454545454,-0.0006145348837209356,0.06801748942917547,20
精简 Ridge a=1.0 dec=2,0.19296745777504662,2.809131848922763,0.6281409771950968,0.8,0.05296793025018954,0.5072024260803639,0.06125999999999999,-0.0027805813953488303,0.06404058139534882,20
Ridge a=1.0 dec=2.0,0.1759085620941197,2.8007101643054697,0.6262578312661635,0.8,0.05339188779378317,0.513267626990144,0.06758159090909091,-0.00023662790697674213,0.06781821881606766,20
Lasso a=0.0005,0.17426025545525106,2.7956996482583794,0.6251374458177987,0.8,0.0531226686884003,0.511751326762699,0.06402340909090909,-0.001467558139534888,0.06549096723044398,20
Ridge a=2.0 dec=2.0,0.1747278757644631,2.79362774554081,0.6246741542858736,0.75,0.053795678544351765,0.5140257771038665,0.062380227272727275,0.0004976744186046522,0.06188255285412262,20
Ridge a=3.0 dec=2.0,0.17270253696904656,2.7909025337293603,0.6240647783995249,0.75,0.05312691432903715,0.5140257771038665,0.06345613636363637,0.0016893023255813828,0.06176683403805498,20
Blend 0.7 Ridge + 0.30000000000000004 S_eng,0.16366430742228372,2.7714249792586845,0.6197094648163363,0.85,0.050816906747536014,0.513267626990144,0.06811545454545453,0.010268255813953494,0.05784719873150104,20
Lasso a=0.001,0.17631509603400183,2.7691961812878065,0.6192110904392366,0.8,0.053234799090219845,0.513267626990144,0.06764886363636363,-0.0006846511627906966,0.06833351479915432,20
Huber a=0.05 dec=1.5,0.1635832051398217,2.766642231087144,0.6186400098132536,0.8,0.052556330553449604,0.5018953752843063,0.06281954545454545,0.0012345348837209406,0.06158501057082451,20
Huber a=0.005 dec=1.5,0.16299711508094203,2.763361455711639,0.6179064061373999,0.8,0.0522989385898408,0.49962092494313876,0.06240227272727273,0.0010256976744186103,0.06137657505285412,20
Ridge a=5.0 dec=2.0,0.1685429401718036,2.7610813087125536,0.6173965497685352,0.75,0.05154184988627748,0.511751326762699,0.05979227272727272,0.002137674418604643,0.05765459830866808,20
Huber a=0.001 dec=1.5,0.16274033154636552,2.7603434238134086,0.6172315536891293,0.8,0.05222729340409401,0.4988627748294162,0.06137772727272727,0.0009603488372093073,0.06041737843551796,20
Huber a=0.01 dec=1.5,0.1627630269225187,2.7588860875687353,0.616905683398213,0.8,0.05235648218347233,0.49962092494313876,0.062177500000000004,0.0010737209302325633,0.06110377906976744,20
精简 Ridge a=2.0 dec=2,0.18956308822003762,2.744056337960748,0.6135896505769368,0.8,0.05217990902198636,0.5087187263078089,0.06066749999999999,-0.0010097674418604499,0.061677267441860445,20
精简 Ridge a=5.0 dec=1.5,0.1841460522303178,2.739988189678174,0.6126799849666984,0.8,0.052339272175890836,0.5079605761940864,0.059991363636363634,-0.00031058139534883634,0.06030194503171247,20
精简 Ridge a=0.5 dec=3,0.18927898789980752,2.730303577424936,0.6105144398333017,0.8,0.050591508718726315,0.5087187263078089,0.06268818181818181,-0.0028530232558139595,0.06554120507399577,20
