model,IC_mean,IC_std,ICIR,IC_t,IC_hit%,Q5-Q1_mean,Q5-Q1_t,TopDecile_excess,TopDecile_t,Buy_n,Buy_fwd6,Buy_win%,n_quarters
V3.7现行引擎,0.1217,0.2006,0.607,3.211,0.821,0.0321,1.615,0.0306,2.705,1850,0.0918,0.622,28
RandomForest,0.1157,0.2285,0.506,2.025,0.75,0.0337,1.118,0.0132,0.509,1056,0.0479,0.506,16
Ridge,0.0987,0.3042,0.324,1.297,0.812,0.0072,0.174,-0.0018,-0.082,1056,0.0401,0.516,16
Huber,0.0956,0.3056,0.313,1.252,0.812,0.0057,0.133,0.0018,0.085,1056,0.0422,0.516,16
ElasticNet,0.0863,0.312,0.277,1.106,0.812,0.0096,0.228,-0.0002,-0.01,1056,0.0394,0.511,16
Lasso,0.0852,0.3137,0.272,1.086,0.812,0.0093,0.219,0.0084,0.315,1056,0.0406,0.509,16
GradientBoosting,0.0687,0.272,0.253,1.011,0.688,0.0156,0.405,0.0077,0.382,1056,0.0473,0.505,16
HistGBM,0.0621,0.2621,0.237,0.948,0.688,0.0119,0.329,0.0123,0.513,1056,0.0426,0.497,16
IC-Weighted,0.0581,0.3052,0.19,0.762,0.75,0.0045,0.101,0.0134,0.459,1056,0.0453,0.493,16
Quantile(Median),0.0528,0.2877,0.183,0.734,0.688,-0.0032,-0.072,0.0059,0.216,1056,0.0416,0.505,16
Regime-Conditional Ridge,0.055,0.3577,0.154,0.614,0.625,-0.0042,-0.093,-0.0155,-0.669,1056,0.0372,0.497,16
Stacking(Ridge+HGBR),-0.0664,0.2828,-0.235,-0.94,0.375,-0.0507,-1.35,-0.0416,-1.659,1056,0.0121,0.474,16
