model,IC_mean,IC_std,ICIR,IC_t,IC_hit%,Q5-Q1_mean,Q5-Q1_t,TopDecile_excess,TopDecile_t,Buy_n,Buy_fwd6,Buy_win%,n_quarters
V3.7现行引擎,0.1217,0.2006,0.607,3.211,0.821,0.0321,1.615,0.0306,2.705,1850,0.0918,0.622,28
Stacking(Ridge+HGBR),0.0862,0.1958,0.44,1.969,0.65,0.0249,1.05,0.0091,0.547,1319,0.0368,0.493,20
Ridge,0.0963,0.2471,0.39,1.743,0.7,0.0167,0.63,0.0079,0.695,1319,0.0335,0.484,20
Huber,0.0903,0.2317,0.39,1.743,0.7,0.0102,0.41,0.0082,0.777,1319,0.0336,0.485,20
RandomForest,0.0885,0.2299,0.385,1.722,0.7,0.029,1.253,0.0138,0.724,1319,0.0346,0.468,20
ElasticNet,0.0982,0.2809,0.349,1.563,0.75,0.0263,0.782,0.0131,0.653,1319,0.0405,0.491,20
Lasso,0.0965,0.2869,0.336,1.505,0.75,0.0315,0.862,0.0154,0.696,1319,0.0415,0.485,20
Quantile(Median),0.0914,0.2738,0.334,1.493,0.75,0.0362,0.941,0.0354,1.335,1319,0.0431,0.483,20
GradientBoosting,0.0731,0.2371,0.308,1.38,0.7,0.033,1.217,0.0073,0.378,1319,0.0382,0.475,20
IC-Weighted,0.0782,0.2917,0.268,1.198,0.75,0.0255,0.65,0.0313,1.187,1319,0.0404,0.476,20
HistGBM,0.0564,0.2145,0.263,1.175,0.8,0.0279,1.191,0.0109,0.554,1318,0.0377,0.467,20
Regime-Conditional Ridge,0.06,0.2736,0.219,0.98,0.6,0.011,0.382,-0.003,-0.23,1319,0.0268,0.463,20
