date,code,water,wv,wa,wm,val_pct,val_cov,trend_ok,wr,dc,r4,r7,R_MDD,other_pen
2019-03-31,290012,0.3612,0.4,0.35,0.25,0.3341,0.934,True,0.71,0.314,0.1462,0.1369,0.999,1.0
2019-03-31,000251,0.3612,0.4,0.35,0.25,0.3754,0.889,True,0.871,0.737,0.1334,0.2205,0.869,1.0
2019-03-31,519150,0.3612,0.4,0.35,0.25,0.3553,0.894,True,0.71,0.751,0.147,0.1622,0.813,1.0
2019-03-31,000423,0.3612,0.4,0.35,0.25,0.3588,0.904,True,0.645,0.164,0.2363,0.251,0.895,1.0
2019-03-31,000390,0.3612,0.4,0.35,0.25,0.3418,0.924,True,0.645,0.261,0.1352,0.0866,0.802,1.0
2019-03-31,165521,0.3612,0.4,0.35,0.25,0.3741,0.895,True,0.677,0.822,0.1329,0.2259,0.89,1.0
2019-03-31,519158,0.3612,0.4,0.35,0.25,0.351,0.906,True,0.71,0.818,0.1325,0.103,0.996,1.0
2019-03-31,000742,0.3612,0.4,0.35,0.25,0.3503,0.913,True,0.645,0.751,0.1553,0.0838,1.272,1.0
2019-03-31,040011,0.3612,0.4,0.35,0.25,0.3572,0.882,True,0.935,0.904,0.1543,0.1581,0.607,1.0
2019-03-31,320022,0.3612,0.4,0.35,0.25,0.3316,0.922,True,0.806,0.926,0.1625,0.0781,0.759,1.0
2019-03-31,519736,0.3612,0.4,0.35,0.25,0.3636,0.88,True,0.968,0.581,0.1257,0.0987,0.832,1.0
2019-03-31,000595,0.3612,0.4,0.35,0.25,0.3595,0.887,True,0.581,0.585,0.1438,0.0723,1.033,1.0
2019-03-31,000652,0.3612,0.4,0.35,0.25,0.3442,0.904,True,0.774,0.947,0.1785,0.1416,0.689,1.0
2019-03-31,000020,0.3612,0.4,0.35,0.25,0.3465,0.89,True,0.71,0.876,0.1429,0.0698,1.074,1.0
2019-03-31,450009,0.3612,0.4,0.35,0.25,0.3671,0.88,True,0.968,0.961,0.1594,0.1189,0.762,1.0
2019-03-31,000017,0.3612,0.4,0.35,0.25,0.359,0.895,True,0.581,0.88,0.1501,0.1272,1.037,1.0
2019-03-31,080002,0.3612,0.4,0.35,0.25,0.3452,0.915,True,0.548,0.843,0.1378,0.1022,0.905,1.0
2019-03-31,530019,0.3612,0.4,0.35,0.25,0.3468,0.894,True,0.548,0.826,0.1454,0.0769,0.995,1.0
2019-03-31,040025,0.3612,0.4,0.35,0.25,0.3509,0.894,True,0.903,0.755,0.1335,0.0585,0.809,1.0
2019-03-31,000613,0.3612,0.4,0.35,0.25,0.3659,0.89,True,0.774,0.904,0.1253,0.1137,1.013,1.0
2019-03-31,519674,0.3612,0.4,0.35,0.25,0.3367,0.937,True,0.645,0.882,0.1268,0.0913,0.938,1.0
2019-03-31,519068,0.3612,0.4,0.35,0.25,0.3792,0.877,True,0.677,0.963,0.137,0.0957,1.091,1.0
2019-03-31,580009,0.3612,0.4,0.35,0.25,0.3541,0.904,True,0.71,0.695,0.1156,0.0919,0.798,1.0
2019-03-31,000409,0.3612,0.4,0.35,0.25,0.3451,0.912,True,0.806,0.848,0.1252,0.0799,1.01,1.0
2019-03-31,000362,0.3612,0.4,0.35,0.25,0.3517,0.889,True,0.677,0.514,0.1306,0.0514,1.084,1.0
2019-03-31,720001,0.3612,0.4,0.35,0.25,0.349,0.922,True,0.548,0.93,0.3236,0.3338,1.083,1.0
2019-03-31,050022,0.3612,0.4,0.35,0.25,0.3353,0.889,True,0.419,0.746,0.2956,0.132,1.163,1.0
2019-03-31,673010,0.3612,0.4,0.35,0.25,0.3533,0.892,True,0.419,0.756,0.188,0.1303,1.046,1.0
2019-03-31,162605,0.3612,0.4,0.35,0.25,0.3665,0.859,True,0.774,1.099,0.2164,0.1528,1.051,1.0
2019-03-31,000746,0.3612,0.4,0.35,0.25,0.3513,0.898,True,0.548,0.957,0.2348,0.1927,1.134,1.0
2019-03-31,002031,0.3612,0.4,0.35,0.25,0.3573,0.895,True,0.871,0.738,0.115,0.0787,0.65,1.0
2019-03-31,161903,0.3612,0.4,0.35,0.25,0.3497,0.912,True,0.742,1.166,0.247,0.2366,0.729,1.0
