code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,last_date,error
009707,工银新兴制造混合A,混合型-偏股,右侧,60.0,Hold 黄灯,0.0,0.7749,False,0,100.0,0.774,0.584,100.0,0.7746,0.9629,0.8690909090909091,0.8981818181818182,77.7,1612,False,,2026-07-31,
013107,华夏先进制造龙头混合A,混合型-偏股,右侧,60.0,Hold 黄灯,0.0,0.7694,False,0,100.0,0.742,0.702,100.0,1.0446,1.1032,0.990909090909091,0.9654545454545455,5.32,1720,False,,2026-07-31,
519770,交银优择回报灵活配置混合A,混合型-灵活,右侧,59.1,Hold 黄灯,0.0,0.7683,False,0,97.3,0.677,0.152,100.0,0.7431,0.8833,0.8418181818181818,0.8436363636363636,44.16,2771,False,,2026-07-31,
014401,富国核心趋势混合A,混合型-偏股,右侧,55.3,Hold 黄灯,0.0,0.7669,False,0,86.5,0.567,0.707,100.0,0.6559,0.7931,0.7545454545454545,0.769090909090909,0.73,3207,False,,2026-07-31,
160220,国泰民益混合(LOF)A,混合型-灵活,右侧,54.6,Hold 黄灯,0.0,0.7638,False,0,84.7,0.548,0.283,100.0,0.7075,0.8023,0.8063636363636364,0.7763636363636364,2.5,1522,False,,2026-07-31,
008980,中邮科技创新精选混合A,混合型-偏股,右侧,53.9,Hold 黄灯,0.0,0.7689,False,0,82.7,0.581,0.831,100.0,0.7075,0.8052,0.8063636363636364,0.78,3.95,1649,False,,2026-07-31,
018000,鹏华芯片产业混合发起式A,混合型-偏股,右侧,50.0,Hold 黄灯,0.0,0.7681,False,0,100.0,0.793,0.791,60.0,0.5188,0.7173,0.58,0.6890909090909091,2.74,1815,False,,2026-07-31,
501026,财通多策略福享混合(LOF)A,混合型-灵活,右侧,49.6,Sell/Avoid 红灯,0.0,0.7674,False,0,70.3,0.677,0.962,100.0,0.9242,0.8936,0.9581818181818181,0.86,7.56,3735,False,,2026-07-31,
011822,易方达产业升级混合A,混合型-偏股,右侧,49.1,Sell/Avoid 红灯,0.0,0.7665,False,0,97.3,0.677,0.722,60.0,0.4528,0.6031,0.5018181818181818,0.5654545454545454,40.05,3140,False,,2026-07-31,
014341,摩根时代睿选股票A,股票型,右侧,48.7,Sell/Avoid 红灯,0.0,0.7666,False,0,96.2,0.667,0.641,60.0,0.4783,0.615,0.5372727272727272,0.58,1.73,4016,False,,2026-07-31,
009242,中加核心智造混合A,混合型-偏股,右侧,48.0,Sell/Avoid 红灯,0.0,0.7665,False,0,94.2,0.645,0.555,60.0,0.4941,0.7111,0.5563636363636364,0.68,0.66,1193,False,,2026-07-31,
007685,华商电子行业量化股票发起式A,股票型,右侧,47.2,Sell/Avoid 红灯,0.0,0.7717,False,0,63.3,0.806,1.02,100.0,0.7826,0.8771,0.8763636363636363,0.8381818181818181,3.6,2806,False,,2026-07-31,
006809,泰康香港银行指数A,指数型-股票,右侧,47.2,Sell/Avoid 红灯,30.4,0.6956,True,0,100.0,0.935,0.495,0.0,0.0403,0.0265,0.22727272727272727,0.24727272727272728,4.76,786,True,,2026-07-31,
501025,鹏华中证香港银行指数(LOF)A,指数型-股票,右侧,47.1,Sell/Avoid 红灯,30.3,0.6972,True,0,100.0,0.968,0.502,0.0,0.0335,0.0196,0.22363636363636363,0.24,7.65,3972,True,,2026-07-31,
001856,易方达环保主题混合A,混合型-灵活,右侧,46.8,Sell/Avoid 红灯,0.0,0.7661,False,0,91.0,0.613,0.762,60.0,0.4672,0.7279,0.5254545454545455,0.6963636363636364,85.97,3140,False,,2026-07-31,
015604,华安动力领航混合A,混合型-偏股,右侧,46.7,Sell/Avoid 红灯,0.0,0.7707,False,0,90.7,0.71,0.856,60.0,0.4602,0.5706,0.5127272727272727,0.5345454545454545,1.3,2029,False,,2026-07-31,
014193,汇添富中证芯片产业指数增强发起式A,指数型-股票,右侧,46.5,Sell/Avoid 红灯,0.0,0.7726,False,0,61.3,0.774,1.032,100.0,0.699,0.8373,0.7963636363636364,0.8145454545454546,23.51,1091,True,,2026-07-31,
000017,财通可持续混合A,混合型-偏股,右侧,46.4,Sell/Avoid 红灯,0.0,0.7675,False,0,61.2,0.677,1.017,100.0,0.9416,0.908,0.9636363636363636,0.8727272727272727,6.75,3735,False,,2026-07-31,
007343,嘉实科技创新混合,混合型-偏股,右侧,44.6,Sell/Avoid 红灯,0.0,0.771,False,0,56.0,0.677,1.048,100.0,0.7989,0.9791,0.8963636363636364,0.9090909090909091,78.02,2644,False,,2026-07-31,
959991,兴证资管金麒麟领先优势一年持有期混合A,混合型-偏股,右侧,44.6,Sell/Avoid 红灯,0.0,0.7649,False,0,84.7,0.548,0.691,60.0,0.5735,0.575,0.6345454545454545,0.5363636363636364,3.84,1402,False,,2026-07-31,
002289,华商改革创新股票A,股票型,右侧,44.0,Sell/Avoid 红灯,0.0,0.7674,False,0,54.3,0.516,0.964,100.0,0.819,1.1003,0.9163636363636364,0.9636363636363636,1.25,1741,False,,2026-07-31,
002910,易方达供给改革混合,混合型-灵活,右侧,42.5,Sell/Avoid 红灯,0.0,0.7673,True,0,50.0,0.355,0.734,100.0,0.9079,1.2239,0.9490909090909091,0.9836363636363636,140.76,2658,False,,2026-07-31,
014727,易方达成长动力混合A,混合型-偏股,右侧,42.5,Sell/Avoid 红灯,0.0,0.7619,False,0,100.0,0.839,0.672,30.0,0.4804,0.4487,0.54,0.4290909090909091,37.9,2578,False,,2026-07-31,
001723,华商新动力混合A,混合型-偏股,右侧,42.5,Sell/Avoid 红灯,0.0,0.7688,False,0,50.0,0.71,1.293,100.0,0.7429,0.9927,0.84,0.9163636363636364,2.32,1741,False,,2026-07-31,
009402,交银启明混合A,混合型-偏股,右侧,42.5,Sell/Avoid 红灯,0.0,0.7679,False,0,50.0,0.355,0.793,100.0,0.6252,0.8101,0.7272727272727273,0.7890909090909091,23.23,2771,False,,2026-07-31,
006533,易方达科融混合,混合型-偏股,右侧,42.5,Sell/Avoid 红灯,0.0,0.762,False,0,100.0,0.839,0.693,30.0,0.4952,0.4651,0.5581818181818182,0.44363636363636366,130.76,2578,False,,2026-07-31,
002450,平安睿享文娱混合A,混合型-灵活,右侧,42.0,Sell/Avoid 红灯,0.0,0.7708,False,0,77.1,0.581,0.865,60.0,0.6117,0.7596,0.6945454545454546,0.7254545454545455,26.51,3636,False,,2026-07-31,
006976,鹏华核心优势混合A,混合型-偏股,右侧,41.9,Sell/Avoid 红灯,0.0,0.7658,False,0,48.3,0.484,0.81,100.0,0.7742,1.063,0.8672727272727273,0.9509090909090909,5.07,1688,False,,2026-07-31,
018411,易方达芯片ETF联接A,指数型-股票,右侧,39.4,Sell/Avoid 红灯,0.0,0.7717,False,0,41.0,0.613,1.144,100.0,0.6188,0.7371,0.7090909090909091,0.7072727272727273,4.97,2330,True,,2026-07-31,
000823,银华高端制造业混合A,混合型-灵活,右侧,39.4,Sell/Avoid 红灯,0.0,0.7673,False,0,41.0,0.613,1.349,100.0,0.7383,0.8343,0.8363636363636363,0.8118181818181818,6.33,4113,False,,2026-07-31,
012552,天弘芯片产业ETF联接A,指数型-股票,右侧,39.4,Sell/Avoid 红灯,0.0,0.7717,False,0,41.0,0.613,1.192,100.0,0.6211,0.7407,0.7181818181818181,0.7090909090909091,4.63,379,True,,2026-07-31,
012319,东财消费电子增强A,指数型-股票,右侧,39.1,Sell/Avoid 红灯,0.0,0.7697,False,0,69.0,0.806,0.986,60.0,0.5908,0.6748,0.6618181818181819,0.6381818181818182,0.94,1965,True,,2026-07-31,
001227,中邮信息产业灵活配置混合A,混合型-灵活,右侧,38.3,Sell/Avoid 红灯,0.0,0.7693,False,0,37.9,0.581,1.154,100.0,0.6851,0.8057,0.7836363636363637,0.7818181818181819,13.78,4086,False,,2026-07-31,
009993,嘉实前沿创新混合,混合型-偏股,右侧,38.3,Sell/Avoid 红灯,0.0,0.7686,False,0,37.9,0.581,1.181,100.0,0.8115,1.0858,0.9109090909090909,0.9581818181818181,30.75,2644,False,,2026-07-31,
002772,光大产业新动力混合A,混合型-灵活,右侧,37.1,Sell/Avoid 红灯,0.0,0.7759,False,0,63.2,0.645,0.986,60.0,0.6761,0.7322,0.7727272727272727,0.6981818181818182,1.56,3503,False,,2026-07-31,
519172,浦银安盛睿智精选混合A,混合型-灵活,右侧,36.1,Sell/Avoid 红灯,0.0,0.7772,False,0,31.6,0.516,1.152,100.0,0.7338,0.7734,0.8345454545454546,0.7463636363636363,0.61,2041,False,,2026-07-31,
012550,华宝中证电子50ETF联接A,指数型-股票,右侧,35.6,Sell/Avoid 红灯,0.0,0.7697,False,0,58.9,0.645,1.012,60.0,0.5397,0.5625,0.5963636363636363,0.5218181818181818,0.61,437,True,,2026-07-31,
015876,富国中证消费电子主题ETF发起式联接A,指数型-股票,右侧,35.6,Sell/Avoid 红灯,0.0,0.7684,False,0,58.8,0.71,1.047,60.0,0.5566,0.5766,0.6163636363636363,0.54,1.24,4076,True,,2026-07-31,
001267,宏利蓝筹混合,混合型-偏股,右侧,35.5,Sell/Avoid 红灯,0.0,0.7677,False,0,58.7,0.71,1.048,60.0,0.5239,0.6317,0.5872727272727273,0.6018181818181818,0.75,1336,False,,2026-07-31,
002860,前海开源沪港深新机遇混合A,混合型-灵活,右侧,35.0,Sell/Avoid 红灯,0.0,0.7707,False,0,100.0,0.71,0.581,0.0,0.2839,0.3767,0.3618181818181818,0.3781818181818182,0.8,2204,False,,2026-07-31,
