code,name,ftype,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
009707,工银新兴制造混合A,混合型-偏股,右侧,59.4,Hold 黄灯,0.0,0.7712,False,False,0,98.2,0.742,0.614,100.0,0.7746,0.9629,0.8553846153846154,0.8846153846153846,77.7,1612,False,,0.839,标准,2026-07-31,
013107,华夏先进制造龙头混合A,混合型-偏股,右侧,58.6,Hold 黄灯,0.0,0.7654,False,False,0,96.1,0.742,0.743,100.0,1.0446,1.1032,0.9923076923076923,0.9569230769230769,5.32,1720,False,,0.839,标准,2026-07-31,
519770,交银优择回报灵活配置混合A,混合型-灵活,右侧,58.6,Hold 黄灯,0.0,0.7644,False,False,0,96.1,0.677,0.169,100.0,0.7431,0.8833,0.8323076923076923,0.8323076923076923,44.16,2771,False,,0.839,标准,2026-07-31,
001194,景顺长城稳健回报混合A,混合型-灵活,右侧,56.7,Hold 黄灯,0.0,0.7638,False,False,0,99.9,0.903,0.272,100.0,0.6777,0.7053,0.7661538461538462,0.6523076923076923,53.89,1586,False,回撤比值1.31(平滑5%)(-5%),0.839,标准,2026-07-31,
001198,东方惠新灵活配置混合A,混合型-灵活,右侧,56.2,Hold 黄灯,0.0,0.7699,False,False,0,95.7,0.71,0.724,100.0,1.0397,1.3945,0.9907692307692307,1.0,11.04,2285,False,回撤比值1.28(平滑4%)(-4%),0.839,标准,2026-07-31,
011377,创金合信积极成长股票A,股票型,右侧,53.4,Hold 黄灯,0.0,0.7721,False,False,0,91.2,0.742,0.827,100.0,0.8889,1.0097,0.94,0.92,0.94,1983,False,回撤比值1.32(平滑6%)(-6%),0.839,标准,2026-07-31,
007639,汇添富竞争优势灵活配置混合,混合型-灵活,右侧,52.5,Hold 黄灯,0.0,0.7753,False,False,0,78.7,0.548,0.481,100.0,0.8403,0.9646,0.9138461538461539,0.8861538461538462,55.97,1091,False,,0.839,标准,2026-07-31,
014401,富国核心趋势混合A,混合型-偏股,右侧,52.4,🌱观察仓,0.0,0.7629,False,False,0,79.5,0.567,0.755,100.0,0.6559,0.7931,0.7430769230769231,0.7476923076923077,0.73,3207,False,回撤比值1.22(平滑1%)(-1%),0.839,标准,2026-07-31,
013238,财通均衡优选一年持有混合A,混合型-偏股,右侧,50.3,Hold 黄灯,0.0,0.7644,False,False,0,92.2,0.71,0.803,100.0,0.744,0.9223,0.8353846153846154,0.8676923076923077,1.34,650,False,经理任期1年(归因平滑12%)(-12%),0.839,标准,2026-07-31,
160220,国泰民益混合(LOF)A,混合型-灵活,右侧,50.2,Hold 黄灯,0.0,0.7605,False,False,0,72.1,0.516,0.324,100.0,0.7075,0.8023,0.8007692307692308,0.7538461538461538,2.5,1522,False,,0.839,标准,2026-07-31,
