code,name,ftype,channel,S_total,S_v4_raw,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error
013107,华夏先进制造龙头混合A,混合型-偏股,右侧,75.0,0.3128414575413446,Buy 浅绿,0.0,0.8216,True,True,0,93.7,0.677,0.74,100.0,0.9349,1.0515,0.9538461538461539,0.9415384615384615,5.32,1720,False,,0.8557,标准,2026-08-07,
001411,诺安创新驱动混合A,混合型-灵活,右侧,73.1,0.3879425128406585,Buy 浅绿,0.0,0.829,True,True,0,82.0,0.581,0.757,100.0,0.9529,1.2385,0.9584615384615385,0.9830769230769231,3.64,1170,False,回撤比值1.39(平滑9%)(-9%),0.8557,标准,2026-08-07,
021179,易方达产业机遇混合A,混合型-偏股,新星,72.4,0.37980426478827645,🌱观察仓,0.0,0.8205,True,True,0,68.7,0.5,0.57,100.0,0.8978,1.1442,0.9446153846153846,0.9646153846153847,1.65,2659,False,回撤比值1.23(平滑2%)(-2%),0.8557,标准,2026-08-07,
009707,工银新兴制造混合A,混合型-偏股,右侧,72.3,0.22626052027249535,Buy 浅绿,0.0,0.8301,False,False,0,99.4,0.839,0.604,100.0,0.8371,1.0186,0.9246153846153846,0.9246153846153846,77.7,1612,False,回撤比值1.22(平滑1%)(-1%),0.8557,标准,2026-08-07,
519770,交银优择回报灵活配置混合A,混合型-灵活,右侧,72.2,0.23353295936542443,Buy 浅绿,0.0,0.8208,True,True,0,93.6,0.645,0.165,100.0,0.7003,0.8372,0.8492307692307692,0.84,44.16,2771,False,,0.8557,标准,2026-08-07,
001198,东方惠新灵活配置混合A,混合型-灵活,右侧,71.8,0.2938578325754263,Buy 浅绿,0.0,0.8296,False,False,0,97.4,0.774,0.718,100.0,1.0649,1.4673,0.9907692307692307,0.9984615384615385,11.04,2285,False,回撤比值1.42(平滑11%)(-11%),0.8557,标准,2026-08-07,
001480,财通成长优选混合A,混合型-灵活,右侧,71.3,0.4197011736852624,Buy 浅绿,0.0,0.8205,True,True,0,73.5,0.71,0.945,100.0,0.9723,1.0432,0.9661538461538461,0.94,63.08,4274,False,回撤比值1.49(平滑14%)(-14%),0.8557,标准,2026-08-07,
016500,华夏半导体龙头混合发起A,混合型-偏股,右侧,71.2,0.34535048046357997,Buy 浅绿,0.0,0.8258,True,True,0,76.0,0.742,0.936,100.0,0.8459,1.007,0.9307692307692308,0.9215384615384615,6.27,1720,False,回撤比值1.36(平滑8%)(-8%),0.8557,标准,2026-08-07,
011377,创金合信积极成长股票A,股票型,右侧,71.2,0.2649592721525277,Buy 浅绿,0.0,0.8317,False,False,0,92.1,0.774,0.823,100.0,0.9404,1.0815,0.9553846153846154,0.9553846153846154,0.94,1983,False,回撤比值1.32(平滑6%)(-6%),0.8557,标准,2026-08-07,
006502,财通集成电路产业股票A,股票型,右侧,70.2,0.41676532764091123,Buy 浅绿,0.0,0.8205,True,True,0,67.8,0.677,0.968,100.0,0.9647,1.0266,0.9615384615384616,0.9276923076923077,22.96,4274,False,回撤比值1.51(平滑15%)(-15%),0.8557,标准,2026-08-07,
014736,创金合信专精特新股票发起A,股票型,右侧,69.9,0.38468867432082743,Hold 黄灯,0.0,0.8321,True,True,0,79.6,0.613,0.856,100.0,1.0785,1.2762,0.9923076923076923,0.9892307692307692,2.86,1983,False,回撤比值1.58(平滑19%)(-19%),0.8557,标准,2026-08-07,
002910,易方达供给改革混合,混合型-灵活,右侧,69.6,0.38252824301776067,Hold 黄灯,0.0,0.8208,True,True,0,49.4,0.355,0.762,100.0,0.9253,1.1814,0.9507692307692308,0.9707692307692307,140.76,2658,False,,0.8557,标准,2026-08-07,
013840,银华集成电路混合A,混合型-偏股,右侧,69.2,0.3497877086379595,Hold 黄灯,0.0,0.832,True,True,0,73.0,0.613,0.903,100.0,1.1013,1.4413,0.9953846153846154,0.9969230769230769,79.09,2965,False,回撤比值1.49(平滑14%)(-14%),0.8557,标准,2026-08-07,
014854,嘉实中证半导体指数增强发起式A,指数型-股票,右侧,69.0,0.2840378631918997,Hold 黄灯,0.0,0.835,True,True,0,79.1,0.677,0.903,100.0,0.9221,1.0622,0.9492307692307692,0.9446153846153846,12.97,5902,True,回撤比值1.40(平滑10%)(-10%),0.8557,标准,2026-08-07,
720001,财通价值动量混合A,混合型-灵活,右侧,68.2,0.37505512394608587,Hold 黄灯,0.0,0.82,True,True,0,53.4,0.645,1.049,100.0,0.8643,0.9162,0.936923076923077,0.9046153846153846,67.22,4274,False,回撤比值1.37(平滑8%)(-8%),0.8557,标准,2026-08-07,
002289,华商改革创新股票A,股票型,右侧,68.0,0.3309884941329695,Hold 黄灯,0.0,0.8247,True,True,0,49.2,0.548,0.976,100.0,0.8733,1.1526,0.94,0.9692307692307692,1.25,1741,False,,0.8557,标准,2026-08-07,
007639,汇添富竞争优势灵活配置混合,混合型-灵活,右侧,67.8,0.25421169303299773,Hold 黄灯,0.0,0.836,False,False,0,65.8,0.484,0.478,100.0,1.0215,1.1457,0.9753846153846154,0.9661538461538461,55.97,1091,False,,0.8557,标准,2026-08-07,
006976,鹏华核心优势混合A,混合型-偏股,右侧,67.4,0.2558736413174906,Hold 黄灯,0.0,0.8229,True,True,0,62.3,0.516,0.851,100.0,0.6474,0.8768,0.7830769230769231,0.8676923076923077,5.07,1688,False,,0.8557,标准,2026-08-07,
001723,华商新动力混合A,混合型-偏股,右侧,66.8,0.3199402489063178,Hold 黄灯,0.0,0.8254,True,True,0,46.2,0.677,1.343,100.0,0.817,1.0672,0.9215384615384615,0.9476923076923077,2.32,1741,False,,0.8557,标准,2026-08-07,
