code,name,ftype,channel,S_total,S_v4_raw,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,error,region,rbsa
001801,汇添富达欣混合A,混合型-灵活,全量-主池,78.2,0.2898415508888193,Buy 浅绿,32.0,0.6794,True,True,0.0,78.8,0.548,0.242,100.0,0.2018,0.1396,0.7708471577084716,0.6418933864189339,8.32,1961.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.068, ""沪深300"": 0.053, ""中证500"": 0.067, ""中证1000"": 0.055, ""创业板50"": 0.047, ""上证红利"": 0.044, ""全指材料"": 0.072, ""全指工业"": 0.052, ""全指消费"": 0.099, ""全指医药"": 0.225, ""全指金融"": 0.055, ""全指信息"": 0.041, ""纳斯达克100"": 0.003, ""标普500"": 0.006, ""恒生指数"": 0.038, ""恒生科技"": 0.074}"
013107,华夏先进制造龙头混合A,混合型-偏股,全量-主池,77.3,0.3532381364169787,Buy 浅绿,0.0,0.8215,True,True,0.0,93.7,0.677,0.74,100.0,0.9349,1.0515,0.99535500995355,0.9944702499447023,5.32,1725.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.052, ""沪深300"": 0.08, ""中证500"": 0.115, ""中证1000"": 0.104, ""创业板50"": 0.177, ""上证红利"": 0.0, ""全指材料"": 0.072, ""全指工业"": 0.068, ""全指消费"": 0.0, ""全指医药"": 0.006, ""全指金融"": 0.0, ""全指信息"": 0.229, ""纳斯达克100"": 0.043, ""标普500"": 0.018, ""恒生指数"": 0.0, ""恒生科技"": 0.035}"
001417,汇添富医疗服务灵活配置混合A,混合型-灵活,全量-主池,76.2,0.2841876912209077,Buy 浅绿,32.0,0.6798,True,True,0.0,68.7,0.548,0.853,100.0,0.1945,0.1311,0.7638796726387967,0.6288431762884318,22.35,1961.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.067, ""沪深300"": 0.053, ""中证500"": 0.067, ""中证1000"": 0.055, ""创业板50"": 0.047, ""上证红利"": 0.044, ""全指材料"": 0.073, ""全指工业"": 0.052, ""全指消费"": 0.099, ""全指医药"": 0.225, ""全指金融"": 0.055, ""全指信息"": 0.041, ""纳斯达克100"": 0.003, ""标普500"": 0.007, ""恒生指数"": 0.038, ""恒生科技"": 0.074}"
009707,工银新兴制造混合A,混合型-偏股,全量-主池,75.1,0.2886064519159621,Buy 浅绿,0.0,0.83,False,False,0.0,99.3,0.839,0.609,100.0,0.8371,1.0186,0.9924795399247954,0.9924795399247954,77.7,1617.0,False,回撤比值1.22(平滑1%)(-1%),0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.055, ""沪深300"": 0.075, ""中证500"": 0.124, ""中证1000"": 0.109, ""创业板50"": 0.167, ""上证红利"": 0.0, ""全指材料"": 0.057, ""全指工业"": 0.062, ""全指消费"": 0.0, ""全指医药"": 0.008, ""全指金融"": 0.0, ""全指信息"": 0.259, ""纳斯达克100"": 0.04, ""标普500"": 0.015, ""恒生指数"": 0.0, ""恒生科技"": 0.029}"
001856,易方达环保主题混合A,混合型-灵活,全量-主池,74.8,0.3344326024448382,Buy 浅绿,0.0,0.8194,True,True,0.0,84.3,0.613,0.805,100.0,0.3966,0.6376,0.8920592789205928,0.9460296394602964,85.97,3145.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.044, ""沪深300"": 0.077, ""中证500"": 0.118, ""中证1000"": 0.115, ""创业板50"": 0.174, ""上证红利"": 0.0, ""全指材料"": 0.091, ""全指工业"": 0.077, ""全指消费"": 0.0, ""全指医药"": 0.011, ""全指金融"": 0.0, ""全指信息"": 0.21, ""纳斯达克100"": 0.036, ""标普500"": 0.015, ""恒生指数"": 0.0, ""恒生科技"": 0.032}"
011822,易方达产业升级混合A,混合型-偏股,全量-主池,74.8,0.3066387262654205,Buy 浅绿,0.0,0.8193,True,True,0.0,90.8,0.645,0.753,100.0,0.4036,0.5563,0.8950453439504534,0.9234682592346826,40.05,3145.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.045, ""沪深300"": 0.077, ""中证500"": 0.117, ""中证1000"": 0.113, ""创业板50"": 0.174, ""上证红利"": 0.0, ""全指材料"": 0.089, ""全指工业"": 0.075, ""全指消费"": 0.0, ""全指医药"": 0.01, ""全指金融"": 0.0, ""全指信息"": 0.211, ""纳斯达克100"": 0.037, ""标普500"": 0.016, ""恒生指数"": 0.001, ""恒生科技"": 0.035}"
011300,易方达智造优势混合A,混合型-偏股,全量-主池,74.6,0.3129293748566459,Buy 浅绿,0.0,0.8192,True,True,0.0,88.0,0.645,0.805,100.0,0.394,0.5494,0.8905109489051095,0.9219199292191992,36.74,3145.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.045, ""沪深300"": 0.077, ""中证500"": 0.117, ""中证1000"": 0.113, ""创业板50"": 0.173, ""上证红利"": 0.0, ""全指材料"": 0.088, ""全指工业"": 0.075, ""全指消费"": 0.0, ""全指医药"": 0.011, ""全指金融"": 0.0, ""全指信息"": 0.212, ""纳斯达克100"": 0.037, ""标普500"": 0.016, ""恒生指数"": 0.001, ""恒生科技"": 0.035}"
009049,易方达高端制造混合发起式A,混合型-偏股,全量-主池,74.4,0.3072256572006893,Buy 浅绿,0.0,0.8194,True,True,0.0,88.6,0.645,0.796,100.0,0.3981,0.5704,0.8925016589250165,0.9272284892722849,98.86,3145.0,False,,0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.045, ""沪深300"": 0.077, ""中证500"": 0.117, ""中证1000"": 0.113, ""创业板50"": 0.173, ""上证红利"": 0.0, ""全指材料"": 0.089, ""全指工业"": 0.075, ""全指消费"": 0.0, ""全指医药"": 0.011, ""全指金融"": 0.0, ""全指信息"": 0.212, ""纳斯达克100"": 0.037, ""标普500"": 0.016, ""恒生指数"": 0.001, ""恒生科技"": 0.035}"
017102,大摩数字经济混合A,混合型-偏股,全量-主池,74.1,0.3654227302409591,Buy 浅绿,0.0,0.8163,True,True,0.0,90.1,0.903,0.851,100.0,0.5917,0.7519,0.96040698960407,0.9666003096660032,134.71,2666.0,False,回撤比值1.41(平滑10%)(-10%),0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.041, ""沪深300"": 0.078, ""中证500"": 0.115, ""中证1000"": 0.113, ""创业板50"": 0.187, ""上证红利"": 0.0, ""全指材料"": 0.08, ""全指工业"": 0.071, ""全指消费"": 0.0, ""全指医药"": 0.007, ""全指金融"": 0.0, ""全指信息"": 0.216, ""纳斯达克100"": 0.038, ""标普500"": 0.016, ""恒生指数"": 0.002, ""恒生科技"": 0.035}"
001411,诺安创新驱动混合A,混合型-灵活,全量-主池,74.0,0.4075655113879702,Buy 浅绿,0.0,0.8289,True,True,0.0,82.0,0.581,0.757,100.0,0.9529,1.2385,0.9960185799601858,0.9982304799823049,3.64,1175.0,False,回撤比值1.38(平滑9%)(-9%),0.8557,标准,2026-08-07,,A股,"{""上证50"": 0.048, ""沪深300"": 0.074, ""中证500"": 0.12, ""中证1000"": 0.113, ""创业板50"": 0.162, ""上证红利"": 0.0, ""全指材料"": 0.069, ""全指工业"": 0.07, ""全指消费"": 0.0, ""全指医药"": 0.004, ""全指金融"": 0.0, ""全指信息"": 0.245, ""纳斯达克100"": 0.04, ""标普500"": 0.018, ""恒生指数"": 0.0, ""恒生科技"": 0.037}"
