code,name,ftype,region,channel,S_total,rating,F_value,val_pct,trend_ok,trend_ma20,bonus,F_alpha,ir_winrate,down_capture,F_momentum,mom_4m1m,mom_7m1m,rank4,rank7,scale,tenure_days,is_passive,penalty_str,water,weights_mode,last_date,rbsa,error
016452,南方纳斯达克100指数发起(QDII)A,指数型-海外股票,海外,全量-主池,80.0,Buy 浅绿,,0.7344,True,True,0.0,71.8,0.516,0.59,98.7,0.19,0.1119,0.7606406318560772,0.5987275120666959,62.1,1960.0,True,回撤比值1.32(平滑6%)(-6%),0.8557,标准,2026-08-06,"{""纳斯达克100"": 0.525, ""标普500"": 0.255, ""恒生指数"": 0.058, ""恒生科技"": 0.162}",
001801,汇添富达欣混合A,混合型-灵活,A股,全量-主池,78.3,Buy 浅绿,32.0,0.6794,True,True,0.0,78.8,0.548,0.242,100.0,0.2018,0.1396,0.7711715664765247,0.6432645897323388,8.32,1961.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.068, ""沪深300"": 0.053, ""中证500"": 0.067, ""中证1000"": 0.055, ""创业板50"": 0.047, ""上证红利"": 0.044, ""全指材料"": 0.072, ""全指工业"": 0.052, ""全指消费"": 0.099, ""全指医药"": 0.225, ""全指金融"": 0.055, ""全指信息"": 0.041, ""纳斯达克100"": 0.003, ""标普500"": 0.006, ""恒生指数"": 0.038, ""恒生科技"": 0.074}",
519770,交银优择回报灵活配置混合A,混合型-灵活,A股,全量-主池,77.3,Buy 浅绿,0.0,0.8207,True,True,0.0,93.6,0.645,0.165,100.0,0.7003,0.8372,0.9820096533567354,0.9795963141728828,44.16,2776.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.046, ""沪深300"": 0.079, ""中证500"": 0.115, ""中证1000"": 0.109, ""创业板50"": 0.185, ""上证红利"": 0.0, ""全指材料"": 0.078, ""全指工业"": 0.068, ""全指消费"": 0.0, ""全指医药"": 0.002, ""全指金融"": 0.0, ""全指信息"": 0.225, ""纳斯达克100"": 0.041, ""标普500"": 0.017, ""恒生指数"": 0.001, ""恒生科技"": 0.034}",
013107,华夏先进制造龙头混合A,混合型-偏股,A股,全量-主池,77.2,Buy 浅绿,0.0,0.8215,True,True,0.0,93.7,0.677,0.74,100.0,0.9349,1.0515,0.9949539271610356,0.9938569548047389,5.32,1725.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.052, ""沪深300"": 0.08, ""中证500"": 0.115, ""中证1000"": 0.104, ""创业板50"": 0.177, ""上证红利"": 0.0, ""全指材料"": 0.072, ""全指工业"": 0.068, ""全指消费"": 0.0, ""全指医药"": 0.006, ""全指金融"": 0.0, ""全指信息"": 0.229, ""纳斯达克100"": 0.043, ""标普500"": 0.018, ""恒生指数"": 0.0, ""恒生科技"": 0.035}",
012752,建信纳斯达克100指数(QDII)C人民币,指数型-海外股票,海外,全量-主池,76.8,Buy 浅绿,,0.7392,False,False,0.0,94.3,0.677,0.717,85.7,0.1207,0.112,0.6913119789381308,0.5989469065379552,,,True,回撤比值1.36(平滑8%)(-8%),0.8557,标准,2026-08-03,"{""纳斯达克100"": 0.515, ""标普500"": 0.253, ""恒生指数"": 0.066, ""恒生科技"": 0.165}",
001417,汇添富医疗服务灵活配置混合A,混合型-灵活,A股,全量-主池,76.2,Buy 浅绿,32.0,0.6798,True,True,0.0,68.7,0.548,0.853,100.0,0.1945,0.1311,0.7642606406318561,0.6301009214567793,22.35,1961.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.067, ""沪深300"": 0.053, ""中证500"": 0.067, ""中证1000"": 0.055, ""创业板50"": 0.047, ""上证红利"": 0.044, ""全指材料"": 0.073, ""全指工业"": 0.052, ""全指消费"": 0.099, ""全指医药"": 0.225, ""全指金融"": 0.055, ""全指信息"": 0.041, ""纳斯达克100"": 0.003, ""标普500"": 0.007, ""恒生指数"": 0.038, ""恒生科技"": 0.074}",
009707,工银新兴制造混合A,混合型-偏股,A股,全量-主池,75.1,Buy 浅绿,0.0,0.83,False,False,0.0,99.3,0.839,0.609,100.0,0.8371,1.0186,0.9916630100921456,0.9916630100921456,77.7,1617.0,False,回撤比值1.22(平滑1%)(-1%),0.8557,标准,2026-08-07,"{""上证50"": 0.055, ""沪深300"": 0.075, ""中证500"": 0.124, ""中证1000"": 0.109, ""创业板50"": 0.167, ""上证红利"": 0.0, ""全指材料"": 0.057, ""全指工业"": 0.062, ""全指消费"": 0.0, ""全指医药"": 0.008, ""全指金融"": 0.0, ""全指信息"": 0.259, ""纳斯达克100"": 0.04, ""标普500"": 0.015, ""恒生指数"": 0.0, ""恒生科技"": 0.029}",
001856,易方达环保主题混合A,混合型-灵活,A股,全量-主池,74.8,Buy 浅绿,0.0,0.8194,True,True,0.0,84.3,0.613,0.805,100.0,0.3966,0.6376,0.8913997367266345,0.9449319877139096,85.97,3145.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.044, ""沪深300"": 0.077, ""中证500"": 0.118, ""中证1000"": 0.115, ""创业板50"": 0.174, ""上证红利"": 0.0, ""全指材料"": 0.091, ""全指工业"": 0.077, ""全指消费"": 0.0, ""全指医药"": 0.011, ""全指金融"": 0.0, ""全指信息"": 0.21, ""纳斯达克100"": 0.036, ""标普500"": 0.015, ""恒生指数"": 0.0, ""恒生科技"": 0.032}",
011822,易方达产业升级混合A,混合型-偏股,A股,全量-主池,74.7,Buy 浅绿,0.0,0.8193,True,True,0.0,90.8,0.645,0.753,100.0,0.4036,0.5563,0.8943615620886354,0.9225537516454585,40.05,3145.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.045, ""沪深300"": 0.077, ""中证500"": 0.117, ""中证1000"": 0.113, ""创业板50"": 0.174, ""上证红利"": 0.0, ""全指材料"": 0.089, ""全指工业"": 0.075, ""全指消费"": 0.0, ""全指医药"": 0.01, ""全指金融"": 0.0, ""全指信息"": 0.211, ""纳斯达克100"": 0.037, ""标普500"": 0.016, ""恒生指数"": 0.001, ""恒生科技"": 0.035}",
011300,易方达智造优势混合A,混合型-偏股,A股,全量-主池,74.6,Buy 浅绿,0.0,0.8192,True,True,0.0,88.0,0.645,0.805,100.0,0.394,0.5494,0.8898639754278193,0.9210179903466432,36.74,3145.0,False,,0.8557,标准,2026-08-07,"{""上证50"": 0.045, ""沪深300"": 0.077, ""中证500"": 0.117, ""中证1000"": 0.113, ""创业板50"": 0.173, ""上证红利"": 0.0, ""全指材料"": 0.088, ""全指工业"": 0.075, ""全指消费"": 0.0, ""全指医药"": 0.011, ""全指金融"": 0.0, ""全指信息"": 0.212, ""纳斯达克100"": 0.037, ""标普500"": 0.016, ""恒生指数"": 0.001, ""恒生科技"": 0.035}",
