code,name,ftype,S_total,rating,F_value,val_pct,trend_ok,bonus,F_alpha,ir_winrate,down_capture,F_momentum,rank4,rank7,scale,tenure_days,is_passive,penalty_str,last_date
004744,易方达创业板ETF联接C,指数型-股票,38.3,Sell/Avoid 红灯,0.0,0.7569,False,0,37.9,0.581,1.368,100.0,0.8461538461538461,0.8461538461538461,39.07,3739,True,,2026-07-31
163406,兴全合润混合A,混合型-偏股,26.7,Sell/Avoid 红灯,0.0,0.7612,False,0,4.8,0.355,1.071,100.0,0.9230769230769231,0.9230769230769231,240.58,4933,False,,2026-07-31
320007,诺安成长混合A,混合型-偏股,25.0,Sell/Avoid 红灯,0.0,0.775,False,0,0.0,0.484,1.647,100.0,1.0,1.0,119.28,1460,False,,2026-07-31
000961,天弘沪深300ETF联接A,指数型-股票,24.3,Sell/Avoid 红灯,0.0,0.7487,False,0,26.7,0.323,0.94,60.0,0.6153846153846154,0.6153846153846154,25.55,3093,True,,2026-07-31
519736,交银新成长混合,混合型-偏股,18.1,Sell/Avoid 红灯,0.0,0.7067,True,0,30.2,0.226,0.919,30.0,0.5384615384615384,0.46153846153846156,34.63,4302,False,,2026-07-31
000478,建信中证500指数增强A,指数型-股票,15.0,Sell/Avoid 红灯,0.0,0.7581,False,0,0.0,0.355,1.135,60.0,0.6923076923076923,0.7692307692307693,27.77,5247,True,,2026-07-31
003096,中欧医疗健康混合C,混合型-偏股,14.6,Sell/Avoid 红灯,35.4,0.6449,True,0,0.0,0.161,1.193,60.0,0.7692307692307693,0.6923076923076923,120.35,4043,False,"回撤比值1.31∈(1.2,1.5](-50%)",2026-07-31
000083,汇添富消费行业混合,混合型-偏股,7.6,Sell/Avoid 红灯,38.0,0.6179,True,0,0.0,0.0,1.495,0.0,0.3076923076923077,0.3076923076923077,59.52,3768,False,"回撤比值1.42∈(1.2,1.5](-50%)",2026-07-31
110011,易方达优质精选混合(QDII),QDII-混合偏股,7.1,Sell/Avoid 红灯,35.3,0.6459,True,0,0.0,0.226,1.349,0.0,0.15384615384615385,0.15384615384615385,67.77,5056,False,"回撤比值1.49∈(1.2,1.5](-50%)",2026-07-31
260108,景顺长城新兴成长混合A,混合型-偏股,0.0,Sell/Avoid 红灯,38.9,0.609,True,0,0.0,0.0,1.984,0.0,0.38461538461538464,0.38461538461538464,107.15,6302,False,回撤比值1.51>1.5(-100%),2026-07-31
161725,招商中证白酒指数(LOF)A,指数型-股票,0.0,Sell/Avoid 红灯,43.6,0.56,True,0,0.0,0.0,1.839,0.0,0.07692307692307693,0.07692307692307693,197.4,3267,True,回撤比值2.28>1.5(-100%),2026-07-31
005827,易方达蓝筹精选混合,混合型-偏股,0.0,Sell/Avoid 红灯,0.0,0.7033,False,0,0.0,0.161,1.22,0.0,0.23076923076923078,0.23076923076923078,204.16,5056,False,"回撤比值1.20∈(1.2,1.5](-50%)",2026-07-31
002190,农银新能源主题A,混合型-灵活,0.0,Sell/Avoid 红灯,0.0,0.7503,False,0,0.0,0.065,1.234,0.0,0.46153846153846156,0.5384615384615384,58.4,1844,False,"回撤比值1.37∈(1.2,1.5](-50%)",2026-07-31
