date,code,S,water,R_MDD,fwd6
2019-03-31,290012,84.74126598420062,0.3612,1.032,0.0072
2019-03-31,519150,82.79584730579394,0.3612,0.824,0.0094
2019-03-31,000423,82.92580363008616,0.3612,0.907,-0.0765
2019-03-31,040011,77.21820221741461,0.3612,0.617,0.0031
2019-03-31,519736,78.79696199829336,0.3612,0.84,0.0629
2019-03-31,000652,74.35705489892769,0.3612,0.7,0.005
2019-03-31,000251,83.50138123758671,0.3612,0.879,0.0131
2019-03-31,000017,73.53756919132718,0.3612,1.049,0.1109
2019-03-31,519158,80.26147268811309,0.3612,1.005,0.0736
2019-03-31,000390,80.9194477771651,0.3612,0.818,0.1068
2019-03-31,450009,73.5138243684971,0.3612,0.774,0.0422
2019-03-31,000409,70.93367874998908,0.3612,1.019,0.0036
2019-03-31,720001,70.11153277566949,0.3612,1.091,0.2117
2019-03-31,165521,80.21254026211875,0.3612,0.901,-0.0067
2019-03-31,000595,77.36199073553733,0.3612,1.048,0.197
2019-03-31,000020,76.33105232767949,0.3612,1.087,0.1194
2019-03-31,000742,77.86833677171364,0.3612,1.284,0.0174
2019-03-31,050022,69.9231706468407,0.3612,1.175,0.209
2019-03-31,530019,74.95209820153846,0.3612,1.008,-0.0608
2019-03-31,519674,71.76102521326388,0.3612,0.978,0.2259
2019-03-31,040025,73.66468873956133,0.3612,0.822,0.0032
2019-03-31,161903,68.00871542249796,0.3612,0.74,0.1883
2019-03-31,000746,64.42370213357859,0.3612,1.146,0.0931
2019-03-31,673010,68.77626911918023,0.3612,1.058,-0.006
2019-03-31,000613,72.15653305825452,0.3612,1.027,0.0004
2019-03-31,481012,67.29369809079253,0.3612,1.208,0.0353
2019-03-31,162605,68.48746011549262,0.3612,1.065,0.1128
2019-03-31,630008,61.59560804661868,0.3612,0.788,0.0561
2019-03-31,000362,71.13308139293098,0.3612,1.097,0.0546
2019-03-31,320022,76.8697728906115,0.3612,0.798,0.0561
2019-03-31,080002,71.3751960014566,0.3612,0.925,0.0429
2019-03-31,164205,65.19315790259033,0.3612,0.983,0.136
2019-03-31,162714,62.97229603609143,0.3612,1.277,0.0098
2019-03-31,050010,60.87631633709332,0.3612,1.186,0.1649
2019-03-31,580001,61.49523534735082,0.3612,1.201,0.0197
2019-03-31,460007,60.716173063107085,0.3612,1.195,0.081
2019-03-31,310368,60.9164209301518,0.3612,1.184,0.0478
2019-03-31,000534,57.210722295652936,0.3612,0.972,-0.0026
2019-03-31,161721,61.92234048810817,0.3612,1.437,-0.091
2019-03-31,160625,60.696059056840625,0.3612,1.201,-0.0561
2019-03-31,519068,70.53137281883879,0.3612,1.105,0.0935
2019-03-31,260104,61.82269264003605,0.3612,1.059,0.1374
2019-03-31,110019,61.15065942644056,0.3612,1.295,0.0139
2019-03-31,000743,60.43096039050285,0.3612,0.733,0.0539
2019-03-31,519697,64.90802163151213,0.3612,0.585,0.0345
2019-03-31,000339,65.07723685206133,0.3612,0.769,0.1855
2019-03-31,161604,60.12831413039061,0.3612,1.326,0.0113
2019-03-31,580009,72.11821973568759,0.3612,0.806,0.1025
2019-03-31,160916,58.5514519037055,0.3612,0.813,0.0517
2019-03-31,000849,66.41125471477022,0.3612,0.667,-0.0833
2019-03-31,000259,60.14539305048608,0.3612,0.964,0.0717
2019-03-31,002031,68.43456987821429,0.3612,0.659,0.0455
2019-03-31,169101,64.24068926372578,0.3612,0.998,0.022
2019-03-31,270041,58.585429342764854,0.3612,1.016,0.0577
2019-03-31,100039,57.44775020176548,0.3612,0.738,0.1433
2019-03-31,000547,65.42835654412022,0.3612,1.007,0.1099
2019-03-31,110013,63.3626546766741,0.3612,1.068,0.0627
2019-03-31,202007,63.59370159658702,0.3612,0.742,0.1019
