code,entry_date,exit_date,entry_S,exit_S,exit_reason,hold_days,gross_ret,net_ret
000251,2019-06-30,2020-06-30,86.0,41.2,S<45,366,-0.13057583130575834,-0.1362186242129102
290012,2019-06-30,2020-12-31,87.9,41.5,S<45,550,0.47539543057996503,0.4658197238413031
000423,2019-06-30,2020-12-31,87.0,42.8,S<45,550,0.32947976878612706,0.32085109330224326
000339,2019-06-30,2020-12-31,86.1,34.0,S<45,550,1.2350444280944028,1.2205383983563962
240020,2019-06-30,2020-12-31,84.3,31.5,S<45,550,1.0610278372591004,1.0476512212409435
000595,2019-06-30,2020-12-31,83.6,36.5,S<45,550,0.7197085889570554,0.7085472251745082
270041,2019-06-30,2021-03-31,85.7,30.8,S<45,640,0.6722539229671898,0.6614005525235684
519736,2020-06-30,2021-06-30,78.1,44.5,S<45,365,0.41826033312769884,0.4090554482896258
000849,2020-12-31,2021-06-30,70.1,36.2,S<45,181,0.0037365153980593035,-0.0027780001786629205
519150,2019-06-30,2021-09-30,86.5,20.9,S<45,823,1.245528455284553,1.2309543814359758
000390,2019-06-30,2021-12-31,87.7,25.0,S<45,915,0.09169884169884157,0.08461342734932353
000547,2020-12-31,2022-03-31,71.3,40.2,S<45,455,0.16574131194735742,0.1581753423740595
000362,2019-06-30,2023-06-30,85.1,40.6,S<45,1461,0.8885324779470729,0.8762754024536568
000845,2022-03-31,2023-06-30,89.9,40.3,S<45,456,-0.20292347377472053,-0.20809671133883878
000259,2023-06-30,2024-09-30,80.1,42.6,S<45,458,-0.09198705666964702,-0.09788030093489652
160220,2021-12-31,2025-03-31,72.6,40.5,S<45,1186,-0.007182588972295623,-0.013626236672425573
202213,2020-12-31,2025-06-30,72.5,42.6,S<45,1642,0.06543357199681776,0.05851862619753723
000196,2022-03-31,2025-06-30,96.3,31.8,S<45,1187,0.05120910384068278,0.04438647860357392
519050,2023-06-30,2025-06-30,71.5,38.1,S<45,731,0.04472715634501534,0.0379466006622966
000743,2022-03-31,2025-09-30,100.0,29.8,S<45,1279,0.39544933415645134,0.38639249873756265
000573,2022-03-31,2025-09-30,97.7,32.8,S<45,1279,0.5914179104477613,0.58108918711485
000423,2022-03-31,2025-09-30,93.2,37.9,S<45,1279,0.11792702273929123,0.11067138055476256
290012,2022-03-31,2025-09-30,86.1,42.2,S<45,1279,0.29131054131054146,0.2829295942126695
000390,2022-03-31,2025-12-31,100.0,,期末清算,1371,0.6079105760963026,0.5974748109993222
