date,code,tenure_days,tenure_y,fwd6,fwd12
2019-03-31,000017,1053.0,2.88,0.1109,0.188
2019-06-30,000017,1144.0,3.13,0.2003,0.8356
2019-09-30,000017,1236.0,3.39,0.0694,0.7108
2019-12-31,000017,1328.0,3.64,0.5293,0.7697
2020-03-31,000017,1419.0,3.89,0.6268,0.6901
2020-06-30,000017,1510.0,4.14,0.3071,0.3445
2020-09-30,000017,1602.0,4.39,0.0705,0.0124
2020-12-31,000017,1694.0,4.64,0.0286,-0.2016
2021-03-31,000017,1784.0,4.89,-0.04,-0.1948
2021-06-30,000017,1875.0,5.14,-0.1847,-0.2339
2021-09-30,000017,1967.0,5.39,-0.1964,-0.2463
2021-12-31,000017,2059.0,5.64,-0.0752,-0.1759
2022-03-31,000017,2149.0,5.89,-0.0959,-0.1114
2022-06-30,000017,2240.0,6.14,-0.1798,-0.2693
2022-09-30,000017,2332.0,6.39,-0.0363,-0.2332
2022-12-31,000017,2424.0,6.64,-0.1092,-0.2272
2023-03-31,000017,2514.0,6.89,-0.2069,-0.1626
2023-06-30,000017,2605.0,7.14,-0.1137,-0.0302
2023-09-30,000017,2697.0,7.39,0.0441,0.2166
2023-12-31,000017,2789.0,7.64,0.0816,0.1702
2024-03-31,000017,2880.0,7.89,0.1275,-0.0152
2024-06-30,000017,2971.0,8.14,0.0838,0.1914
2024-09-30,000017,3063.0,8.39,-0.1083,0.6164
2024-12-31,000017,3155.0,8.64,0.0809,0.8916
2025-03-31,000017,3245.0,8.89,0.805,1.3514
2025-06-30,000017,3336.0,9.14,0.7393,2.1568
2025-09-30,000017,3428.0,9.39,0.3027,
2025-12-31,000017,3520.0,9.64,0.815,
2019-03-31,000117,0.0,0.0,0.1131,0.2111
2019-06-30,000117,0.0,0.0,0.1304,0.7084
2019-09-30,000117,0.0,0.0,0.088,0.665
2019-12-31,000117,0.0,0.0,0.5113,0.8801
2020-03-31,000117,0.0,0.0,0.5361,0.7079
2020-06-30,000117,0.0,0.0,0.37,0.3967
2020-09-30,000117,0.0,0.0,0.1194,0.1171
2020-12-31,000117,0.0,0.0,0.0195,-0.1656
2021-03-31,000117,0.0,0.0,0.0004,-0.2002
2021-06-30,000117,0.0,0.0,-0.1505,-0.2475
2021-09-30,000117,0.0,0.0,-0.2216,-0.2691
2021-12-31,000117,0.0,0.0,-0.1401,-0.1679
2022-03-31,000117,7.0,0.02,-0.1139,-0.0477
2022-06-30,000117,98.0,0.27,-0.135,-0.2406
2022-09-30,000117,190.0,0.52,0.0297,-0.1502
2022-12-31,000117,282.0,0.77,-0.1221,-0.2263
2023-03-31,000117,372.0,1.02,-0.1382,-0.2343
2023-06-30,000117,463.0,1.27,-0.0737,-0.1517
2023-09-30,000117,555.0,1.52,-0.1093,-0.093
2023-12-31,000117,647.0,1.77,-0.1098,-0.0929
2024-03-31,000117,738.0,2.02,0.0131,0.0038
2024-06-30,000117,829.0,2.27,-0.0054,0.1043
2024-09-30,000117,921.0,2.52,-0.0423,0.0418
2024-12-31,000117,1013.0,2.78,0.0883,0.1849
2025-03-31,000117,1103.0,3.02,0.1592,0.1235
2025-06-30,000117,1194.0,3.27,0.0352,-0.005
2025-09-30,000117,1286.0,3.52,-0.0308,
2025-12-31,000117,1378.0,3.78,-0.0388,
2019-03-31,000220,0.0,0.0,0.215,0.5795
2019-06-30,000220,0.0,0.0,0.2514,1.2218
