tag,horizon,n,ic_mean,t_naive,t_hac
CANONICAL,fwd6,133,0.12681739692602462,7.327535055797731,4.308519567456803
CANONICAL,fwd3,136,0.10453253739703237,5.933157865452695,4.536788865032464
CANONICAL,fwd1,136,0.04540461139912904,2.4145013924338103,2.3536483107453035
seed0_maxnfull,fwd6,133,0.12587266122856797,7.336642794048544,4.287152861902195
seed0_maxnfull,fwd3,136,0.10653672766602051,6.1111170450982,4.575356867967392
seed0_maxnfull,fwd1,136,0.04721533120426226,2.5377007281335793,2.4386724231641908
seed1_maxn1000,fwd6,133,0.12569486922651496,7.273024459870832,4.292821613236672
seed1_maxn1000,fwd3,136,0.10775312175375848,6.212292581398959,4.636959090047026
seed1_maxn1000,fwd1,136,0.049366593799103214,2.6639895488075536,2.5480831213688617
seed1_maxn500,fwd6,133,0.12247283634961253,6.923663762463277,4.029402507691358
seed1_maxn500,fwd3,136,0.10955876306557019,6.221622415725864,4.61987698591967
seed1_maxn500,fwd1,136,0.053227679522126065,2.891619147844867,2.762328024581214
seed2_maxn1000,fwd6,133,0.126762042668597,7.369534815901823,4.352379288320614
seed2_maxn1000,fwd3,136,0.10682769588952949,6.084776006832302,4.53346815983037
seed2_maxn1000,fwd1,136,0.04766325630411541,2.562250899971844,2.4505817908506327
seed2_maxn500,fwd6,133,0.12788625400368692,7.466000624404144,4.453038700004072
seed2_maxn500,fwd3,136,0.10792659801495608,6.023447348082169,4.448595930018027
seed2_maxn500,fwd1,136,0.052341937115229664,2.8102953188367694,2.6942204583941014
seed3_maxn1000,fwd6,133,0.1218587312106379,7.04245142067262,4.08464248553814
seed3_maxn1000,fwd3,136,0.10454888138670466,6.028785505772202,4.46020147090775
seed3_maxn1000,fwd1,136,0.04810917382758235,2.5942601000401893,2.50307183379657
seed3_maxn500,fwd6,133,0.1200923902242857,6.859676624373193,3.9586094423874703
seed3_maxn500,fwd3,136,0.10409784052276441,5.989829636433096,4.4950788842590494
seed3_maxn500,fwd1,136,0.05003329816876616,2.6660259695067006,2.598164438534301
seed4_maxn1000,fwd6,133,0.12647369580679957,7.318422155859821,4.298372514769693
seed4_maxn1000,fwd3,136,0.10687642333377194,6.08482309536835,4.585772124096333
seed4_maxn1000,fwd1,136,0.0488319317676563,2.5909695585797277,2.4812910803170567
seed4_maxn500,fwd6,133,0.1319888949279154,7.632529893077127,4.481462452908107
seed4_maxn500,fwd3,136,0.10743949666278023,6.129155728940138,4.6907485935508815
seed4_maxn500,fwd1,136,0.05371245560925975,2.8251891390632835,2.741164570275781
seed5_maxn1000,fwd6,133,0.12443978941215555,7.118871014979335,4.12688965122261
seed5_maxn1000,fwd3,136,0.10498677585594839,5.957731460866718,4.427703805251397
seed5_maxn1000,fwd1,136,0.04406138479556104,2.347009301511723,2.244081517420376
seed5_maxn500,fwd6,133,0.12412275798890346,7.1178503825790225,4.170933043957201
seed5_maxn500,fwd3,136,0.10185147959567438,5.7995240786375515,4.339623631111437
seed5_maxn500,fwd1,136,0.044128197614006125,2.3827281359633554,2.252424567196581
