trigger,report_code,title_pattern,scan_status,checkpoint_count
INCEPTION,FC900090,OTHER_OPERATIONAL_NOTICE,success,2
INCEPTION,FC900090,SALES_OR_CHANNEL,success,2
INCEPTION,FC900090,SUBSCRIPTION_OR_LAUNCH,success,1
SECTION_UNCOMPARABLE,FC900090,SALES_OR_CHANNEL,success,130
SECTION_UNCOMPARABLE,FC900090,OTHER_OPERATIONAL_NOTICE,success,69
SECTION_UNCOMPARABLE,FC900090,SUBSCRIPTION_REDEMPTION_OPERATIONS,success,25
SECTION_UNCOMPARABLE,FC900090,SUBSCRIPTION_OR_LAUNCH,success,22
SECTION_UNCOMPARABLE,FC900090,TRANSFORMATION_OR_EXPIRY,success,14
SECTION_UNCOMPARABLE,FC900090,DISTRIBUTION,success,9
SECTION_UNCOMPARABLE,FC900090,CONTRACT_OR_AMENDMENT,success,7
SECTION_UNCOMPARABLE,FC220010,CONTRACT_OR_AMENDMENT,success,6
SECTION_UNCOMPARABLE,FC050010,OTHER_OPERATIONAL_NOTICE,success,2
SECTION_UNCOMPARABLE,FA010010,PROSPECTUS_OR_SUMMARY,success,1
SECTION_UNCOMPARABLE,FC050010,CONTRACT_OR_AMENDMENT,success,1
SECTION_UNCOMPARABLE,FC900090,PERIODIC_REPORT,success,1
TRANSFORMATION,FC900090,SUBSCRIPTION_REDEMPTION_OPERATIONS,success,12
TRANSFORMATION,FC900090,SALES_OR_CHANNEL,success,8
TRANSFORMATION,FC900090,OTHER_OPERATIONAL_NOTICE,success,4
TRANSFORMATION,FC900090,TRANSFORMATION_OR_EXPIRY,success,2
