family_key,root_cause_reason,checkpoint_count
上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,DATE_OR_STAGE_UNDETERMINED,1
上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,EQUITY_CLAUSE_NOT_FOUND,31
东吴基金管理有限公司|东吴保本混合,DATE_OR_STAGE_UNDETERMINED,1
东吴基金管理有限公司|东吴保本混合,INVESTMENT_SECTION_NOT_FOUND,4
东吴基金管理有限公司|东吴保本混合,NO_CAUSAL_SOURCE_DOCUMENT,1
东吴基金管理有限公司|东吴保本混合,PARSED_CLAUSE,1
东方基金管理股份有限公司|东方保本混合,DATE_OR_STAGE_UNDETERMINED,1
东方基金管理股份有限公司|东方保本混合,DOCUMENT_NOT_APPLICABLE,1
东方基金管理股份有限公司|东方保本混合,INVESTMENT_SECTION_NOT_FOUND,26
东方基金管理股份有限公司|东方保本混合,PARSED_CLAUSE,7
东方基金管理股份有限公司|东方保本混合,PROPOSED_STATE_NOT_EFFECTIVE,4
中欧基金管理有限公司|中欧数字经济混合-,PARSED_CLAUSE,2
中欧基金管理有限公司|中欧新动力混合(LOF)-,DOCUMENT_NOT_APPLICABLE,2
中欧基金管理有限公司|中欧新动力混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,49
中欧基金管理有限公司|中欧新动力混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,25
中欧基金管理有限公司|中欧科创主题混合(LOF)-,DOCUMENT_NOT_APPLICABLE,1
中欧基金管理有限公司|中欧科创主题混合(LOF)-,EQUITY_CLAUSE_AMBIGUOUS,5
中欧基金管理有限公司|中欧科创主题混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,1
中欧基金管理有限公司|中欧科创主题混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,8
中欧基金管理有限公司|中欧科创主题混合(LOF)-,PARSED_CLAUSE,4
中欧基金管理有限公司|中欧美益稳健两年持有期混合-,DATE_OR_STAGE_UNDETERMINED,1
中欧基金管理有限公司|中欧美益稳健两年持有期混合-,PARSED_CLAUSE,3
中泰证券(上海)资产管理有限公司|中泰元和价值精选混合-,EQUITY_CLAUSE_NOT_FOUND,4
中泰证券(上海)资产管理有限公司|中泰元和价值精选混合-,PARSED_CLAUSE,2
中海基金管理有限公司|中海保本混合,DATE_OR_STAGE_UNDETERMINED,1
中海基金管理有限公司|中海保本混合,INVESTMENT_SECTION_NOT_FOUND,4
中海基金管理有限公司|中海保本混合,NO_CAUSAL_SOURCE_DOCUMENT,1
中海基金管理有限公司|中海保本混合,PARSED_CLAUSE,1
中邮创业基金管理股份有限公司|中邮悦享6个月持有期混合-,PARSED_CLAUSE,2
中金基金管理有限公司|中金兴元6个月持有期混合-,DATE_OR_STAGE_UNDETERMINED,1
中金基金管理有限公司|中金兴元6个月持有期混合-,PARSED_CLAUSE,2
中金基金管理有限公司|中金成长精选混合-,DATE_OR_STAGE_UNDETERMINED,1
中金基金管理有限公司|中金成长精选混合-,PARSED_CLAUSE,2
中银基金管理有限公司|中银中国精选混合(LOF)-,DOCUMENT_NOT_APPLICABLE,20
中银基金管理有限公司|中银中国精选混合(LOF)-,EQUITY_CLAUSE_NOT_FOUND,11
中银基金管理有限公司|中银中国精选混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,45
中银基金管理有限公司|中银中国精选混合(LOF)-,PARSED_CLAUSE,12
九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,DOCUMENT_NOT_APPLICABLE,10
九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,EQUITY_CLAUSE_AMBIGUOUS,1
九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,9
九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,PARSED_CLAUSE,1
九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,PROPOSED_STATE_NOT_EFFECTIVE,1
九泰基金管理有限公司|九泰锐富事件驱动混合(LOF)-,DOCUMENT_NOT_APPLICABLE,8
九泰基金管理有限公司|九泰锐富事件驱动混合(LOF)-,INVESTMENT_SECTION_NOT_FOUND,14
