stratum_status,stratum_era,root_cause_reason,checkpoint_count
存续,2013_2019,DOCUMENT_NOT_APPLICABLE,50
存续,2013_2019,EQUITY_CLAUSE_AMBIGUOUS,10
存续,2013_2019,EQUITY_CLAUSE_NOT_FOUND,16
存续,2013_2019,INVESTMENT_SECTION_NOT_FOUND,83
存续,2013_2019,PARSED_CLAUSE,29
存续,2013_2019,PROPOSED_STATE_NOT_EFFECTIVE,2
存续,2020_2026,EQUITY_CLAUSE_NOT_FOUND,40
存续,2020_2026,OFFICIAL_DOCUMENT_NOT_FOUND,4
存续,2020_2026,PARSED_CLAUSE,8
存续,pre2013,DOCUMENT_NOT_APPLICABLE,95
存续,pre2013,EQUITY_CLAUSE_NOT_FOUND,137
存续,pre2013,INVESTMENT_SECTION_NOT_FOUND,361
存续,pre2013,PARSED_CLAUSE,49
存续,pre2013,PDF_MISSING,1
存续,pre2013,PROPOSED_STATE_NOT_EFFECTIVE,2
存续,pre2013,TEXT_EXTRACTION_FAILED,1
清盘,2013_2019,DATE_OR_STAGE_UNDETERMINED,10
清盘,2013_2019,DOCUMENT_NOT_APPLICABLE,18
清盘,2013_2019,INVESTMENT_SECTION_NOT_FOUND,46
清盘,2013_2019,OFFICIAL_DOCUMENT_NOT_FOUND,2
清盘,2013_2019,PARSED_CLAUSE,18
清盘,2013_2019,PROPOSED_STATE_NOT_EFFECTIVE,12
清盘,2020_2026,DATE_OR_STAGE_UNDETERMINED,10
清盘,2020_2026,EQUITY_CLAUSE_NOT_FOUND,49
清盘,2020_2026,PARSED_CLAUSE,17
清盘,pre2013,DATE_OR_STAGE_UNDETERMINED,10
清盘,pre2013,DOCUMENT_NOT_APPLICABLE,22
清盘,pre2013,EQUITY_CLAUSE_NOT_FOUND,82
清盘,pre2013,INVESTMENT_SECTION_NOT_FOUND,165
清盘,pre2013,NO_CAUSAL_SOURCE_DOCUMENT,2
清盘,pre2013,OFFICIAL_DOCUMENT_NOT_FOUND,1
清盘,pre2013,PARSED_CLAUSE,13
清盘,pre2013,PROPOSED_STATE_NOT_EFFECTIVE,4
清盘,pre2013,TEXT_EXTRACTION_DAMAGED,2
