trigger,root_cause_reason,checkpoint_count
INCEPTION,EQUITY_CLAUSE_NOT_FOUND,4
INCEPTION,INVESTMENT_SECTION_NOT_FOUND,11
INCEPTION,NO_CAUSAL_SOURCE_DOCUMENT,2
INCEPTION,OFFICIAL_DOCUMENT_NOT_FOUND,7
INCEPTION,PARSED_CLAUSE,36
MATERIAL_SECTION_CHANGE,EQUITY_CLAUSE_AMBIGUOUS,10
MATERIAL_SECTION_CHANGE,EQUITY_CLAUSE_NOT_FOUND,13
MATERIAL_SECTION_CHANGE,PARSED_CLAUSE,95
MATERIAL_SECTION_CHANGE,PROPOSED_STATE_NOT_EFFECTIVE,2
MATERIAL_SECTION_CHANGE,TEXT_EXTRACTION_FAILED,1
SECTION_UNCOMPARABLE,DOCUMENT_NOT_APPLICABLE,176
SECTION_UNCOMPARABLE,EQUITY_CLAUSE_NOT_FOUND,307
SECTION_UNCOMPARABLE,INVESTMENT_SECTION_NOT_FOUND,606
SECTION_UNCOMPARABLE,PDF_MISSING,1
SECTION_UNCOMPARABLE,PROPOSED_STATE_NOT_EFFECTIVE,18
SECTION_UNCOMPARABLE,TEXT_EXTRACTION_DAMAGED,2
TERMINAL_STATE,DATE_OR_STAGE_UNDETERMINED,30
TRANSFORMATION,DOCUMENT_NOT_APPLICABLE,9
TRANSFORMATION,INVESTMENT_SECTION_NOT_FOUND,37
TRANSFORMATION,PARSED_CLAUSE,3
TYPE_CHANGE,INVESTMENT_SECTION_NOT_FOUND,1
