"family_key","checkpoint_id","anomaly_type","known_at","effective_date","effective_from","effective_to","predecessor","successor","predecessor_source_doc","successor_source_doc","source_doc","trigger_type","disposition","fund_type","equity_min_pct","equity_max_pct","same_day_checkpoint_count","same_day_raw_state_count","same_day_raw_states","predecessor_state","successor_state","actual_pit_backfill","root_cause","evidence_raw","date_evidence_from_pdf","assessment","verification_method"
"东方基金管理股份有限公司|东方保本混合","c2a73b33bf7755b673dc4129d24502b1bc926279310fe9631a060837ca0634da","CAUSAL_FLAG","2011-03-10","2004-06-01","2011-03-10","2017-04-27",,"b746c965b5f4e5f83a6a4c817b916408f0d9043db061f3e76b8012cbf8669196",,"400013_321923.pdf","400013_321232.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","40.0","80.0","1","1","|40.0|80.0","||","|40.0|80.0","False","DATE_EXTRACTION_CROSSES_DEFINITION_BLOCK","权益类资产占基金资产的40%-80%",")6.法律法规：指中华人民共和国现行有效的法律、行政法规、司法解释、地方法规、地方规章、部门规章及其他规范性文件以及对于该等法律法规的不时修改和补充：指2003年10月28日经第十届全国人民代表大会常务委员会第五次会议7.《基金法》通过的自2004年6月1日起实施的《中华人民共和国证券投资基金法》及不时做出的修订8.《销售办法》：指2004年6月25日由中国证监会公布并于2004年7月1日起实施的《证券投资基金销售管理办法》及不时做出的修订9.《运作办法》：指2004年6月29日由中国证监会公布并于2004年7月1日起实施的《证券投资基金运作管理办法》及不时做出的修订10.《信息披露办法》：指中国证监会2004年6月8日颁布并于2004年7月1日实施的《证券投资基金信息披露管理办法》及不时作出的修订11.元：指中国法定货币人民币元12.招募说明书：指《东方保本混合型开","2004-06-01是证券投资基金法实施日；日期regex跨多项定义误绑定基金合同生效，非基金法律生效日。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-","0c007d5957b3194dc7b9f8ab66ee21faf81b8f0de71703899ca5942ab18e585b","NONPOSITIVE_INTERVAL","2015-07-22","","2015-07-22","2015-07-22",,"ebb16e22833d34477ae3e4f2cb13ca17e1d9a990cdd1349934e34d72f913934e",,"163001_155863.pdf","163001_155236.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","0.0","95.0","2","1","|0.0|95.0","||","|0.0|95.0","False","SAME_DAY_SAME_STATE_SERIAL_CLOSURE","本基金股票投资占基金资产的比例为0-95%","","同日同状态多个checkpoint顺次关闭，形成零长区间；应保留节点，状态区间按同时点合并。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"东方基金管理股份有限公司|东方保本混合","b746c965b5f4e5f83a6a4c817b916408f0d9043db061f3e76b8012cbf8669196","NONPOSITIVE_INTERVAL","2017-04-27","","2017-04-27","2017-04-27","c2a73b33bf7755b673dc4129d24502b1bc926279310fe9631a060837ca0634da","c8a72b7a677d98d6ee5ec2186e5d500b012f95edc9f167d62fb787b4f63265bd","400013_321232.pdf","400013_321927.pdf","400013_321923.pdf","TRANSFORMATION","PARSED_STATE","","40.0","80.0","2","1","|40.0|80.0","|40.0|80.0","|40.0|80.0","False","SAME_DAY_SAME_STATE_SERIAL_CLOSURE","权益类资产占基金资产的40%-80%","","同日同状态多个checkpoint顺次关闭，形成零长区间；应保留节点，状态区间按同时点合并。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"东方基金管理股份有限公司|东方保本混合","221adb61226c01ad67a869ffde827c9dd11cf48dbbf24592ff43307a117704f7","CAUSAL_FLAG","2017-12-14","2017-05-11","2017-12-14","2017-12-25","c8a72b7a677d98d6ee5ec2186e5d500b012f95edc9f167d62fb787b4f63265bd","f5f4bb38879a52408226dad29d85a5d63ae549947eed0154193eebd2b471a777","400013_321927.pdf","400013_321691.pdf","400013_321700.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","0.0","95.0","1","1","|0.0|95.0","|40.0|80.0","|40.0|80.0","False","PROPOSED_STATE_BOUND_TO_PRIOR_TRANSFORMATION_DATE","股票资产占基金资产的比例为0%—95%","项的说明》东方基金管理有限责任公司2017年12月14日7附件一《关于修改东方成长收益平衡混合型证券投资基金基金合同有关事项的议案》东方成长收益平衡混合型证券投资基金基金份额持有人：东方成长收益平衡混合型证券投资基金（以下简称“本基金”）于2017年5月11日根据《东方保本混合型开放式证券投资基金基金合同》的约定转型而来，为了更好地满足投资者需求、保护基金份额持有人的利益，根据《中华人民共和国证券投资基金法》、《公开募集证券投资基金运作管理办法》等相关法律法规的规定以及《东方成长收益平衡混合型证券投资基金基金合同》的约定，经与本基金托管人中国邮政储蓄银行股份有限公司协商一致，本基金管理人提议修改东方成长收益平衡混合型证券投资基金的投资范围、投资限制、投资策略、业绩比较基准、基金费率等内容，同时更名为“东方成长收益灵活配置混合型证券投资基金”。此外，根据中国证监会于201 || 有的本基金全部份额向代理人所做授权；4、如本次持有人大会权益登记日，投资者未持有本基金的基金份额，则其授权无效。11附件四《修改东方成长收益平衡混合型证券投资基金基金合同有关事项的说明》一、重要提示（一）东方成长收益平衡混合型证券投资基金于2017年5月11日根据《东方保本混合型开放式证券投资基金基金合同》的约定转型而来，为了更好地满足投资者需求、保护基金份额持有人的利益，根据《中华人民共和国证券投资基金法》、《公开募集证券投资基金运作管理办法》、《公开募集开放式证券投资基金流动性风险管理规定》等相关法律法规的规定以及《东方成长收益平衡混合型证券投资基金基金合同》的约定，经与东方成长收益平衡混合型证券投资基金托管人中国邮政储蓄银行股份有限公司协商一致，东方成长收益平衡混合型证券投资基金基金管理人提议修改东方成长收益平衡混合型证券投资基金的投资范围、投资限制、投资策略、业 || 定，由东方保本混合型开放式证券投资合型证券投资基金变更注册而来。基金的历史基金转型而来。根据《东方保本混合型开放式证券投资基金基金合同》的约定，东沿革东方保本混合型开放式证券投资基金（以下简称“东方保本”）经方保本混合型开放式证券投资基金自2017年5月11日起转型为东方成252011年4月14日经中国证监会基金部函[2011]237号文核准生效，基金长收益平衡混合型证券投资基金，基金管理人为东方基金管理有限责任管理人为东方基金管理有限责任公司，基金托管人为中国邮政储蓄银行公司，基金托管人为中国邮政储蓄银行股份有限公司。《东方成长收益股份有限公司。东方保本为保本型基金，保本周期为三年。根据《东方平衡混合型证券投资基金基金合同》于2017年5月11日起生效。保本混合型开放式证券投资基金基金合同》的约定，于2014年5月5日2017年12月19日至2018年1月15日，东方 || 基金合同与托衡混合型证券投资基金”。管协议，并同意将东方成长收益平衡混合型证券投资基金更名为“东方东方保本第二个保本周期到期操作期间为2017年5月5日至2017成长收益灵活配置混合型证券投资基金”，上述基金份额持有人大会决年5月10日，自2017年5月11日起“东方保本”转型为“东方成长收议自表决通过之日起生效。根据该持有人大会决议，自2018年XX月XX益平衡混合型证券投资基金”，《东方成长收益平衡混合型证券投资基日起，《东方成长收益灵活配置混合型证券投资基金基金合同》生效，金基金合同》及《东方成长收益平衡混合型证券投资基金托管协议》自《东方成长收益平衡混合型证券投资基金基金合同》同日起失效。该日起生效。一、基金份额的变更登记第五部分基金合同生效后，本基金登记机构将进行本基金份额的更名以及必基金的存续要信息的变更。26二、基金存续期内的基金份额持有人数量和资产规模《","2017-05-11为既往转型日期；本文件为修改合同议案且出现2018年XX月XX占位生效日，0-95条款疑属拟议新状态，必须分栏定位后判断，不能视为当前已生效。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"东方基金管理股份有限公司|东方保本混合","f5f4bb38879a52408226dad29d85a5d63ae549947eed0154193eebd2b471a777","CAUSAL_FLAG","2017-12-25","2017-05-11","2017-12-25","2018-01-17","221adb61226c01ad67a869ffde827c9dd11cf48dbbf24592ff43307a117704f7","e3e8c476a7b7f70f3c9aadbaef920ebc4520af766002828f4286acd032d47333","400013_321700.pdf","400013_194459.pdf","400013_321691.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","40.0","80.0","1","1","|40.0|80.0","|0.0|95.0","|0.0|95.0","False","HISTORICAL_LEGAL_DATE_FLAGGED_AS_CAUSAL","权益类资产占基金资产的40%-80%","限公司东方成长收益平衡混合型证券投资基金招募说明书(更新)(2017年度)重要提示东方成长收益平衡混合型证券投资基金（以下简称“本基金”）根据《东方保本混合型开放式证券投资基金基金合同》的约定，由东方保本混合型开放式证券投资基金转型而来。自2017年5月11日起正式实施基金转型，并自该日起《东方保本混合型开放式证券投资基金基金合同》失效且《东方成长收益平衡混合型证券投资基金基金合同》同时生效，东方保本混合型开放式证券投资基金正式变更为东方成长收益平衡混合型证券投资基金。东方基金管理有限责任公司（以下简称“本基金管理人”）保证《东方成长（以下简称“招募说明书”或“本招收益平衡混合型证券投资基金招募说明书》募说明书”）的内容真实、准确、完整。投资有风险，投资人申购基金时应认真阅读本招募说明书。基金的过往业绩并不预示其未来表现。基金管理人管理的其他基金的业绩并不构成本基金业绩 || 财务部经理，财务负责人，综合管理部经理兼人力资源部经理、总经理助理。（四）本基金基金经理姓名任职日期简历固定收益部副总经理，投资决策委员会委员，中国人民大学工商管理硕士，13年证券从业经历。曾就职于嘉实基金管理有限公司运营部。2010年姚航2017年5月11日10月加盟东方基金管理有限责任公司，曾任债券交（女士）至今易员、东方金账簿货币市场证券投资基金基金经理助理、东方多策略灵活配置混合型证券投资基金基金经理、东方保本混合型开放式证券投资基金（于9东方成长收益平衡混合型证券投资基金招募说明书(更新)(2017年度)2017年5月11日起转型为东方成长收益平衡混合型基金）基金经理、东方赢家保本混合型证券投资基金基金经理、东方民丰回报赢安定期开放混合型证券投资基金（于2017年9月13日起转型为东方民丰回报赢安混合型证券投资基金）基金经理，现任东方金账簿货币市场证券投资基金 || 服装、轻工制造行业研究员。2010年4月加盟东方基金管理有限责任公司，曾任权益投资部交通运输、纺织服装、商业零售行业研究员，东方策略成长股票型开放式证券投资基金（于2015年8月7日更名为东方策略成长混合型开放式证券投资基金）基金经理助王然2017年5月11日理、东方策略成长股票型开放式证券投资基金（于（女士）至今2015年8月7日更名为东方策略成长混合型开放式证券投资基金）基金经理、东方赢家保本混合型证券投资基金基金经理、东方保本混合型开放式证券投资基金基金经理（于2017年5月11日转型为东方成长收益平衡混合型基金）基金经理、东方荣家保本混合型证券投资基金基金经理、东方民丰回报赢安定期开放混合型证券投资基金（于2017年910东方成长收益平衡混合型证券投资基金招募说明书(更新)(2017年度)月13日起转型为东方民丰回报赢安混合型证券投资基金）基金经理，现任东方成长 || 本基金存续条件，根据《东方保本混合型开放式证券投资基金基金合同》的约定，东方保本转型为非保本的混合型基金，名称相应变更为“东方成长收益平衡混合型证券投资基金”。东方保本第二个保本周期到期操作期间为2017年5月5日至2017年5月10日，自2017年5月11日起“东方保本”转型为“东方成长收益平衡混合型证券投《东方成长收益平衡混合型证券投资基金基金合同》及《东方成长收益平资基金”，衡混合型证券投资基金托管协议》自该日起生效。50东方成长收益平衡混合型证券投资基金招募说明书(更新)(2017年度)第七部分基金的存续《基金合同》生效后，连续20个工作日出现基金份额持有人数量不满200人或者基金资产净值低于5000万元情形的，基金管理人应当在定期报告中予以披露；连续60个工作日出现前述情形的，基金管理人应当向中国证监会报告并提出解决方案，如转换运作方式、与其他基金合并或者终止","源PDF正文支持历史生效日期；effective_from等于known_at，无PIT起点回填。尚未独立核验更早首发公告。 本条恢复40-80，与前一2017-12-14议案的0-95不同；优先排除前一议案拟议条款误用。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"长城基金管理有限公司|长城久富核心成长混合(LOF)-","2018a02a2b1deae88c4595939179432f7d7c44315cb9805621b3e76180cb39ca","CAUSAL_FLAG","2018-03-27","2007-02-12","2018-03-27","","11b6440451aaf03298bb9c946da37445c83486230dbe22151489d521eff29218",,"162006_381907.pdf",,"162006_125465.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","60.0","95.0","1","1","|60.0|95.0","|60.0|95.0","||","False","HISTORICAL_LEGAL_DATE_FLAGGED_AS_CAUSAL","股票资产占基金总资产60%－95%","监基金字[2007]25号文核准的久富证券投资基金基金份额持有人大会决议，久富证券投资基金由封闭式基金转为开放式基金、调整存续期限、终止上市、调整投资目标、范围和策略、修订基金合同，并更名为“长城久富核心成长股票型证券投资基金（LOF）。自2007年2月12日起，由《久富证券投资基金基金合同》修”订而成的《长城久富核心成长股票型证券投资基金（LOF）基金合同》生效。根据《长城基金管理有限公司关于旗下部分开放式基金变更基金名称、基金类别并相应修改基金合同条款的公告》长城久富核心成长股票型证券投资基金，（LOF）自2015年8月3日起更名为“长（LOF）城久富核心成长混合型证券投资基金”，基金类别由“股票型”变更为“混合型”，并相应修改基金合同和托管协议。重要提示（一）管理人保证招募说明书的内容真实、准确、完整。本招募说明书经中国证监会核准，但中国证监会对本基金募集的核准， || 金转为开放式基金、调整存续期限、终止上市、调整投资目标、范围和策略以及修订基金合同等。依据中国证监会2007年2月1日证监基金字[2007]25号文核准，持有人大会决议生效。依据持有人大会决议，基金管理人向深圳证券交易所申请基金终止上市，自2007年2月12日起，原《久富证券《长城久富核心成长股票型证券投资基金（LOF）基金合同》生投资基金基金合同》失效，效，基金正式转型为开放式基金，存续期限调整为无限期，基金投资目标、范围和策略调”（现更名为长城久整，同时基金更名为“长城久富核心成长股票型证券投资基金（LOF））富核心成长混合型证券投资基金（LOF）。(二)富岛基金、兴沈基金、久盛基金富岛基金：海南富岛基金于92年4月经中国人民银行海南省分行[琼银字（1992）市管字23号文]批准设立的。基金管理人为海南省证券公司，托管人为交通银行海南分行。富岛基金为封闭型信托投资基 || 购共募集7,934,819,964.27份基金份额，有效申购户数为237,127户。本基金原有基金份额1,140,424,000.00份，集中申购后，本基金总份额为9,075,243,964.27份。(二)基金合同的生效本基金的基金合同已于2007年2月12日正式生效。(三)基金的类型混合型。(四)基金的运作方式契约型上市开放式。(五)基金存续期限不定期。47长城久富核心成长混合型证券投资基金（LOF）招募说明书更新九、基金份额的上市交易（一）上市交易的地点深圳证券交易所。（二）上市交易的时间2007年5月18日。（三）上市交易的规则1、本基金上市首日的开盘参考价为前一交易日基金份额净值；2、本基金实行价格涨跌幅限制，涨跌幅比例为10%，自上市首日起实行；3、本基金买入申报数量为100份或其整数倍；4、本基金申报价格最小变动单位为0.001元人民币；5、本基金上市交易遵 || 基金净值增长率与同期业绩比较基准收益率的比较(截止2017年12月31日)净值增长业绩比较业绩比较基净值增长率标准差基准收益准收益率标①－③②－④率①时间段②率③准差④原封闭式基金成立以来至2007年2月9日172.70%2.54%----2007年2月12日至2007年12月31日97.03%1.82%64.84%1.58%32.19%0.24%2008年1月1日至2008年12月31日-44.82%1.90%-53.36%2.28%8.54%-0.38%2009年1月1日至2009年12月31日74.35%1.77%67.87%1.54%6.48%0.23%2010年1月1日至2010年12月31日2.65%1.47%-8.57%1.19%11.22%0.28%2011年1月1日至2011年12月31日-22.94%1.13%-18.35%0.98%-4.59%0.","源PDF正文支持历史生效日期；effective_from等于known_at，无PIT起点回填。尚未独立核验更早首发公告。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"东吴基金管理有限公司|东吴保本混合","4396870504aad1efcdbd3a3ce3c3cc06331ef11149ba1b371c0c49c9f7d9db90","CAUSAL_FLAG","2018-08-08","2017-12-25","2018-08-08","",,,,,"582003_102778.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","0.0","95.0","1","1","|0.0|95.0","||","||","False","HISTORICAL_LEGAL_DATE_FLAGGED_AS_CAUSAL","股票投资占基金资产的比例为0－95%","略、业绩比较基准、估值方法以及修订基金合同等，并同意将“东吴配置优化混合型证券投资基金”更名为“东吴配置优化灵活配置混合型证券投资基金”，上述基金份额持有人大会决议自表决通过之日起《东吴配置优化灵活配置混合型证券投资基金基金合同》生生效。自2017年12月25日起，效，《东吴配置优化混合型证券投资基金基金合同》于同日失效。基金管理人保证《东吴配置优化灵活配置混合型证券投资基金招募说明书》（以下简称“”或“本《招募说明书》《招募说明书》”）的内容真实、准确、完整。本《招募说明书》经中国证监会备案，但中国证监会对本基金注册的备案，并不表明其对本基金的投资价值、市场前景和收益作出实质性判断或保证，也不表明投资于本基金没有风险。本基金投资于证券市场，基金净值会因为证券市场波动等因素产生波动，投资者在投资本基金前，需充分了解本基金的产品特性，并承担基金投资中出现的各类风险，包括：因 || 略、业绩比较基准、估值方法以及修订基金合同等，并同意将“东吴配置优化混合型证券投资基金”更名为“东吴配置优化灵活配置混合型证券投资基金”，上述基金份额持有人大会决议自表决通过之日起《东吴配置优化灵活配置混合型证券投资基金基金合同》生生效。自2017年12月25日起，效，《东吴配置优化混合型证券投资基金基金合同》于同日失效。二、基金存续期内的基金份额持有人数量和资产规模《基金合同》生效后，连续20个工作日出现基金份额持有人数量不满200人或者基金资产净值低于5000万元情形的，基金管理人应在定期报告中予以披露；连续60个工作日出现前述情形的，基金管理人应当向中国证监会报告并提出解决方案，如转换运作方式、与其他基金合并或者终止基金合同等，并召开基金份额持有人大会进行表决。法律法规另有规定时，从其规定。40东吴配置优化灵活配置混合型证券投资基金招募说明书（更新）七、基金份额的申 || 5-2018.03.31-0.82%1.08%-1.35%0.57%0.53%0.51%注：比较基准=沪深300指数收益率*50%+中国债券综合全价指数收益率*50%二、自基金合同生效以来基金累计净值增长率及其与同期业绩基准收益率的比较图（2017年12月25日至2018年03月31日）注：1.业绩比较基准=沪深300指数收益率*50%+中国债券综合全价指数收益率*50%2.东吴配置优化灵活配置混合型证券投资基金由东吴配置优化混合型证券投资基金变更而来，变更日。期为2017年12月25日（即基金合同生效日）62东吴配置优化灵活配置混合型证券投资基金招募说明书（更新）十、基金财产一、基金资产总值基金资产总值是指购买的各类证券及票据价值、银行存款本息和基金应收的申购基金款以及其他投资所形成的价值总和。二、基金资产净值基金资产净值是指基金资产总值减去负债后的价值。三、基金财产的 || d.com.cn七、如本招募说明书存在任何您/贵机构无法理解的内容，请通过上述方式联系基金管理人。请确保投资前，您/贵机构已经全面理解了本招募说明书。111东吴配置优化灵活配置混合型证券投资基金招募说明书（更新）二十一、其他应披露事项（1）2017年12月25日在中国证券报、证券时报、公司网站等媒体上公告了《东吴基金管理有限公司关于东吴配置优化混合型证券投资基金基金份额持有人大会决议生效的公告》；（2）2017年12月28日在中国证券报、上海证券报、证券时报、证券日报、公司网站、深交所（巨潮资讯网）等媒体上公告了《东吴基金管理有限公司关于调整流通受限股票估值方法的公告》；（3）2017年12月29日在中国证券报、上海证券报、证券时报、证券日报、公司网站、深交所（巨潮资讯网）等媒体上公告了《东吴基金管理有限公司关于旗下部分基金继续参加交通银行股份有限公司手机银行渠道基金申购","源PDF正文支持历史生效日期；effective_from等于known_at，无PIT起点回填。尚未独立核验更早首发公告。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"博时基金管理有限公司|博时主题行业混合(LOF)","bdb4665d12217ce6029780d89ae05d431e8f992f0e4842707cf927f8e6d223e2","NONPOSITIVE_INTERVAL","2020-10-14","","2020-10-14","2020-10-14","35c0a92b1741f001871bbd80b705a7b4ba7307d9c36f8317337fa998a4faff94","f0cbaaf5d13b417c7649aac4a10c4dda9134ab275df8230ed9146b8b05ff2d9d","160505_477871.pdf","160505_480117.pdf","160505_480220.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","60.0","95.0","2","1","|60.0|95.0","|60.0|95.0","|60.0|95.0","False","SAME_DAY_SAME_STATE_SERIAL_CLOSURE","本基金的股票投资比例范围为：60%-95%","","同日同状态多个checkpoint顺次关闭，形成零长区间；应保留节点，状态区间按同时点合并。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"中欧基金管理有限公司|中欧科创主题混合(LOF)-","69689c870d306c0c94cbeefd77bcfb335f59f9e30e7d8018d254c944e951514a","NONPOSITIVE_INTERVAL","2020-11-04","","2020-11-04","2020-11-04","871d16cbe5a52e74253f8de396e4620898d1bc83d00fe9ee8709480e890b27a9","c9cb745692607b88d626e70fb6a65946422d66bc0761e6a71f3092dd8e825326","501081_495886.pdf","501081_497383.pdf","501081_497106.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","0.0","100.0","2","1","|0.0|100.0","|0.0|100.0","|0.0|100.0","False","SAME_DAY_SAME_STATE_SERIAL_CLOSURE","股票投资比例为基金资产的0%-100%","","同日同状态多个checkpoint顺次关闭，形成零长区间；应保留节点，状态区间按同时点合并。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
"中银基金管理有限公司|中银中国精选混合(LOF)-","1ddc3bf7efda771530d87c7e2be8d4a7d012b37a59496e74cccaf978d1b2cb4a","NONPOSITIVE_INTERVAL","2020-11-18","","2020-11-18","2020-11-18","302e6e3ac55ee288b56beb42a64cc3a87ddb76ab6be2273502a2d310f88e98f5","b1d4719cd5213ff46942cac7e7f26fcba8e6f1a4c3e9c402970a594c5ecba3e5","163801_456990.pdf","163801_501946.pdf","163801_501729.pdf","MATERIAL_SECTION_CHANGE","PARSED_STATE","","40.0","95.0","2","2","|40.0|100.0 || |40.0|95.0","|40.0|100.0","|40.0|95.0","False","SAME_DAY_COMPATIBLE_RANGES_SERIAL_CLOSURE","本基金投资股票资产及存托凭证的比例不低于基金资产净值的40%","","同日原始区间40-100与40-95兼容，timeline先收紧为40-95，再顺次关闭造成零长；不是原始证据完全相同，也不是互斥状态冲突。","local official PDF pdftotext -layout text inspection; source-page visual/legal signoff pending"
