checkpoint_id,family_key,share_code,upload_info_id,known_at,effective_date,trigger_type,is_critical,source_document,generation_rule_version,normalization_version,manifest_revision,supersedes_checkpoint_id,revision_reason,disposition,decision_method,evidence_raw,evidence_normalized,evidence_location,clause_sha256,predecessor_checkpoint_id,fund_type,equity_min_pct,equity_max_pct,parser_version,reviewer_version,failure_reason,primary_root_cause,root_cause_evidence,secondary_flags,stratum_status,stratum_era,alias_codes,synthetic_checkpoint,exact_metadata_match,family_metadata_document_count,relevant_candidate_count,pre_checkpoint_candidate_count,pre_checkpoint_parsed_clause_count,first_candidate_document,first_candidate_known_at,trace_status,official_absence_established,current_section_status,report_code,report_name,current_section_error,current_parser_status,current_parser_reason,current_clause
9f6f237e26313d6df49c3208d891c05a2a71bfd8a2ee96e18f7253e2d1bf8283,东吴基金管理有限公司|东吴保本混合,582003,420223,2015-08-10,,TRANSFORMATION,True,582003_420223.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,582003,False,True,34,34,1,0,582003_420223.pdf,2015-08-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,东吴保本基金保本周期到期安排及东吴配置优化转型运作后相关规则的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
4bc66eb5867253aef41d599438fa881688a1b63f49fe5ff7baa2e3123c9454af,东吴基金管理有限公司|东吴保本混合,582003,102623,2018-07-23,,TRANSFORMATION,True,582003_102623.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,582003,False,True,34,34,2,0,582003_420223.pdf,2015-08-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,东吴基金管理有限公司关于旗下部分基金新增中国银河证券股份有限公司为代销机构并推出定期定额业务及转换业务的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
1b1ca82b8b6278f897d0b7acb63a87efcb575df272e7232d52f1e2e2135ac0ec,东方基金管理股份有限公司|东方保本混合,400013,321924,2017-04-27,,TRANSFORMATION,True,400013_321924.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,400013,False,True,82,82,38,16,400013_321232.pdf,2011-03-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,东方保本混合型开放式证券投资基金保本周期到期安排及转型后运作相关业务规则的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
b746c965b5f4e5f83a6a4c817b916408f0d9043db061f3e76b8012cbf8669196,东方基金管理股份有限公司|东方保本混合,400013,321923,2017-04-27,,TRANSFORMATION,True,400013_321923.pdf,2,1,1,,,PARSED_STATE,EXPLICIT_STATE,权益类资产占基金资产的40%-80%,权益类资产占基金资产的40%-80%,400013_321923.pdf,756feab679cdfc7c56d891eaefc5afc90d3dada08c22793a5342f26bfb8f5782,,,40.0,80.0,15,,,RESOLVED_BASELINE,v2 disposition retained,DENOMINATOR_CACHE_HAS_CLAUSE,清盘,pre2013,400013,False,True,82,82,38,16,400013_321232.pdf,2011-03-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,success,FA010010,东方成长收益平衡混合型证券投资基金（由东方保本混合型开放式证券投资基金转型）招募说明书,,success,,权益类资产占基金资产的40%-80%
c8a72b7a677d98d6ee5ec2186e5d500b012f95edc9f167d62fb787b4f63265bd,东方基金管理股份有限公司|东方保本混合,400013,321927,2017-04-27,,TRANSFORMATION,True,400013_321927.pdf,2,1,1,,,PARSED_STATE,EXPLICIT_STATE,权益类资产占基金资产的40%-80%,权益类资产占基金资产的40%-80%,400013_321927.pdf,756feab679cdfc7c56d891eaefc5afc90d3dada08c22793a5342f26bfb8f5782,,,40.0,80.0,15,,,RESOLVED_BASELINE,v2 disposition retained,DENOMINATOR_CACHE_HAS_CLAUSE,清盘,pre2013,400013,False,True,82,82,38,16,400013_321232.pdf,2011-03-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,success,FA020010,东方成长收益平衡混合型证券投资基金（由东方保本混合型开放式证券投资基金转型）基金合同,,success,,权益类资产占基金资产的40%-80%
7d7a603732a4a6c8c3f719e4b4875e427e8ffa9c5bff29c41540a99c1266a22a,东方基金管理股份有限公司|东方保本混合,400013,321869,2017-05-09,,TRANSFORMATION,True,400013_321869.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,400013,False,True,82,82,39,16,400013_321232.pdf,2011-03-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,关于东方成长收益平衡混合型证券投资基金（由东方保本混合型开放式证券投资基金转型）暂停赎回、转换转出业务的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
4420475d6b9a6f7946a44a2a0f693972c25d322595d8921b1cf070f796fbebd7,东方基金管理股份有限公司|东方保本混合,400013,321727,2017-10-26,,TRANSFORMATION,True,400013_321727.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,400013,False,True,82,82,40,16,400013_321232.pdf,2011-03-10,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,关于增加银河证券为东方成长收益平衡等8只基金销售渠道及开通定投、转换业务并参与其申购及定投费率优惠活动的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
5bb2165b692878f4271684609c585b9321f01bcd79af5391bc90d084184adf9d,中欧基金管理有限公司|中欧新动力混合(LOF)-,166009,212014,2015-06-04,,TRANSFORMATION,True,166009_212014.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,存续,pre2013,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,中欧新动力股票型证券投资基金（LOF）恢复申购、转换转入、定期定额投资公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
3139cca667652543477d3edb19a870cad11f29a669fe651714e9f19560709553,中欧基金管理有限公司|中欧新动力混合(LOF)-,166009,209065,2015-07-31,,TRANSFORMATION,True,166009_209065.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,存续,pre2013,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,中欧基金管理有限公司关于中欧新动力混合型证券投资基金（LOF）开通转换、定期定额投资和费率优惠业务的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
76400b012ab0faf7852d3f64f36aa8072ecfb5614f5dd914589aeb73c836c6b1,中海基金管理有限公司|中海保本混合,393001,239082,2015-07-01,,TRANSFORMATION,True,393001_239082.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,pre2013,393001,False,True,39,39,4,2,393001_238838.pdf,2015-06-16,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FC900090,中海基金管理有限公司关于中海优势精选灵活配置混合型证券投资基金转换补差费率优惠的公告,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
