failure,parser_version,source_document,status,document,reason,report_code,report_name,share_code,upload_info_id,section_name,section_text,evidence_location,extraction_status,effective_date,equity_max_pct,equity_min_pct,evidence,known_at,normalized_clause,normalization_version,clause_sha256,cluster_id,cluster_member_count
,16,163302_446861.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2005-08-05', 'report_code': 'FA020010', 'report_name': '巨田资源优选基金（LOF）基金合同', 'share_code': '163302', 'source_document': '163302_446861.pdf', 'upload_info_id': '446861'}",,FA020010,巨田资源优选基金（LOF）基金合同,163302,446861,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446861.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2005-08-05,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446862.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2005-08-05', 'report_code': 'FA010010', 'report_name': '巨田资源优选混合型证券投资基金（LOF）招募说明书', 'share_code': '163302', 'source_document': '163302_446862.pdf', 'upload_info_id': '446862'}",,FA010010,巨田资源优选混合型证券投资基金（LOF）招募说明书,163302,446862,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446862.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2005-08-05,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446730.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2006-05-09', 'report_code': 'FA010030', 'report_name': '巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）', 'share_code': '163302', 'source_document': '163302_446730.pdf', 'upload_info_id': '446730'}",,FA010030,巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）,163302,446730,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446730.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2006-05-09,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446741.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2006-11-09', 'report_code': 'FA010030', 'report_name': '巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）11.9', 'share_code': '163302', 'source_document': '163302_446741.pdf', 'upload_info_id': '446741'}",,FA010030,巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）11.9,163302,446741,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446741.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2006-11-09,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446692.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2007-05-09', 'report_code': 'FA010030', 'report_name': '巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）', 'share_code': '163302', 'source_document': '163302_446692.pdf', 'upload_info_id': '446692'}",,FA010030,巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）,163302,446692,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446692.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2007-05-09,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446709.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2007-09-28', 'report_code': 'FA020020', 'report_name': '巨田资源优选混合型证券投资基金（LOF)基金合同（新会计准则）', 'share_code': '163302', 'source_document': '163302_446709.pdf', 'upload_info_id': '446709'}",,FA020020,巨田资源优选混合型证券投资基金（LOF)基金合同（新会计准则）,163302,446709,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446709.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2007-09-28,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_474038.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2007-11-09', 'report_code': 'FA010030', 'report_name': '巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）', 'share_code': '163302', 'source_document': '163302_474038.pdf', 'upload_info_id': '474038'}",,FA010030,巨田资源优选混合型证券投资基金（LOF）招募说明书（更新）,163302,474038,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_474038.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2007-11-09,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446661.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2008-05-09', 'report_code': 'FA010030', 'report_name': '巨田资源优选混合型证券投资基金(现称摩根士丹利华鑫资源优选混合型证券投资基金)招募说明书(更新)', 'share_code': '163302', 'source_document': '163302_446661.pdf', 'upload_info_id': '446661'}",,FA010030,巨田资源优选混合型证券投资基金(现称摩根士丹利华鑫资源优选混合型证券投资基金)招募说明书(更新),163302,446661,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446661.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2008-05-09,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446665.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2008-06-13', 'report_code': 'FA020020', 'report_name': '摩根士丹利华鑫资源优选混合型证券投资基金（LOF）基金合同', 'share_code': '163302', 'source_document': '163302_446665.pdf', 'upload_info_id': '446665'}",,FA020020,摩根士丹利华鑫资源优选混合型证券投资基金（LOF）基金合同,163302,446665,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446665.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2008-06-13,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
,16,163302_446681.pdf,success,"{'effective_date': None, 'equity_max_pct': 95.0, 'equity_min_pct': 30.0, 'evidence': '股票投资比例的变动范围为：基金资产净值的30%-95%', 'known_at': '2008-11-10', 'report_code': 'FA010030', 'report_name': '摩根士丹利华鑫资源优选混合型证券投资基金招募说明书', 'share_code': '163302', 'source_document': '163302_446681.pdf', 'upload_info_id': '446681'}",,FA010030,摩根士丹利华鑫资源优选混合型证券投资基金招募说明书,163302,446681,investment_range,股票投资比例的变动范围为：基金资产净值的30%-95%,163302_446681.pdf,success,,95.0,30.0,股票投资比例的变动范围为：基金资产净值的30%-95%,2008-11-10,股票投资比例的变动范围为:基金资产净值的30%-95%,1,0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,n1-0274c4ecace303430ed6daf38138401fa32295aacb1a8e75b8f607641bdabf28,51
