sample_share_code,status,inception_era,family_key,query_code,query_ts_code,query_name
000695,清盘,2013_2019,大成基金管理有限公司|大成景益平稳收益混合,000695,000695.OF,大成景益平稳收益混合-A
000695,清盘,2013_2019,大成基金管理有限公司|大成景益平稳收益混合,007514,007514.OF,大成景益平稳收益混合-C
001464,清盘,2013_2019,光大保德信基金管理有限公司|光大保德信鼎鑫灵活配置混合,001464,001464.OF,光大保德信鼎鑫灵活配置混合-A
001464,清盘,2013_2019,光大保德信基金管理有限公司|光大保德信鼎鑫灵活配置混合,001823,001823.OF,光大保德信鼎鑫灵活配置混合-C
003610,清盘,2013_2019,南方基金管理股份有限公司|南方荣安定开混合,003610,003610.OF,南方荣安定开混合-A
003610,清盘,2013_2019,南方基金管理股份有限公司|南方荣安定开混合,003611,003611.OF,南方荣安定开混合-C
003663,清盘,2013_2019,鹏华基金管理有限公司|鹏华兴泰定开灵活配置混合,003663,003663.OF,鹏华兴泰定开灵活配置混合
005422,清盘,2013_2019,鹏华基金管理有限公司|鹏华兴嘉定开灵活配置混合,005422,005422.OF,鹏华兴嘉定开灵活配置混合
005728,清盘,2013_2019,华宝基金管理有限公司|华宝绿色主题混合,005728,005728.OF,华宝绿色主题混合-A
005728,清盘,2013_2019,华宝基金管理有限公司|华宝绿色主题混合,012799,012799.OF,华宝绿色主题混合-C
006857,清盘,2013_2019,蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合,006857,006857.OF,蜂巢卓睿灵活配置混合-A
006857,清盘,2013_2019,蜂巢基金管理有限公司|蜂巢卓睿灵活配置混合,006858,006858.OF,蜂巢卓睿灵活配置混合-C
009753,清盘,2020_2026,中欧基金管理有限公司|中欧美益稳健两年持有期混合,009753,009753.OF,中欧美益稳健两年持有期混合-A
009753,清盘,2020_2026,中欧基金管理有限公司|中欧美益稳健两年持有期混合,009754,009754.OF,中欧美益稳健两年持有期混合-C
010006,清盘,2020_2026,南方基金管理股份有限公司|南方誉鼎一年持有期混合,010006,010006.OF,南方誉鼎一年持有期混合-A
010006,清盘,2020_2026,南方基金管理股份有限公司|南方誉鼎一年持有期混合,010007,010007.OF,南方誉鼎一年持有期混合-C
010921,清盘,2020_2026,民生加银基金管理有限公司|民生加银润利混合,010921,010921.OF,民生加银润利混合
010951,清盘,2020_2026,中金基金管理有限公司|中金成长精选混合,010951,010951.OF,中金成长精选混合-A
010951,清盘,2020_2026,中金基金管理有限公司|中金成长精选混合,010952,010952.OF,中金成长精选混合-C
011872,存续,2020_2026,中邮创业基金管理股份有限公司|中邮悦享6个月持有期混合,011872,011872.OF,中邮悦享6个月持有期混合-A
011872,存续,2020_2026,中邮创业基金管理股份有限公司|中邮悦享6个月持有期混合,011873,011873.OF,中邮悦享6个月持有期混合-C
012815,存续,2020_2026,宝盈基金管理有限公司|宝盈新兴产业灵活配置混合,012815,012815.OF,宝盈新兴产业灵活配置混合-C
015074,存续,2020_2026,摩根基金管理(中国)有限公司|摩根转型动力灵活配置混合,015074,015074.OF,摩根转型动力灵活配置混合-C
015116,存续,2020_2026,汇添富基金管理股份有限公司|汇添富大盘核心资产增长混合,015116,015116.OF,汇添富大盘核心资产增长混合-C
015116,存续,2020_2026,汇添富基金管理股份有限公司|汇添富大盘核心资产增长混合,015117,015117.OF,汇添富大盘核心资产增长混合-D
015276,清盘,2020_2026,博时基金管理有限公司|博时均衡回报混合,015276,015276.OF,博时均衡回报混合-A
015276,清盘,2020_2026,博时基金管理有限公司|博时均衡回报混合,015277,015277.OF,博时均衡回报混合-C
016380,清盘,2020_2026,华宝基金管理有限公司|华宝专精特新混合,016380,016380.OF,华宝专精特新混合-A
016380,清盘,2020_2026,华宝基金管理有限公司|华宝专精特新混合,016381,016381.OF,华宝专精特新混合-C
017081,清盘,2020_2026,鹏华基金管理有限公司|鹏华悦享一年持有期混合,017081,017081.OF,鹏华悦享一年持有期混合-A
017081,清盘,2020_2026,鹏华基金管理有限公司|鹏华悦享一年持有期混合,017082,017082.OF,鹏华悦享一年持有期混合-C
017386,存续,2020_2026,兴证全球基金管理有限公司|兴全安泰积极养老目标五年持有期混合(FOF),017386,017386.OF,兴全安泰积极养老目标五年持有期混合(FOF)-Y
017415,存续,2020_2026,中泰证券(上海)资产管理有限公司|中泰元和价值精选混合,017415,017415.OF,中泰元和价值精选混合-A
017415,存续,2020_2026,中泰证券(上海)资产管理有限公司|中泰元和价值精选混合,017416,017416.OF,中泰元和价值精选混合-C
017464,存续,2020_2026,长江证券(上海)资产管理有限公司|长江楚财一年持有期混合,017464,017464.OF,长江楚财一年持有期混合-A
017464,存续,2020_2026,长江证券(上海)资产管理有限公司|长江楚财一年持有期混合,017465,017465.OF,长江楚财一年持有期混合-C
017624,存续,2020_2026,农银汇理基金管理有限公司|农银汇理瑞云增益6个月持有期混合,017624,017624.OF,农银汇理瑞云增益6个月持有期混合-A
017624,存续,2020_2026,农银汇理基金管理有限公司|农银汇理瑞云增益6个月持有期混合,017625,017625.OF,农银汇理瑞云增益6个月持有期混合-C
017774,清盘,2020_2026,泰康基金管理有限公司|泰康养老目标日期2040三年持有期混合(FOF),017774,017774.OF,泰康养老目标日期2040三年持有期混合(FOF)
018628,清盘,2020_2026,中金基金管理有限公司|中金兴元6个月持有期混合,018628,018628.OF,中金兴元6个月持有期混合-A
018628,清盘,2020_2026,中金基金管理有限公司|中金兴元6个月持有期混合,018629,018629.OF,中金兴元6个月持有期混合-C
018993,存续,2020_2026,中欧基金管理有限公司|中欧数字经济混合,018993,018993.OF,中欧数字经济混合-A
018993,存续,2020_2026,中欧基金管理有限公司|中欧数字经济混合,018994,018994.OF,中欧数字经济混合-C
023003,存续,2020_2026,兴证全球基金管理有限公司|兴全盈鑫多元配置三个月持有期混合(FOF),023003,023003.OF,兴全盈鑫多元配置三个月持有期混合(FOF)-A
023003,存续,2020_2026,兴证全球基金管理有限公司|兴全盈鑫多元配置三个月持有期混合(FOF),023004,023004.OF,兴全盈鑫多元配置三个月持有期混合(FOF)-C
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),016616,016616.OF,国泰估值优势混合(LOF)-C
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),150010,150010.SZ,国泰估值优势混合(LOF)-优先
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),150011,150011.SZ,国泰估值优势混合(LOF)-进取
150011,清盘,pre2013,国泰基金管理有限公司|国泰估值优势混合(LOF),160212,160212.SZ,国泰估值优势混合(LOF)-A
150017,清盘,pre2013,兴证全球基金管理有限公司|兴全合润分级混合,150016,150016.SZ,兴全合润分级混合-A
150017,清盘,pre2013,兴证全球基金管理有限公司|兴全合润分级混合,150017,150017.SZ,兴全合润分级混合-B
160505,存续,pre2013,博时基金管理有限公司|博时主题行业混合(LOF),160505,160505.SZ,博时主题行业混合(LOF)
161132,存续,2013_2019,易方达基金管理有限公司|易方达科顺定开灵活配置混合,161132,161132.SZ,易方达科顺定开灵活配置混合
161810,存续,pre2013,银华基金管理股份有限公司|银华内需精选混合(LOF),028897,028897.OF,银华内需精选混合(LOF)-C
161810,存续,pre2013,银华基金管理股份有限公司|银华内需精选混合(LOF),161810,161810.SZ,银华内需精选混合(LOF)
162006,存续,pre2013,长城基金管理有限公司|长城久富核心成长混合(LOF),015383,015383.OF,长城久富核心成长混合(LOF)-C
162006,存续,pre2013,长城基金管理有限公司|长城久富核心成长混合(LOF),162006,162006.SZ,长城久富核心成长混合(LOF)-A
162207,存续,pre2013,宏利基金管理有限公司|宏利效率优选混合(LOF),162207,162207.SZ,宏利效率优选混合(LOF)
162703,存续,pre2013,广发基金管理有限公司|广发小盘成长混合(LOF),162703,162703.SZ,广发小盘成长混合(LOF)-A
163001,存续,2013_2019,长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF),013154,013154.OF,长信医疗保健行业灵活配置混合(LOF)-C
163001,存续,2013_2019,长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF),163001,163001.SZ,长信医疗保健行业灵活配置混合(LOF)-A
163302,存续,pre2013,摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),163302,163302.SZ,大摩资源优选混合(LOF)
163402,存续,pre2013,兴证全球基金管理有限公司|兴全趋势投资混合(LOF),163402,163402.SZ,兴全趋势投资混合(LOF)
163415,存续,pre2013,兴证全球基金管理有限公司|兴全商业模式优选混合(LOF),023881,023881.OF,兴全商业模式优选混合(LOF)-C
