share_code,ts_code,name,management,fund_type,status,inception_date,inception_era,family_key,stratum_pool_size,stratum_quota
160505,160505.SZ,博时主题行业混合(LOF),博时基金管理有限公司,混合型,存续,2005-01-06,pre2013,博时基金管理有限公司|博时主题行业混合(LOF),38,10
161810,161810.SZ,银华内需精选混合(LOF),银华基金管理股份有限公司,混合型,存续,2009-07-01,pre2013,银华基金管理股份有限公司|银华内需精选混合(LOF),38,10
162006,162006.SZ,长城久富核心成长混合(LOF)-A,长城基金管理有限公司,混合型,存续,2007-02-12,pre2013,长城基金管理有限公司|长城久富核心成长混合(LOF)-,38,10
162207,162207.SZ,宏利效率优选混合(LOF),宏利基金管理有限公司,混合型,存续,2006-05-12,pre2013,宏利基金管理有限公司|宏利效率优选混合(LOF),38,10
162703,162703.SZ,广发小盘成长混合(LOF)-A,广发基金管理有限公司,混合型,存续,2005-02-02,pre2013,广发基金管理有限公司|广发小盘成长混合(LOF)-,38,10
163302,163302.SZ,大摩资源优选混合(LOF),摩根士丹利基金管理(中国)有限公司,混合型,存续,2005-09-27,pre2013,摩根士丹利基金管理(中国)有限公司|大摩资源优选混合(LOF),38,10
163402,163402.SZ,兴全趋势投资混合(LOF),兴证全球基金管理有限公司,混合型,存续,2005-11-03,pre2013,兴证全球基金管理有限公司|兴全趋势投资混合(LOF),38,10
163415,163415.SZ,兴全商业模式优选混合(LOF)-A,兴证全球基金管理有限公司,混合型,存续,2012-12-18,pre2013,兴证全球基金管理有限公司|兴全商业模式优选混合(LOF)-,38,10
163801,163801.SZ,中银中国精选混合(LOF)-A,中银基金管理有限公司,混合型,存续,2005-01-04,pre2013,中银基金管理有限公司|中银中国精选混合(LOF)-,38,10
166009,166009.SZ,中欧新动力混合(LOF)-A,中欧基金管理有限公司,混合型,存续,2011-02-10,pre2013,中欧基金管理有限公司|中欧新动力混合(LOF)-,38,10
161132,161132.SZ,易方达科顺定开灵活配置混合,易方达基金管理有限公司,混合型,存续,2018-10-26,2013_2019,易方达基金管理有限公司|易方达科顺定开灵活配置混合,91,10
163001,163001.SZ,长信医疗保健行业灵活配置混合(LOF)-A,长信基金管理有限责任公司,混合型,存续,2015-07-20,2013_2019,长信基金管理有限责任公司|长信医疗保健行业灵活配置混合(LOF)-,91,10
167002,167002.SZ,平安鼎越灵活配置混合(LOF)-A,平安基金管理有限公司,混合型,存续,2018-06-20,2013_2019,平安基金管理有限公司|平安鼎越灵活配置混合(LOF)-,91,10
168102,168102.SZ,九泰锐富事件驱动混合(LOF)-A,九泰基金管理有限公司,混合型,存续,2016-02-04,2013_2019,九泰基金管理有限公司|九泰锐富事件驱动混合(LOF)-,91,10
168104,168104.SZ,九泰锐丰灵活配置混合(LOF)-A,九泰基金管理有限公司,混合型,存续,2018-09-28,2013_2019,九泰基金管理有限公司|九泰锐丰灵活配置混合(LOF)-,91,10
501070,501070.SH,广发睿阳三年定开混合,广发基金管理有限公司,混合型,存续,2019-01-31,2013_2019,广发基金管理有限公司|广发睿阳三年定开混合,91,10
501071,501071.SH,泓德丰泽混合(LOF)-A,泓德基金管理有限公司,混合型,存续,2019-03-28,2013_2019,泓德基金管理有限公司|泓德丰泽混合(LOF)-,91,10
501079,501079.SH,大成科创主题混合(LOF)-A,大成基金管理有限公司,混合型,存续,2019-07-18,2013_2019,大成基金管理有限公司|大成科创主题混合(LOF)-,91,10
501081,501081.SH,中欧科创主题混合(LOF)-A,中欧基金管理有限公司,混合型,存续,2019-06-28,2013_2019,中欧基金管理有限公司|中欧科创主题混合(LOF)-,91,10
501188,501188.SH,汇添富核心精选灵活配置混合(LOF),汇添富基金管理股份有限公司,混合型,存续,2018-07-05,2013_2019,汇添富基金管理股份有限公司|汇添富核心精选灵活配置混合(LOF),91,10
