date,ym,n,water,avg_score,avg_fvalue,ic6,ic_fv,ic_fm,ic_fa,ls_q5q1
2016-01-29,2016-01,144,0.4538,38.3,51.9,0.1620542088892238,0.08143924415467044,0.15765332707303908,0.05051346897339428,0.026820689655172425
2016-02-29,2016-02,145,0.4014,41.1,58.1,0.1584726442475071,-0.08616179197060012,0.28574315036954057,0.03008523421133218,0.027868965517241384
2016-03-31,2016-03,147,0.5862,33.3,38.7,0.23722025204636793,0.10600300939028517,0.2527374934882155,0.10997711948814537,0.04357333333333334
2016-04-29,2016-04,147,0.5452,33.1,43.1,0.25884913009193256,0.25580287908724625,0.2731498327787194,0.0987186786496651,0.05452666666666666
2016-05-31,2016-05,148,0.5665,29.8,40.9,0.3927920435113196,0.5108892007827641,0.453054819140429,0.012600315604205886,0.07663
2016-06-30,2016-06,150,0.607,28.8,35.3,0.25954994309932927,0.6076958492233361,0.19750347027544468,0.04475085133060593,0.07798333333333334
2016-07-29,2016-07,153,0.5425,32.3,46.8,0.017669548754808983,-0.5119780589949853,-0.14653872150004874,0.07489601153966144,0.007325806451612902
2016-08-31,2016-08,155,0.5845,33.7,45.9,0.3434009437477259,-0.5317509317171042,0.45284661917477403,0.12844739734278435,0.042193548387096776
2016-09-30,2016-09,155,0.5445,35.3,48.6,0.13592417712027002,-0.5785951097678105,0.186832189291385,0.03924875597547694,0.014883870967741929
2016-10-31,2016-10,157,0.5197,38.4,52.2,0.13455653188206435,-0.4354160030568967,0.22340951248712612,0.041210916989344364,0.031525000000000004
2016-11-30,2016-11,159,0.6038,35.0,44.1,0.16857147994548516,-0.22887479291360605,0.21835883051847746,0.08145360159775404,0.034809375000000004
2016-12-30,2016-12,162,0.4852,40.3,56.1,0.12372808046567813,-0.3642042820758899,0.08687490355810834,0.061802766460370626,0.01874545454545455
2017-01-26,2017-01,164,0.5694,35.0,49.7,0.1613166744182401,-0.394513333049574,0.11266802764940896,0.06923344625866425,0.03606666666666667
2017-02-28,2017-02,166,0.5793,36.7,50.4,0.09825612211355206,-0.4106225375178419,0.09171715047093112,-0.008953346607705378,0.0070597147950089145
2017-03-31,2017-03,168,0.5615,37.9,51.4,0.09513664621031588,-0.3589589789697866,0.20385152716425958,-0.01731759532375559,0.012326470588235314
2017-04-28,2017-04,173,0.4946,40.4,56.9,0.12016882638601255,-0.3381600882580686,0.15257520353619108,-0.0023948098068195534,0.031994285714285725
2017-05-31,2017-05,174,0.5339,39.8,56.6,0.24539485998069424,-0.2069142495372583,0.4806388117882462,-0.004873627048451945,0.05349428571428573
2017-06-30,2017-06,176,0.5708,39.6,52.9,0.2020315250985039,-0.3721847295646521,0.3902016205574331,0.05087676904714895,0.033692222222222214
2017-07-31,2017-07,180,0.5922,40.3,51.3,0.2907331462523216,-0.5114430648180184,0.49493519856260987,0.13524925689054929,0.05621944444444445
2017-08-31,2017-08,186,0.5862,40.4,47.7,0.33356116645510286,-0.3434474339594664,0.31059435393364626,0.26960688754402623,0.08718335704125177
2017-09-29,2017-09,189,0.5804,40.2,49.4,0.1361241142468211,-0.3459943415687112,-0.002107771095011955,0.2667162355895914,0.03268157894736842
2017-10-31,2017-10,191,0.5407,42.5,53.1,0.10962914294592789,-0.2880454056647654,-0.020480231496152922,0.26548311702435445,0.02231302294197031
2017-11-30,2017-11,191,0.521,46.1,58.3,0.20598884229728973,-0.22706033748526644,0.11339304858071507,0.3017055094264899,0.05178994601889338
2017-12-29,2017-12,198,0.5249,45.9,54.7,0.10689710082337336,-0.08969608344190018,-0.03444666181672568,0.25718214855907684,0.01657750000000001
2018-01-31,2018-01,203,0.5591,44.2,48.9,0.08562325368503246,0.19650062202637136,-0.09863334762975808,0.21788185842020055,0.006785365853658576
2018-02-28,2018-02,205,0.5104,45.8,51.0,0.15326898808303116,-0.0292250862204126,0.010381792106652925,0.27069293955947626,0.032182926829268294
2018-03-30,2018-03,208,0.4513,47.2,57.9,0.3308602537179831,-0.44552669336599465,0.3565165661089289,0.3049445630113569,0.06756666666666666
2018-04-27,2018-04,213,0.3434,53.0,72.4,0.1705342509999872,-0.5043254651028531,0.02879432672972972,0.26954488603606785,0.031876744186046496
2018-05-31,2018-05,216,0.2995,57.7,80.0,0.15081779029584022,-0.3530434127668349,0.08039236608421649,0.1935987869784672,0.02826321353065539
