date,code,name,water,v1,base,fwd6
2016-03-31,519697,交银优势行业混合,0.5862,90.8,75.4,0.1659
2016-03-31,080012,长盛电子信息产业混合A,0.5862,90.7,75.3,-0.0986
2016-03-31,519679,银河主题混合A,0.5862,87.0,71.7,-0.0098
2016-03-31,040025,华安科技动力混合A,0.5862,85.7,70.4,0.1886
2016-03-31,320011,诺安中小盘精选混合A,0.5862,84.8,69.6,0.0728
2016-03-31,270041,广发消费品精选混合A,0.5862,84.5,69.4,0.1264
2016-03-31,100029,富国天成红利混合,0.5862,80.7,65.3,0.0588
2016-03-31,040011,华安核心优选混合A,0.5862,79.4,64.4,0.0843
2016-03-31,740001,长安宏观策略混合A,0.5862,75.9,60.6,0.2017
2016-03-31,519068,汇添富成长焦点混合,0.5862,74.1,58.8,0.0788
2016-03-31,210007,金鹰技术领先灵活配置混合A,0.5862,74.2,58.6,0.013
2016-03-31,002031,华夏策略混合,0.5862,73.4,58.3,0.0886
2016-03-31,202019,南方策略优化混合,0.5862,73.3,58.1,0.164
2016-03-31,519983,长信量化先锋混合A,0.5862,73.3,58.0,0.2076
2016-03-31,688888,浙商聚潮产业成长混合A,0.5862,73.3,58.0,0.1051
2016-03-31,290012,泰信行业精选混合A,0.5862,73.3,57.9,0.0202
2016-03-31,050022,博时回报混合,0.5862,73.2,57.8,0.0101
2016-03-31,160211,国泰中小盘成长混合(LOF),0.5862,72.8,57.3,0.2328
2016-06-30,519697,交银优势行业混合,0.607,90.3,74.0,0.124
2016-06-30,040025,华安科技动力混合A,0.607,85.5,69.3,0.1009
2016-06-30,160916,大成优选混合(LOF)A,0.607,84.2,67.9,0.0364
2016-06-30,320011,诺安中小盘精选混合A,0.607,83.8,67.8,0.0878
2016-06-30,270041,广发消费品精选混合A,0.607,83.9,67.7,0.0289
2016-06-30,100029,富国天成红利混合,0.607,77.9,61.7,-0.0248
2016-06-30,160211,国泰中小盘成长混合(LOF),0.607,76.7,60.4,0.0063
2016-06-30,519983,长信量化先锋混合A,0.607,72.8,56.6,0.1222
2016-06-30,202019,南方策略优化混合,0.607,72.8,56.6,0.137
2016-06-30,160215,国泰价值经典混合(LOF),0.607,70.7,54.5,0.0257
2016-09-30,530019,建信社会责任混合A,0.5445,78.2,78.2,0.0548
2016-09-30,040025,华安科技动力混合A,0.5445,75.2,75.2,0.0986
2016-09-30,740001,长安宏观策略混合A,0.5445,82.8,70.0,-0.0144
2016-09-30,519983,长信量化先锋混合A,0.5445,74.9,62.3,0.0156
2016-09-30,020001,国泰金鹰增长混合,0.5445,70.5,57.6,0.1179
2016-09-30,160215,国泰价值经典混合(LOF),0.5445,70.5,57.5,0.1152
2016-12-30,519697,交银优势行业混合,0.4852,93.8,83.4,-0.0099
2016-12-30,160916,大成优选混合(LOF)A,0.4852,83.0,83.0,0.1247
2016-12-30,000251,工银金融地产混合A,0.4852,80.0,80.0,0.1364
2016-12-30,040025,华安科技动力混合A,0.4852,78.8,78.8,0.071
2016-12-30,320011,诺安中小盘精选混合A,0.4852,77.9,77.9,0.05
2016-12-30,040011,华安核心优选混合A,0.4852,74.0,74.0,0.122
2016-12-30,519908,华夏兴华混合A,0.4852,73.6,73.6,0.0406
2016-12-30,630016,华商价值共享混合发起式,0.4852,72.1,72.1,0.0686
2016-12-30,450009,国富中小盘股票A,0.4852,70.6,70.6,0.1156
2016-12-30,519983,长信量化先锋混合A,0.4852,76.3,66.0,-0.113
2017-03-31,519158,新华趋势领航混合,0.5615,80.5,80.5,0.0655
2017-03-31,000362,国泰聚信价值优势混合A,0.5615,79.3,79.3,0.0378
2017-03-31,000311,景顺长城沪深300指数增强A,0.5615,78.1,78.1,0.1729
2017-03-31,040025,华安科技动力混合A,0.5615,77.9,77.9,0.1062
2017-03-31,320011,诺安中小盘精选混合A,0.5615,77.4,77.4,0.0484
2017-03-31,000251,工银金融地产混合A,0.5615,77.2,77.2,0.1816
2017-03-31,519908,华夏兴华混合A,0.5615,77.2,77.2,-0.0225
2017-03-31,470098,汇添富逆向投资混合A,0.5615,74.5,74.5,0.0169
2017-03-31,040011,华安核心优选混合A,0.5615,72.5,72.5,0.1013
2017-03-31,160916,大成优选混合(LOF)A,0.5615,70.8,70.8,0.1431
2017-03-31,519150,新华优选消费混合,0.5615,70.2,70.2,0.0492
2017-03-31,160215,国泰价值经典混合(LOF),0.5615,75.3,63.4,0.2021
2017-03-31,020001,国泰金鹰增长混合,0.5615,72.2,60.2,0.2044
2017-06-30,000020,景顺长城品质投资混合A,0.5708,93.4,82.4,0.1229
2017-06-30,160916,大成优选混合(LOF)A,0.5708,92.8,80.8,0.1083
2017-06-30,000259,农银区间收益混合,0.5708,91.8,79.6,0.097
2017-06-30,000117,广发轮动配置混合,0.5708,87.8,78.2,0.0088
2017-06-30,100056,富国低碳环保混合,0.5708,88.8,77.9,0.1015
2017-06-30,160211,国泰中小盘成长混合(LOF),0.5708,88.0,77.9,0.0465
2017-06-30,000311,景顺长城沪深300指数增强A,0.5708,91.6,77.7,0.1304
2017-06-30,040011,华安核心优选混合A,0.5708,89.1,75.4,0.0598
2017-06-30,519068,汇添富成长焦点混合,0.5708,88.1,74.0,0.1835
2017-06-30,270041,广发消费品精选混合A,0.5708,86.1,73.7,0.1431
2017-06-30,450009,国富中小盘股票A,0.5708,80.6,68.6,0.105
2017-06-30,110013,易方达科翔混合,0.5708,76.3,65.9,0.1227
2017-06-30,162605,景顺长城鼎益混合(LOF)A,0.5708,81.0,65.1,0.2311
2017-06-30,202002,南方稳健成长贰号混合,0.5708,75.8,63.8,0.0768
2017-06-30,582003,东吴配置优化混合A,0.5708,75.3,63.3,0.0922
2017-06-30,580009,东吴多策略混合A,0.5708,74.9,62.1,0.102
2017-06-30,000423,前海开源事件驱动混合A,0.5708,74.5,61.3,0.1548
2017-06-30,481012,工银深证红利ETF联接A,0.5708,75.2,60.8,0.1714
2017-06-30,000251,工银金融地产混合A,0.5708,85.0,60.0,0.1177
2017-06-30,100038,富国沪深300指数增强A,0.5708,73.9,59.8,0.1262
2017-06-30,240020,华宝医药生物混合A,0.5708,73.8,59.4,0.0669
2017-06-30,200008,长城品牌优选混合A,0.5708,71.1,56.8,0.1157
2017-06-30,160716,嘉实基本面50指数(LOF)A,0.5708,73.8,48.8,0.1146
2017-09-29,000020,景顺长城品质投资混合A,0.5804,93.2,81.9,0.0479
2017-09-29,377240,摩根新兴动力混合A,0.5804,89.2,77.3,-0.0003
2017-09-29,000311,景顺长城沪深300指数增强A,0.5804,76.8,76.8,0.0424
2017-09-29,040025,华安科技动力混合A,0.5804,72.2,72.2,0.0346
2017-09-29,160916,大成优选混合(LOF)A,0.5804,72.0,72.0,0.0656
2017-09-29,519674,银河创新成长混合A,0.5804,84.7,71.7,-0.067
2017-09-29,000259,农银区间收益混合,0.5804,71.4,71.4,0.0087
2017-09-29,000595,嘉实泰和混合,0.5804,70.0,70.0,0.0873
2017-09-29,450009,国富中小盘股票A,0.5804,80.7,68.4,0.041
2017-09-29,160215,国泰价值经典混合(LOF),0.5804,76.5,65.5,-0.0159
2017-09-29,110013,易方达科翔混合,0.5804,76.0,65.2,0.0407
2017-09-29,020001,国泰金鹰增长混合,0.5804,75.9,65.0,-0.018
2017-09-29,100038,富国沪深300指数增强A,0.5804,76.8,62.4,0.0567
2017-09-29,000404,易方达新兴成长灵活配置,0.5804,72.1,61.7,0.0176
2017-09-29,162714,广发深证100ETF联接A,0.5804,72.0,59.9,0.031
2017-09-29,110019,易方达深证100ETF联接A,0.5804,72.0,59.8,0.0199
2017-09-29,310358,申万菱信新经济混合A,0.5804,70.5,57.5,-0.0239
2017-12-29,519736,交银新成长混合,0.5249,84.0,84.0,-0.0809
2017-12-29,202027,南方高端装备混合A,0.5249,81.8,81.8,-0.1226
2017-12-29,000020,景顺长城品质投资混合A,0.5249,81.4,81.4,-0.0905
2017-12-29,377240,摩根新兴动力混合A,0.5249,81.0,81.0,-0.1442
2017-12-29,000595,嘉实泰和混合,0.5249,78.6,78.6,-0.1155
2017-12-29,519697,交银优势行业混合,0.5249,77.3,77.3,0.1142
2017-12-29,519068,汇添富成长焦点混合,0.5249,77.3,77.3,-0.1288
2017-12-29,000746,招商行业精选股票基金,0.5249,76.8,76.8,-0.1685
2017-12-29,080002,长盛创新先锋混合A,0.5249,75.8,75.8,-0.1107
2017-12-29,470009,汇添富民营活力混合,0.5249,74.7,74.7,-0.1672
