code,name,start,w2,w1,r4_24,r4_25
024622,华泰柏瑞中证全指自由现金流ETF联接A,2025-07-08,,0.08592584590286734,,
022909,国投瑞银中证500指数量化增强Y,2024-12-13,,0.25555440638548754,,0.027957869359341192
022274,国泰港股红利ETF联接A,2024-10-09,,0.03430901870423031,,0.1256505322310979
023737,富国上证科创板综合价格ETF联接A,2025-04-09,,0.3800457947926772,,
024000,农银上证科创板50指数A,2025-05-20,,0.5455763678648067,,
022153,华泰柏瑞红利精选混合A,2025-03-06,,0.022830117977508113,,
022438,华泰柏瑞中证A500ETF联接A,2024-11-12,,0.16774775705443923,,0.0021955417848613656
015291,金元顺安产业臻选混合A,2023-12-19,0.6487406931083828,0.23366928808609888,,-0.017560632548442312
017230,宝盈价值成长混合A,2024-06-04,0.24544869604822472,0.14565787872243363,,-0.04278542418082354
019767,景顺长城科创50指数增强A,2024-05-28,1.3066396461545766,0.6125628973541297,,-0.09721927970189992
022000,浙商汇金红利机遇混合A,2024-11-08,,0.09942409816390096,,0.04274332588274454
022900,创金合信中证红利低波动指数Y,2024-12-13,,0.015374091457840633,,0.10022698114971162
018482,鹏华创业板50ETF联接A,2023-08-01,1.0642360681293743,0.45153474468876253,-0.047700781671841885,0.0036763244708584164
022947,华泰柏瑞中证A500ETF联接Y,2024-12-13,,0.16752304160464693,,0.002189211958574022
023104,中银中证港股通高股息投资指数A,2025-06-04,,0.02008487376237511,,
023711,中金中证优选300指数(LOF)B,2025-03-17,,0.0849996706288636,,
021187,摩根红利优选股票A,2024-07-30,0.22956500649393674,0.0671140696691841,,0.05247058279166894
021273,摩根均衡精选混合A,2024-09-03,,0.14497600009381206,,-0.031789707051109506
016879,招商中证上海环交所碳中和ETF发起式联接A,2023-12-29,0.39076160103707824,0.20087716443108228,,0.007997965687856157
021977,中欧中证细分化工产业主题指数发起A,2024-09-20,,0.2786622817731699,,-0.02810705334800534
019780,嘉实创新动力混合发起式A1,2023-12-04,0.4103035472458132,-0.024950678765281564,,-0.08467022446138295
023516,华泰保兴中证A500指数增强A,2025-05-30,,0.13472950035590725,,
021474,华安上证科创板新一代信息技术ETF发起式联接A,2024-06-07,1.5665057480057745,0.7045613453481587,,-0.11165230202672138
